,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzd9U5Xn01seVNAbpl4AaABAg,MxMgJWlnQiM,Максим Кац,315,2279,Максим Кац,"Кремль активно пытается сместить разговор о поправках в стороны любви к детям, котам и предкам. В действительности, изменения — про усиление власти Путина. Это скрывают. В ролике — полный и подробный разбор, распространите плз. 
И конечно приходите голосовать «Нет»!",2020-06-22T14:43:45Z,0
1,UgxLIJlqECW2KdSiFJB4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Deffz Triotrontron,"О*ительный, наверное в пятерочке себе на образование в Великобритании и Израиле зарабатывал, ночами работал!",2020-07-03T12:31:25Z,0
2,UgwRVVF5ITYceJT2iUl4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Сергей Иванов,"78%... насчитали..
Вот и случились похороны прежней Конституции РФ.
Больше не будет тех прав и свобод граждан, с которыми приходилось считаться власти. У нее теперь развязаны руки. Минимум до 2036.
Печально.
Одно дело - выборы и даже обнуление, но другое - целая Конституция - Основной Закон, по которому жить десятилетия.
Печальный день.",2020-07-02T22:52:53Z,0
3,Ugwwb0zB5-582IC5vXl4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,yarkie,Кто найдет кота в видосе?))))),2020-07-02T20:42:26Z,0
4,UgyQICPDXVZAp32xJ_d4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Андрей Шаплико,"Неполживая общественность:
- МЫ БОЙКОТИРУЕМ!
Через некоторое время:
- ЗА НАС ВСЁ РЕШИЛИ!",2020-07-02T19:38:54Z,0
5,Ugxfk6bz9vHilAoAKAF4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Вера Коробейникова,"Бабушка ругает, что я проголосовала НЕТ, говорит, что Путин то не будет у власти сидеть дальше, а вот другие поправки хорошие... И тут я было потерялась и тогда пересматриваю это видео))))",2020-07-02T18:51:16Z,0
6,UgzT9WEKggZuhK7NQeZ4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Adam's Channel,Ну вот вам и Российская империя,2020-07-02T18:23:01Z,0
7,Ugx8v0M68_98Mrjgmdt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Svetlana Ivashchenko,"Максим Кац,на кого работаете?",2020-07-02T15:18:37Z,0
8,UgxNmx-FDPnnYwawT9d4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,All Simekh,"КАц ,смените тампакс.",2020-07-02T14:23:00Z,0
9,UgySAgJnmVOkLEudOo54AaABAg,MxMgJWlnQiM,Максим Кац,0,1,KIN. DERK,"Приходите к нам на канал! Мы рады каждому новому подписчику! Снимаем веселые и полезные видео!
Kin.derk ждёт тебя!",2020-07-02T11:35:20Z,0
10,UgxUxYqwXJkeV48XT3l4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Ольга Щербина,"Досмотрела, спасибо, Максим!!!!",2020-07-02T09:57:23Z,0
11,Ugyu4OdWTvd9fSo9KhF4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Алена Козлова,если обнуление законно...можно мне обнулить налоги за предыдущие периоды и кредиты взятые при старой конституции?,2020-07-02T09:36:28Z,0
12,UgzJcU9tLrb_BnmvdVt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,ДОМАШНЯЯ БАРАХОЛКА,"У меня к вам вопрос. Вы конечно можете меня посчитать съехавшим, пожалуйста. Но!  Вам не кажется что рак  это своего рода оружие. Тихий убийца неугодных людей?????  Вы обратите внимание человек здоров и все хорошо, но раз и откуда то рак????",2020-07-02T08:22:49Z,0
13,UgznJIv7Vi3AzFmIOBJ4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Алиса Селезнева,Я досмотрела до конца🤭,2020-07-02T08:04:41Z,0
14,Ugwei0HzPax85IijmWR4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Юлия Орлова,"Вот про то что сложно разобраться, это точно, нихера не поняла большую часть",2020-07-02T05:34:30Z,0
15,UgyuD7y3sMRCHL9drHt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Юлия Грешилова,"Спасибо вам огромное! С помощью этого видео смогла переубедить отца голосовать ""за"", и это при том, что он преданный фанат Путина)",2020-07-02T02:41:21Z,0
16,UgyHnd79h2efXCYFN2x4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Саша Маркин,"Мы голосовали за то, чтобы жить лучшей жизнью",2020-07-02T00:02:44Z,0
17,UgzFnePzKUdTQvy6nHN4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,sanyemrus ❌,"30:37 — 30:40 — нет, на экране так и не увидели мы эту статью.",2020-07-01T23:25:10Z,0
18,UgwNiEa39O0tZ-V80zt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Говна Пакет,Мы в жопе........,2020-07-01T23:24:41Z,0
19,UgyGKZELtTUHFxo4ovx4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Шырный Сарик,"Объяснил, показал, а люди с Навальным бойкот объявили...",2020-07-01T22:21:08Z,0
20,UgxB0196UmOxGi90i054AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Marat Abramoff,"Почему я против поправок ?
Потому что я хочу видеть Россию экономически развитой, демократической страной свободных людей. Голосуя против поправок, я голосую ЗА Россию.
Традиционная семья, бог, память предков, индексации - это всего лишь дешевая ширма для главного: удержания власти любым путём, узурпации власти конкретным человеком и его свитой.
Для меня как для практикующего адвоката статья об обнулении - это позор и дно отечественной юриспруденции.
Принять такое - плюнуть в народ, в цивилизацию, в принципы законности, справедливости, сменяемости власти.
Конституция 1993 года рождалась в муках. Это была передовая конституция, одна из самых прогрессивных и демократичных в мире. Наша страна никогда ей не соответствовала, Россия не демократическое, не правовое, не социальное государство, и федерализмом тут не пахнет. Однако конституцией был задан хотя бы ориентир. Конституцию уважали и побаивались.
Но затем поняли - а чего и тем более кого бояться? Народ что ли?)) Сначала увеличили сроки полномочий президента и Думы до 6 и 5 лет. Помните? И без всякого голосования)
А теперь можно и поглобальнее изменения.
Эти поправки - прыжок в пропасть. Это возможность для будущих издевательств над основным законом. Наши дети и внуки будут презирать нас за такое безволие. Но как показывает жизнь - всех все устраивает. Такой мы народ, что государствообразующий, что остальные.",2020-07-01T21:48:12Z,0
21,UgxdsV0RiPx2CyAVIF94AaABAg,MxMgJWlnQiM,Максим Кац,0,0,altkirch hcriktla,"Вот это труд ! Спасибо! 
Да , скучно, но полезно :) , очень. 
Досмотрела до полного ( клавиатура предложила дописать ,, выздоровления 😂) конца.",2020-07-01T19:54:20Z,0
22,UgzapHTJqCaciJlVvv94AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Анастасия Лебедева,Проамериканские размышления,2020-07-01T19:18:42Z,0
23,UgxHA7Z3WSz75WNCJn94AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Игорь Касьянов,Возвращаемся в тридевятое,2020-07-01T19:11:32Z,0
24,Ugwj11kmNcglyGUghQB4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Павел Шульга,"Вполне правдоподобно, но попахивает демагогией.",2020-07-01T18:48:14Z,0
25,UgxjPuRgI44EgHDmCmJ4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Брахман,"Раньше дед кабай имел всех вагинпльно,так вот ,теперь ,ТЕПЕРЬ будет во все дыры и щели .... крепись народишько!!!!!",2020-07-01T18:44:44Z,0
26,UgzxglI-IOh7bvgUwgB4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Арсен Гзирян,"Ленин, Сталин все те кто воевал и защищял нашу страну простите мы всё просрали.",2020-07-01T17:41:53Z,0
27,Ugyf7d6rUXqQVGte7Gh4AaABAg,MxMgJWlnQiM,Максим Кац,0,1,Дима Рудой,"Это всё мне напоминает ""Звёздные войны"", а Путин сенатора Палпатина))",2020-07-01T16:53:31Z,0
28,Ugwea764o6Lluvwb5pB4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Chatlanin Wf,"Кац, откуда у тебя этот чудный прононс? Похлеще, чем у Памфиловой...",2020-07-01T15:07:01Z,0
29,UgzDCJSuWlBSbdBvfQx4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Мила Теплякова,"Здравия. Но ведь президент здоров ли ? Никто об этом не знает. Чтобы давать такие полномочия, нужно пройти хотя бы медицинскую комиссию.",2020-07-01T14:48:21Z,0
30,UgyEK6ZwxgiaE0hIMQt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Ольга Дикухина,Я за Путина!какой бы фейк не сотворили.Нормальные люди поймут правильно.,2020-07-01T13:45:03Z,0
31,Ugy9zuNlHP7GM3hjRnx4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Галина Григорьева,"Уважаемый Владимир Владимирович! Я как увижу Вас по телевизору, все время плачу. Как же нам с Вами повезло, родной вы наш. Вся моя семья за Вас. Спасибо, что подняли нас с колен, что нет войны и терактов. Здравия Вам на долгие лета. Храни Вас Господь.",2020-07-01T12:49:09Z,0
32,Ugz1EELJaUjw1i1yRWN4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Густав Ар,"Омг, спасибо, как же нам нужен был этот ролик",2020-07-01T11:57:45Z,0
33,UgyyFYW8ogrAXZmHftx4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Mary Flower,"Досмотрела видео до конца, теперь я знаю какие именно поправки внесут, а не размытые слова",2020-07-01T11:56:56Z,0
34,UgwQ6H4HZjNZWC9Tdo54AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Исаева Дарья,"спасибо,всё понятно, но у вас козявки на бороде",2020-07-01T11:52:26Z,0
35,UgxMEWJROJZ9ukn6zNZ4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,EpleMedKanel,"Спасибо за информацию! Убедилась в который раз, что творится бред в стране! Верите, что поправки не примут?",2020-07-01T11:10:17Z,0
36,Ugz11RUHbWCAfl0comB4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Сергей Кудрявцев,"Путин для России сделал больше , чем Навальный, Жириновский, Гозман, Явлинский,. Никто из выше перечисленных не делал России. Он доказал быть президентом России. Честь и хвала!",2020-07-01T11:06:20Z,0
37,UgzUbBmk7tFgqBSPl5F4AaABAg,MxMgJWlnQiM,Максим Кац,7,0,Сергей Кудрявцев,"Поправки правильные, самое главное прогнать либералов из России, Навального делом, Жириновского делом, пусть придет монархия! Да здравствует Путин!",2020-07-01T11:03:03Z,0
38,UgyjXx8XBK8SIoGQTax4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Dark Paranoiac,Рука руку моет.,2020-07-01T09:57:20Z,0
39,UgwXHhrQets-ZOoao9l4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Klimenko Sasha,отличная работа) лайк),2020-07-01T09:47:40Z,0
40,UgyLRn2aH575RQT14Cl4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Сергей Кожаков,"Просмотрел ролик до конца. Создаётся впечатление, что Максим хорошо разобрался в тех вопросах и изменениях, которые ему интересны, и решил не разбираться в тех, которые не интересны. Хотелось бы видеть, что, обсуждая какую-то тему, автор разобрался в ней полностью. Например, вместо того, чтобы говорить, что такие-то поправки  внесли для пыли в глаза, можно было бы попытаться выяснить, в каких случаях они могли бы использоваться. С Вашим опытом и связями это сделать проще, чем нам, обывателям. Такой обзор был бы более объективным и разносторонним и помог бы принять действительно взвешенное решение.",2020-07-01T09:31:31Z,0
41,UgyerjFDjiGgF3_4u754AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Дизайнер Ландшафта И Интерьра,"Ролик досмотрели, очень нужный! Благодарю вас за труд.",2020-07-01T08:14:14Z,0
42,UgxOTiTcbJ3Xne1X5EN4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Kripto mining,"Как хорошо же мы живем
чего еще желать.
Еще чуть чуть  и мы помрем
на нас им наплевать.
А богачи глядя на мир 
жиреют на глазах
а люди видят вкусный сыр
только в своих снах.
Ох если б людям волю дали
не избежать войны.
Богатых срвзу б разорвали-
отдали в лапы САТАНЫ!",2020-07-01T08:11:35Z,0
43,Ugy99ylmGYh9njeVX0l4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Александр Захаров,Главная цель поправок - приоритет наших законов над нормами международного права. Вырабатываемые нормы международного права понижают уровень жизни граждан РФ. Отменим внешнее управление и повысим суверенитет РФ. Не ведитесь на вражескую пропаганду!,2020-07-01T07:02:04Z,0
44,UgzRCwflKRP1fys4awh4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,deep forest,"Максим, Вы на Америку работаете?",2020-07-01T05:29:19Z,0
45,UgxOIXOJoqW1fy4dIQl4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Слава Матвеев,"Короче , да здравствует Российская Империя",2020-07-01T05:19:04Z,0
46,Ugxres-Rra0moBncyXF4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Вадим Харитонов,"Весь электорат этого «гения» макса, депрессивные обыватели...)",2020-07-01T05:11:51Z,0
47,UgylkrabD3iY0pIIUWt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,АйАй ой,!!!!!!!!!!!!,2020-07-01T00:53:13Z,0
48,UgxDZniYlLdq7RHWnkR4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,XIII,"Никто не будет с нами дружить, пока во главе полоумный фюрер с манией величия.",2020-06-30T22:33:39Z,0
49,UgwBCSD4nhistWozEZt4AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Эльга *,"Найдите прикольного, как у нас))  и революций несколько,  бессмьісленньіх и беспощадньіх...  можно гея. Да. Смешно будет наблюдать и шутить. Если развалит все, хоть нахохотаться. О чем вьі думаете, дурни... Россия  сейчас такая  самая колония Америки, как и мьі, не видно, что ли. Только у вас есть шанс вьірваться, а у нас - мертвьій сезон... ой, шо ж то буде... вот чем вам пам'ять предків мешает?? Семейньіе ценности?? Ето пустие слова? Он шо, больной? Конечно, есть надежда, что етот балабол ничо не влияет.",2020-06-30T21:57:20Z,0
50,Ugx9nUmNO8GR1dVS6r54AaABAg,MxMgJWlnQiM,Максим Кац,0,0,Judgement,"Бумаги от рук не спасут. От рук спасут только ноги, а у них они уже не в лучшей форме",2020-06-30T21:53:28Z,0
51,UgyPvdHZjjWGnZHM8Gp4AaABAg,MxMgJWlnQiM,Максим Кац,1,1,Ксения Вайель,"НАРОД, НЕ ПОЗВОЛЯЙТЕ НИКОМУ ОВЛАДЕТЬ ВАШИМ РАЗУМОМ РАЗНЫМИ ПРИЕМАМИ! ЧИТАЙТЕ ПОПРАВКИ НА САЙТЕ ГОСДУМЫ САМИ! ВОЗМОЖНО, ВЫ БУДЕТЕ ПРИЯТНО УДИВЛЕНЫ. ГОЛОСУЙТЕ ПО СВОЕМУ РАЗУМУ И СЕРДЦУ!!! ПОМНИТЕ, ЧТО КОНСТИТУЦИЯ 1993 НАПИСАНА НЕ В ВАШУ ПОЛЬЗУ ЭКСПЕРТАМИ ИЗ США ПРИ ЕЛЬЦИНЕ. РАЗБИРАЙТЕСЬ, ПРОВЕРЯЙТЕ ВСЕ ФАКТЫ! НЕ УПУСТИТЕ ЕДИНСТВЕННЫЙ ШАНС!! ОТВЕТСТВЕННОСТЬ НА ВАС.  САДДАМА ХУСЕЙНА И КАДДАФИ США ВЫСТАВЛЯЛИ ""ТИРАНАМИ"" ТАК КАК ОНИ ХОТЕЛИ ОТКАЗАТЬСЯ ОТ ДОЛЛАРА В ЭКСПОРТНО-ИМПОРТНЫХ ОПЕРАЦИЯХ. ПУТИН СЛОЖНЫМИ ПЕРЕГОВОРАМИ В УСЛОВИЯХ ПОСТОЯННОЙ ТРАВЛИ И ДАВЛЕНИЯ СОБИРАЛ ДЛЯ ЭТОГО СТРАНЫ БРИКС. ПОСМОТРИТЕ НА ПЕРЕВОРОТЫ В БРСЗИЛИИ, ВЕНЕСУЭЛЕ, НС САНКЦИИ США ПРТТИВ КИТАЯ, ИРАНА..НА ТО, КАК ПОД БОКОМ У РОССИИ СТЯГИВАЕТСЯ КОЛЬЦО НА СЛУЧАЙ ЕСЛИ ПОПРАВКИ И ИНИЦИАТИВА БРИКС ПОБЕДЯТ..НЕ РОЗВОЛЯЙТЕ НИКОМУ ДУМАТЬ ЗА ВАС!",2020-06-30T20:56:42Z,0
52,UgyPvdHZjjWGnZHM8Gp4AaABAg.9AYCfDve5UP9AZoAsb5SEQ,MxMgJWlnQiM,Максим Кац,0,0,Stepanov Rock,а пока нам всем традиционный ежегодный подарок - увеличение тарифов жкх на 5%),2020-07-01T11:52:26Z,1
53,UgwgSCNZpHv16g670m94AaABAg,MxMgJWlnQiM,Максим Кац,0,0,александра рязанцева,"Макс, жалко, что не разобрал более подробно про суверенитет-это я слышу из каждого утюга-голосуют за, тк хотят главенства нац права над международным🤦‍♀️",2020-06-30T20:36:54Z,0
