,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwnTHLQN4QteNFFo9F4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,DDD,"Потом раз, как Зеленский, и президент).",2020-07-03T01:58:34Z,0
1,UgyE2xRyIGhJiOC13c94AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Владимир Ульянов,Брат близнец о. Мангола 🤣🤣🤣,2020-07-03T01:07:37Z,0
2,Ugz13jx1_H0x4IA0pet4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Руслан Бурак,Ця суч заїїбашклк,2020-07-02T21:19:01Z,0
3,UgxOEd_3rftO9ygg81V4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Анна Якубова,Виталий Наливкин - лучший!!!🔥,2020-07-02T17:28:29Z,0
4,Ugy7GNstKsEvxurkADp4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Диана Бекмамбетова,Наливкина в президенты!,2020-07-02T16:05:51Z,0
5,UgxR_OHiUOsLb6dFuqh4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Трен Тестостеронович,"Власть очень хорошо разрекламировала Господина Наливкина, значит он будущий президент",2020-07-02T15:39:52Z,0
6,UgweC0nnN9xqsRhQpBt4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Evil St.sergeant,НОРМ)))УВАЖУХА ИЗ СИБИРИ!!!)),2020-07-02T13:06:31Z,0
7,Ugxd2mE51FbP7Ob5gip4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Хосе Аркадио Буэндиа,Наливкина не может не быть!,2020-07-02T11:06:59Z,0
8,UgxG5w1pm0IMG2BK6j14AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Альберт Блодфир,в президенты его!!!,2020-07-02T10:01:17Z,0
9,UgxyZhRxyDB-KfiRupV4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Дима Свобода,Красавчик! Жму тебе руку!,2020-07-02T07:27:12Z,0
10,UgxH6mkpRa9bj1O2_C54AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Бог !,Верю только Виталию Наливкину!,2020-07-01T20:43:10Z,0
11,UgyIdzv4gEEhX5j9gy54AaABAg,NkQnpm6Za_8,BARAKuda,0,0,dethklokful,"Вот это речь я понимаю.  Его нужно  поставить  вместо  плешивой бабки Путанги!  Он достоин быть президентом,  человек слово! 😁",2020-07-01T16:02:42Z,0
12,Ugyi-DjoouJqr35mXGt4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Covidvid,"НАЛИВКИН 2025! Наш президент, из народа!",2020-07-01T13:28:42Z,0
13,UgxCdZTG3tcILZHEs2d4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,saratov81,"Путин боится Наливкина, поэтому преследует его и обнуляет конституцию",2020-07-01T00:36:03Z,0
14,UgzpJO3G1ElJG-XplKV4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Влад Басс,"Красава здравый мужик ,так держать.",2020-06-30T21:26:08Z,0
15,UgwyBC1dW3Yosf5uG3V4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Антон Борщов,Нальвкин Наш Президент,2020-06-30T19:41:00Z,0
16,Ugz4Av3YlJXxcAKeUeN4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,ДНЕВНИК ПАЦАНКИ,Видео с женой Наливкина - https://youtu.be/eJqWOL2ytd4,2020-06-30T18:28:06Z,0
17,UgzWesRB1yDqXsXFc4B4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Enakyn 15,А за что его посадить хотят?,2020-06-30T10:47:46Z,0
18,UgwujPhmJnyegnZJgd94AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Владимир Шнейдер,Наливкин давай в пезиденты раздавим плешивого!,2020-06-30T08:48:54Z,0
19,UgyYa5987r6bH3jvQWl4AaABAg,NkQnpm6Za_8,BARAKuda,0,1,Manin Maxim,Наливкин ты должен умыть Лапенко,2020-06-30T07:28:23Z,0
20,Ugzphqzb2YFaKKqKeXh4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Liliya Крапива Крапива,"Только такие Наливкины должны быть нашими депутатами , сенаторами и конечно же президентами. Я верю в этого истинно народного избранника. Пусть В Наливкин подаст свою кандидатуру в президенты сейчас , когда "" обнуленный"" старый уйдет из за отрицательного последнего опроса по поправкам конституции",2020-06-29T22:35:15Z,0
21,Ugx_FgXGkhlK2eglLYZ4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Дарья Петрова,Это очень смешно,2020-06-29T21:12:23Z,0
22,UgxJkmbnU9IpY1v_oMV4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Назар Булава,Наливкин топовый мужичок👍👍👍,2020-06-29T19:35:36Z,0
23,Ugz6DBpxMCxCkwL7eE14AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Барак Обама,наливкин-человек дела!,2020-06-29T18:32:23Z,0
24,Ugyn6CO3CARzIo52-Vh4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Rita Pavlinova,"Так держать, Виталий! Следющий шаг - интерьвю одному из европейских телеканалов! Нужно выходить на мировой уровень!",2020-06-29T18:02:47Z,0
25,UgxQdTuY_a-CKHt9OKZ4AaABAg,NkQnpm6Za_8,BARAKuda,0,1,Андрей 68,За Наливкина!¡молодец мужик!!!,2020-06-29T16:43:51Z,0
26,UgwKetsQM3bEB5ZYXkZ4AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Rusmax9,"Надо было при задержании кричать ""Да здравствует Путин!!!"" 😂",2020-06-29T12:49:06Z,0
27,Ugy60sotj4WYyqror894AaABAg,NkQnpm6Za_8,BARAKuda,0,0,Rusmax9,Вы держитесь там,2020-06-29T12:48:05Z,0
