,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugyit31UiyiWQIPVM8t4AaABAg,NsLkZ-hy7eE,Максим Кац,82,744,Максим Кац,"Стараюсь тут обсуждать самые разные темы относительно госуправления в России, подписывайтесь :)",2020-05-23T14:01:22Z,0
1,Ugwu9LJ3WF_xboFLVbJ4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Bad Channel,"Сам недавно окончил школу, и кому как, а у нас была отличная школа. Военные сборы были по желанию (и на них всё было неплохо и интересно), сейчас становится всё больше молодых учителей (да они жаловались на бюрократию), но помогали нам учится и вне программы. Так же был школьный совет (я в нём состоял) и хотя он не занимался экономикой шк, множество внеурочных проектов было на нас.",2020-07-03T11:29:49Z,0
2,UgxyfXoRGs60RgnmwGF4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Yury Kozyrev,"Это всё хорошо и радостно в Финляндии, но русских программистов они только так готовы покупать, потому что у своих в голове милота, пони и радуги.",2020-07-03T10:33:12Z,0
3,UgyMgGJR_Gh_y2W1sO54AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Мария Шаронова,"Сразу вспоминается: ""Советское образование лучше всяких там американских! А всё ваши ЕГЭ!""",2020-07-03T05:46:34Z,0
4,UgwOKUFBgtkK7AfTo6V4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Иришка Спирина,"Население Китая  1млрд 400млн человек - в классе 45-65 учеников,  население России 146млн - в классе 35-40 учеников...",2020-07-02T19:32:44Z,0
5,UgwjEoCpWzmvtso78Vt4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,GromStyle,"Дружище на Каце....
Посмотри проект ""Последний звонок"". С ним ещё тесно связано движение ""За возрождение образования"". Советская система образования в России отсутствует и ужасно исковеркана. Не вводи людей в заблуждение.",2020-07-02T18:42:01Z,0
6,UgyXl8u1rh4DCQZ-rs14AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Julia Alekseyeva,"Нашему рынку советская система не подходит, а вот американскому или Германии почему-то отлично подходит. Наши люди работают в калифорнии именно с этим образованием. Может, чем доламывать систему образования, подумать почему у нас такой рынок труда, что математики/физики/инженеры не очень то нужны. А восхищение вызывает, как в Финляндии в школе играют в кафе. Вспоминая своё детство в советском детском саду, мы там играли в магазин вот точно так же.",2020-07-02T17:34:12Z,0
7,UgwJCNUCPWPKOQhqc_t4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Глеб Зензин,"Китай сильно фальсифицирует результаты, выставляют на тесты детей из более старших классов. В остальном рейтинг(9:04) вполне соответствует реальности - Финляндия и Сингапур на первых местах.",2020-07-02T12:21:45Z,0
8,Ugymni5zXg12lIqBNXN4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,BikerLobster,"Работаю учителем и скажу так: цель школы на данный момент, как я вижу, дать ученику представление об окружающем мире, чтоб он мог сам понять, что ему нравится и дальше в это углубиться. Конечно, государство также пытается через школу воспитать в детях патриотизм, но получается у него это хреново, имхо.
Проблемы я вижу такие: 
- Куча ненужной и устаревшей информации, которую можно было бы заменить на что-то более полезное (например: психология, финансовая грамотность, основы медицины);
- Дети, которые не могут или не хотят учиться. В лучшем случае они до 9 класса просто теряют в школе время, а в худшем - мешают другим. 
- Издевательства не только учеников друг над другом, но и учеников над учителями. На неадекватное быдло у современного российского учителя нет никакой управы - он бесправная рабочая единица.",2020-07-01T11:03:46Z,0
9,UgytSyl6WXFtQtOqqbh4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Николай Овчинников,Замечательно!),2020-06-30T16:29:56Z,0
10,Ugwe_zI861kxGF6LuKp4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Vladimir Adoshev,"Этот ужас не реформировать надо, а полностью уничтожать и строить заново на основе скандинавских систем. еще Максим забыл упомянуть, что в российских школах человека ломают, а не учат. после 11 классов человек выходит retarded, с отбитой бошкой (иногда в обоих смыслах). Ежедневное насилие над личностью в течение 11 лет. Иногда и физическое насилие. Да-да, оно все еще есть, я сам видел в своей школе, в Москве. Причем за физическое насилие учителя даже не уволят (не говоря уж об уголовном деле).",2020-06-30T13:55:48Z,0
11,UgwMXOrrVzpoKkgSwuN4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Анна Плетнёва,"Очень интересно вас слушать, спасибо",2020-06-30T10:40:08Z,0
12,UgxSUTXKaS7NZSodVMZ4AaABAg,NsLkZ-hy7eE,Максим Кац,1,0,Василий Бабкин,"Может, не надо лезть в наши школы? Сначала вы нам дорожки велосипедные внедрили, теперь в образование лезете. Езжайте учить якутов иглы строить..",2020-06-30T05:24:52Z,0
13,UgxSUTXKaS7NZSodVMZ4AaABAg.9AWY1HLHpbu9A_MRI1GvZr,NsLkZ-hy7eE,Максим Кац,0,0,vffgd dhbvv,Давайте продолжим жить в дepьмe.,2020-07-01T17:00:31Z,1
14,Ugx08uRPfmXw8lJB-ix4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Alexander Popov,"Оценить  эффективность экспериментальных школ можно будет только спустя многие годы. Причем оценить это крайне сложно, например многие учившиеся в 90е  до сих пор  не овладели  ПК   более чем пользование соц сетями. а современные дети  их обгоняют в начальной школе. Это не потому что в садиках учат компьютерной грамотности, а просто  время поменялось",2020-06-29T17:27:26Z,0
15,UgwhVbUwrHoSFI2rkBZ4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Nik 'kun,"еще у меня в школе учителя бухали прямо на уроках... сколько раз обращались к директору, писали заявления всем классом - им все сходило с рук... насколько знаю, те учителя все еще работают в той школе, хотя я выпустился 10 лет назад.",2020-06-29T12:55:59Z,0
16,Ugz2QS5qC6uBA0wQVX14AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Nik 'kun,"у меня диплом бакалавра и магистра по техническим специальностям... работал после универа продавцом, так как на работу никуда не берут без опыта",2020-06-29T12:49:58Z,0
17,UgyX2TAmfqX_jveckMZ4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Morgen Ich,"Скажу так в тюрьме хотя бы роба удобная, не то что школьная форма, которую зачастую нужно покупать в частных магазинах",2020-06-29T12:33:26Z,0
18,Ugy3Qtziq41SCc_0FKJ4AaABAg,NsLkZ-hy7eE,Максим Кац,0,0,Светлана Архангельская,"Максим, привет. Наше правительство тоже считает, что образование надо реформировать , поэтому закрепляет дистанционное образование на 
законодательном уровне.  Минпросвещения назвало пилотные регионы (14 
регионов, Московская обл. в том числе) для эксперимента с созданием 
цифровой образовательной среды на ЕПГУ . И этот эксперимент запланирован
 уже на сентябрь 2020 года.     Родители сейчас переживают, что все дети будут сидеть перед компами, 
читать скучные презентации,  система будет глючить, так как она сырая. И
 все это вместо общения детей в классе и на переменах, в обсуждениях.  Прошу/предлагаю тебе и твоей команде  
изучить и осветить этот вопрос для твоей многочисленной аудитории.   
Каков опыт других стран в отношении тотального дистанционного образования? Что говорят эксперты? Как граждане-родители 
могут повлиять на этот процесс, чтобы он действительно стал эффективным?     Спасибо!",2020-06-29T12:03:31Z,0
