,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyU-IWfduF1-VDCT2V4AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Herbert Cheatham,"03:11
05:13
0:46",2020-06-07T00:36:53Z,0
1,Ugy5lkefeD1xr2D3TJp4AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Варвара Андреевна,"Вспомнился суперкомент-россияне качают права с 1861...пока что скачано около 3%
Теперь похоже поток развернулся вспять(((",2020-06-03T16:47:57Z,0
2,UgySsTWfqGzYDcn3ZOB4AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Варвара Андреевна,"Как штрафовать/изымать так моментально разрабатывается и внедряется  у них! Как пособия и выплаты так....жди
Система работает как часы👍",2020-06-03T16:44:28Z,0
3,Ugwhc5C7Oioo9LHQ6W14AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Самсунг Корея,Че то собянин бесит больше чем другой .... тот самый ...,2020-06-03T06:58:12Z,0
4,UgzrppaPGSAvWuDNg594AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Max Max,"""Мир уже не будет прежним"". Ага. Слышал я эту присказку для баранов после 11.09.2001. По факту как можно было, к примеру,  без досмотров через VIP- терминалы летать, так и все и продолжается. Особенно, в странах где кремовый костюм и чемоданы LV традиционно воспринимаются как признак элитарности и потенциальных проблем для ""борзого"" служивого. Россия, кстати, относится к их числу.",2020-05-31T11:23:28Z,0
5,Ugzu_1ct_B8CE_igVSV4AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Витя,"Да ребята а мне вобще страшно, поругался с двумя минтами сказали мстить будут теперь хожу и думаю не падкинут ли мне наркату, это пиздец сколько малодежи село по мусарской прихоти, вот вам россия, где каждый второй сидит за наркату!",2020-05-28T21:32:29Z,0
6,Ugx2bNJctyNWBSt5jqJ4AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Pinky Poit,"Россией всегда рулили бандиты: начиная от князей и их бригад, продолжая царями и помещиками, большевиками и чекистами, и заканчивая Путиным и его силовиками. Как-будто Россия - какая-то мусульманская или африканская страна.",2020-05-28T17:54:33Z,0
7,Ugz5QADTnhdHXdFBvPB4AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Кузьма Кузьмич,"Ну чтож, пора законодательно  заставить баранов запаривать комбикорм и жрать. Пару мешков на месяц хватит и это в среднем 2000 рублей прожиточный минимум. Этот псевдо народ стерпит всё.",2020-05-28T17:20:50Z,0
8,UgxH-I1gDc30cbA1c714AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,Галина Злобина,В ОТСТАВКУ ВСЮ ВЛАСТЬ!!! НЕТ ПОПРАВКАМ!!! НАРОД ВЫХОДИМ НА  МИТИНГИ!!!,2020-05-28T08:29:02Z,0
9,UgzqKDgXa8YS6osqM114AaABAg,Oel5UUuxZLI,Навальный LIVE,0,0,webdex,Может кто нибудь напишет свой сайт для голосования?,2020-05-27T14:35:05Z,0
