,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx85pQ2AT1BHzF6cCZ4AaABAg,Oh3HsoU1-YE,Навальный LIVE,122,413,Навальный LIVE,"Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 18 июня: https://youtu.be/02GZW6ppdT8",2020-06-21T11:09:34Z,0
1,UgxmxOtDtQ7kxiw3IVV4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Kakahasa A,Ппп ппп ппп ппп ппп ппп шшш ттт иии ттттттттттттттттотттттттттт,2020-07-03T10:59:22Z,0
2,UgwmagTvnwGhd0MXVSR4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Felis Chaus,Ваша злая утка попала на камеры.,2020-07-03T05:40:14Z,0
3,UgxUFJ6rpMdErpegCi14AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Yeuwuuw Eheuuee,"Это точно , понты эти голосования , кого то подкупили, кому то в приказном тоне указали за кого голосовать ...
Ну и последние, многие хотят иметь добавочный рубль , а если это ещё и тысяча и не одна 🙄🙄🙄  голоса переходят тем кто заказывает музыку и басни 🤗🐏🐏🐏",2020-07-02T02:28:38Z,0
4,UgzfH-cdU-zYRV9-Fk14AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Markova Tamara,"Ну что, ПЛЕСЕНЬ,раскатали вас ! 
Путин=РОССИЯ=ПЛЕБЕСЦИТ !!!
УРААААА,ПОБЕДА ЗА НАМИ !!!",2020-07-01T20:46:20Z,0
5,UgwHeDTa27BYIU_9zJR4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Наталия Поникарова,Какой-то он неуравновешенный в последнее время,2020-07-01T19:49:47Z,0
6,UgwTNW8YfgAdNSamPe54AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,1,Ольга Варнина,"Когда закидывала свое "" нет"" все биллютени лежали вверх и ни одного ""да"" там не было. Мелькнула надежда, но в новостях ЦИК уже 74% ""да"" насчитал. Ни единого шанса, ни единого шанса....",2020-07-01T14:34:19Z,0
7,UgyWpGCvueA-dtcmy4l4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Станислав Майстренко,"Кто как, а я голосовал за внесение поправок в Конституцию. Прекрасная Россия Будущего будет тоталитарной.",2020-07-01T12:15:35Z,0
8,UgyxjpbmNv42W6Xkc0t4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Battle Room,"Они специально сделают так, что будет похоже на правду, потому что специально поднялся кипиш по поводу поправок. Цель:вернуть доверие народа Путину, подставить всех, кто говорил против него и его подозревал.",2020-07-01T09:41:51Z,0
9,Ugwc5gW9OCayk5bTuAR4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Отбитый Металлист,Утка-Панк это мощно!)),2020-07-01T08:46:33Z,0
10,Ugx7vc2rHZX19ogoCFh4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Александр Носов,"Работаю наблюдателем , прорвался так сказать, хочу отметить что у нас ведётся учёт количества биллютеней каждый день. Вот сегодня последний день. Будут все документы по счету биллютеней за все дни (мною подписанные) брать и считать общее колличество, очень интересно что же там будет по цифрам. Что то мне подсказывает что фальсификация  происходит может быть на более высшем уровне",2020-07-01T06:48:33Z,0
11,Ugy8_MeMPzM_jPjxA7h4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,1,Александр Анатольевич,"Навальный, это ты после самоизоляции таким нервным стал? Да ещё и схуднул... Сходи в туалет поешь.)))",2020-06-30T21:23:01Z,0
12,Ugy2Mkvm9BCToh2o8BJ4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,2,Александр Анатольевич,"Новый мем от Навального: ""Сходи в туалет поешь!"")))",2020-06-30T21:16:47Z,0
13,UgzsMV8oYYhnONwDh_B4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Albina Korogodova,"Алексей Навальный как всегда оказался прав‼️Не просто фальсифицируют , а по-чёрному бессовестно , в открытую это делают ❗️❌❌❌ пишу этот комментарий 30.06.2020, уже достаточно доказательств этих фальсификаций😱😱😱😱",2020-06-30T20:54:00Z,0
14,Ugx5nAwOqaQt0QNuiOp4AaABAg,Oh3HsoU1-YE,Навальный LIVE,2,0,Василиса Гридчина,"Говорю как наблюдатель общественной палаты, что нет, не все Вы верно сказали. 
Во-первых, стать наблюдателем просто, 3 года назад подала заявку и каждый раз участвую. Позвала друга, его спокойно приняли, не спрашивая из какой организации и тд, ибо может стать любой гражданин РФ, старше 18 лет и не имеющий судимости и тд
Во-вторых, урны не остаются без присмотра. Все время сотрудники общественной палаты смотрят по камерами за урнами, сейфами, переносными ящиками. И днем, и ночью, разные люди по несколько раз. И очень много ОБЫЧНЫХ людей, которые не представляют как можно проголосовать ДА) 
В-третьих, не выгоняют во время дезинфекции, ну может завтра начнут, НО
Все равно 24/7 смотрят НЕСКОЛЬКО РАЗНЫХ сотрудников Общественной палаты
Это все не к тому, что выборы не фальсифицируют, а просто внести корректность. 
Уже давно продают Конструкцию с поправками, итак все ясно, но ведь если бы выборы реально работали, то их бы не было вообще)",2020-06-30T19:52:04Z,0
15,Ugx5nAwOqaQt0QNuiOp4AaABAg.9AY5GpZBsbi9AY5mu_Aa3b,Oh3HsoU1-YE,Навальный LIVE,0,0,Василиса Гридчина,"И да, бюллетени из урны на ночь убираются в сейф-пакеты, а дальше в сейф, стоящий рядом с урной под камерой, за которой также смотрят.",2020-06-30T19:56:34Z,1
16,Ugx5nAwOqaQt0QNuiOp4AaABAg.9AY5GpZBsbi9AY5enXnOwx,Oh3HsoU1-YE,Навальный LIVE,0,0,Василиса Гридчина,"И да, каждый вечер после 20:00 бюллетени из урны перекладываются в сейф, стоящий рядом , то есть тоже пож камерой. Утром урны пустые.",2020-06-30T19:55:28Z,1
17,Ugw_lhVWyRmJC2ojiVZ4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,petrashkarzn,За меня проголосовала моя мама))) там можно было голосовать за любого человека только если за.,2020-06-30T11:23:20Z,0
18,Ugx8fYWdkWVu_of1Vn14AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,5,Егор Кальмуллин,"Уточки - хорошее решение, учитывая возраст и уровень развития ЦА. Думаю, ещё доходчивее будет снимать ролики в стиле ""Я акула тутуруруру"".",2020-06-30T10:23:35Z,0
19,Ugwid6Xx0rWSfZcRwO14AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Света Светикова,"Блин, как круто! Требую, чтобы все непонятное объясняли на утках!!!",2020-06-30T07:38:08Z,0
20,UgxR5XuGJ-fS6E-thmZ4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Vadim S,Вбрасывают. И рассказывают об этом с улыбкой. Это писец. У нас украли будущее ребята,2020-06-30T05:49:21Z,0
21,UgzFIipD9Sr8sPzfxbt4AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,сергей сергеев,"Алексей, доходчивей не объяснишь Очень хотелось бы, чтоб баранов становилось меньше",2020-06-30T05:18:25Z,0
22,UgykagpC7W6-v9SbhZ54AaABAg,Oh3HsoU1-YE,Навальный LIVE,0,0,Генчик,Не ужели Путлеровская утка  победит на голосовании.,2020-06-29T21:07:06Z,0
