,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugyw1gT1kh-F71vQ_bx4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Нина Авинова,Вот за что нашей стране и нам с вами вот этот дядька .,2020-07-03T04:31:30Z,0
1,UgzYIMYzggBCqy2UmJ94AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Farida saralaeva,Саралаева фарида,2020-07-02T23:50:31Z,0
2,Ugxe2Rtip_VV6g2CjN14AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Ернст Арапбаев,Ернст Арапбаев камунарка Балинца работаем грузчики кампесация маала красный зона работаем,2020-07-02T23:26:23Z,0
3,UgwiJq5pxJy1DujxpP94AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Red Dog,"Хочу выразить чувство своей огромной радости. Господа либералы-вы как и всегда проиграли)))))))) Поправки приняты, голосование прошло. Слава России!)",2020-07-01T20:31:40Z,0
4,UgymxLDDNFeprE8etKF4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,KASHA KASHA,"ВОР, ПОРОСЕНОК 🐽",2020-07-01T16:47:52Z,0
5,UgzDG9wedHN9U9botap4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,1,Роман Рокот,Ха,2020-07-01T07:59:54Z,0
6,UgyAFSNP8V2CRhy325p4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Бормотухин ТВ,"Жаль, что тут картинки не работают - так хотелось ему большую жопу нарисовать...",2020-06-30T21:33:19Z,0
7,UgyWCNW3VGn5N9qtIkp4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Виталий Денисенко,И Бога не боится .,2020-06-30T18:23:49Z,0
8,Ugz9hlpzluRBawb7XZp4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Вадим Смирнов,А КОГДА ВЫЙДЕТ НОВЫЙ ТОМ ПЕРЕОБЕЩАНИЙ ПУТИНА?,2020-06-30T11:53:14Z,0
9,UgzAk2hGWhz2u-bKUPx4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,1,North Drake,Путин Ху*ло,2020-06-30T10:42:24Z,0
10,UgyT7BEOb882AX5ka_B4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,1,Rafik-Nafik,ЧЕРТИЛА,2020-06-30T08:12:48Z,0
11,UgzBHU6bxc7jsDOL4MV4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,1,Сергей Тарасов,"Володь, ну вот честно. Ты о какой стране и каких людях? Выйди, как честный президент, и уважающий своих граждан, как ты считаешь к людям без свистунов и прессы. Вот просто так пообщайся?! Уари, князья не боялись своего народа, и преды КПСС Ттоже! Ибо учажали народ и ценили. И боятся им было нечего! А ты чего боишься? Своего народа?",2020-06-30T00:07:27Z,0
12,UgwcFOI08RhsmuYpylx4AaABAg,OoF0c2SQjqM,Телеканал Дождь,0,0,Сергей Тарасов,Вакцина никак не может быть одна на всех и всех возрастов!,2020-06-30T00:03:27Z,0
