,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxtlKTr6WKC0dD6Zk94AaABAg,OwrXqz4roTM,Навальный LIVE,31,361,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1YeOMxi0p788bePQVPDStHDRnpmLW9gsQ8CZvyPSZPrg/edit,2020-05-25T21:23:04Z,0
1,UgwlRaPuFsfhj0iOQsx4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Алексей Виноградов,Я против ввп,2020-06-25T06:30:47Z,0
2,UgyGgGL2F2CU3YGYgRN4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Marina Bonfire,Вечно у них во всем США виноваты,2020-06-16T22:34:13Z,0
3,UgyE1MYSj8iHPFw5OcV4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Альтернативная реальность,"Кот в мешке, голосование пройдет.  Уже известны результаты, путин не уйдет до 2036.   Рашка 16 лет будет пробивать дно, пока  не развалиться",2020-06-09T17:00:43Z,0
4,UgzF54Xpd2ama7jPiwd4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,MISSIS ZLO,Подала заявление на голосование через госуслугах. Буду голосовать против и ВСЕХ ПРИЗЫВАЮ ГОЛОСОВАТЬ ПРОТИВ!,2020-06-09T02:17:06Z,0
5,Ugy5SDBz6bYB_E7ni9F4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Сергей Салеев,"нужно идти на участок и голосовать против. бойкот это пассивное ""за""",2020-06-07T17:43:56Z,0
6,UgyLdDIoUBij462m_yl4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Igor Igor,Пуйло в Гаагу,2020-06-04T05:10:54Z,0
7,Ugwg6A4Gt-gVamGCCKF4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Igor Igor,Топчег,2020-06-04T05:10:30Z,0
8,Ugwdwif8aAHEFR8aCXh4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Igor Igor,Топ,2020-06-04T05:10:23Z,0
9,UgzY-wxCxyvuuXCD7vF4AaABAg,OwrXqz4roTM,Навальный LIVE,0,0,Па М,"Раз у Путина упал рейтинг, почему же у Навального он ниже плинтуса- вы же говорите за вас миллионы людей. И почему вы не говорите, что это за новая методика голосования, а она такая: вы за Путина или против- что же тут плохого, все как надо!",2020-06-03T18:19:17Z,0
