,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwJ2nhcI_6BrUWZoRl4AaABAg,PAtW3a3NbXE,Навальный LIVE,25,319,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1So1_FzbyeN55URvB8YxYD118vkFKqUMH6RCFMtjg-qo/edit,2020-05-22T20:13:14Z,0
1,Ugxwu5IUux-HtSpFAZp4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,The Russian Federation,"Я реально не понимаю почему люди думают, что если они не придут на выборы, тем самым они покажут ""нелегитимность выборов или плебисцита"". А знаете что выходит из этого? - приходят те, кто голосует ""ДА"" и не приходят те, кто голосует ""НЕТ"". И властям даже подделывать выборы не нужно будет, понимаете? 
В итоге мы имеем 70+ процентов за Путина, а всё потому, что была агитация не ходить на выборы с голосом ""против"". У нас нет минимального порога на явку, АУУУУ ЛЮДИ очнитесь!!! Всем пофиг на низкий процент явки уже через день.
Так что на мой взгляд не пойти на выборы - это бездействие. А если вы отдадите свой голос ""против"" и так сделают все, кто не планировал идти на выборы, тогда власти придётся как-то выкручиваться, естественно незаконно и грязно. В итоге СМИ подхватит это и рейтинги продолжат падать. Рано или поздно народ устанет, тогда и начнутся изменения. 
ВЫ ХОТИТЕ ПУТЛЕРА ДО 2036 ? Если нет, то отдайте свой голос против поправок, а не сидите молча на жопе!",2020-06-09T13:47:21Z,0
2,UgwroGQw3rzYi6SEmCt4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Иван Пименов,Все плохо😞,2020-05-31T01:26:17Z,0
3,UgzSD7yUiX0Gj-VF_yF4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,'lefhl Jcnfyby,"Прямо команда мечты занималась поправками не одного юриста нет экономистов зато пианист и прыгунья которая призналась что не знакома с конституцией зашибись ,😠😠",2020-05-28T19:47:22Z,0
4,Ugx0kmipqlB1geS7ElR4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,1,Галина Злобина,В ОТСТАВКУ ВСЮ ВЛАСТЬ!!!  НЕТ ПОПРАВКАМ!!!,2020-05-27T19:38:47Z,0
5,UgzadORmmxRh3oyOLrl4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Kyrkus,"Любовь, супруге понравилсь платье, где такое можно купить? Эх, Вы же не прочитаете, но я обещал спросить! :)",2020-05-27T16:26:13Z,0
6,UgwNIUltRxGy6LH_SqF4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Админ Админ,"Пусть будет мэром, при Сабянине воще пипец.",2020-05-27T09:01:52Z,0
7,Ugy-gTTROCvLw_CP95l4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Roma Roma,живу в Дагестане в г.Хасавюрт да видел как приехали ростовские мчс ну да приехали скажу так поискать стоит видео о том как проводились много смешного найдете ...плохо многое тут не написать что на самом деле происходит,2020-05-27T02:12:30Z,0
8,UgxMsaa-16YWR3XhCeZ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Галижен Хайров,"Накрутят голоса, скажут спамеры заголосовали за пуню. Попытка перейти в диктатуру и тоталиторность. С репресиями блогеров и короче как сталин будут растрелять - сфальсифить. Страна воров.",2020-05-26T21:20:36Z,0
9,UgwrLNMkGOecMyylce94AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Сергей Петров,"Почини нос, невозможно слушать",2020-05-26T21:12:16Z,0
10,Ugy2izGj6ETSvAbsTRJ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,KSV058,Терешкова обнулилась для граждан  Мира!,2020-05-26T20:21:46Z,0
11,Ugw7c805_S-zTKlfrqx4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,KSV058,Это позор ребята...,2020-05-26T20:20:24Z,0
12,UgzXHOV103ADGAHz8V14AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Roman Kazimov,У меня почему-то уведомление о видео пришло только сейчас (через 3 дня). Что за херня?,2020-05-26T20:01:26Z,0
13,UgwJIQ4QgGwN_eysxSx4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,MaikL For,Нет контроля голосов - значит отмена голосования. Разбираться надо по каждой поправки общим списком нет.,2020-05-26T19:32:40Z,0
14,UgxThAotRY4oXI6k3Tp4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Валерий Пасько,"В кино, театр, спортзал нельзя! вдруг заразишься или людей заразишь. А прийти на избирательный участок и голосовать можно!",2020-05-26T18:38:39Z,0
15,UgzueUMWK0DbwT2hbpJ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,НИК. А ВремяМчится!,"Всегда поддерживал президента России В.Путина, но глядя на вас внимательно только поддержку окажу вам- красивой дамочке с приятном голосом!",2020-05-26T18:10:15Z,0
16,Ugw-eblIRXQqC9vhcgx4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Федор Берест,"САМООБНКЛЕНКОВУ ПОЛНЫЙ БОЙКОТ И ПРЕЗРЕНИЕ ВСЕМ ЕГО ПРЕСТУПНЫМ ДЕЛИШКАМ!!!!
Народ хочет, чтоб БРЕХЛИВОГО УЗУРПАТОРА НЕ ВИДЕТЬ И НЕ СЛЫШАТЬ!!!!",2020-05-26T18:02:54Z,0
17,UgwMbhmd_Bm5lmVYpNp4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Иван Иванов,на кол п!!!!!!,2020-05-26T16:56:09Z,0
18,UgzcMtfKYg2Cg8UzLqR4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Slava BVC,"Надо более жестоко.. можно с матом.. Иначе как то выходит не так.. Любовь, иди на Р24, дикция хорошая. А не один ли фиг за что говорить..",2020-05-26T16:21:06Z,0
19,Ugzs_3KnwzS-1oCkH3h4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Бато Цырендашиев,Соболь симпотяшка😘,2020-05-26T16:10:26Z,0
20,UgyXep8OL78byeqV68l4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Иван Корягин,👍🏻,2020-05-26T11:49:09Z,0
21,UgxGGxs_ptDhB6-EoSd4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,1,Виталий Бородин,Нормальная баба должна работать и содержать своего мужчину! А эта что делает? Бестолочь!,2020-05-26T10:43:48Z,0
22,UgzXRi1Yor4SUw0tHRx4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Слава Фомин,Всем сестрам по серьгам,2020-05-26T06:17:29Z,0
23,Ugy8t22AMCSUBXidR814AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Рая Амирова,"Теиешкову-мыло,путина-в отставку. Их срочно надо обнулить из людей в нелюди!",2020-05-26T06:10:00Z,0
24,UgzsN48HjHi011u_IB94AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Nikolay Orlov,Банда  Плешивого вас использует как отдушину.  Пора звать народ на борьбу за  своё будущее.,2020-05-26T05:23:50Z,0
25,Ugyjg79FvsVqmFRtcuV4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Николай Журев,Весь интернет тупых девочек!!,2020-05-26T04:16:47Z,0
26,Ugwk-nFI98Q11ovZq794AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Сергей Лебедев,До чего же наше правительство с депутатами обнаглели им народ говорит пошёл прочь мы вам не верим а они говорят не мешайте им работать это просто колымские козлы а не  депутаты😁,2020-05-26T04:03:12Z,0
27,UgzJq6fqhF8qxtzs8I94AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Никола Нидвора,Думаю в этот раз эрэфии нужно будет в два раза меньше времени чтобы разволиться апосля фейкореферендума,2020-05-26T04:00:02Z,0
28,UgwVvDoOP7KeUOFUwV14AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,татьяна ганженко,Я объявляю бойкот голосованию!,2020-05-26T03:46:38Z,0
29,UgyUJ6CHfUPkMJ-ArCB4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Александр Ташлыков,Что вы престали надо щас сохранить чесно наварованое. То не дайбог навальныи к власти предет. Сколько добра одберут.))),2020-05-26T02:50:56Z,0
30,UgyqT6IU0BNHLYSwjTt4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Вячеслав Киселев,Да блин!!!😔😔😔,2020-05-26T01:06:50Z,0
31,UgzTHojlMHaSqY0WRnR4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Валерий Черенков,"Вот вот, старики,которые хавают 1 канал,не смогут онлайн голосовать,а молодёжь видит всё дерьмо, внутри страны и балалайку им а не голосование,а если кто проголосует,тот иностранный шпион,на плаху его...",2020-05-25T23:12:24Z,0
32,UgxliPZjPEG1G6FH73F4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Julia Parfenova,"Поймёшь через пару лет, но будет поздно",2020-05-25T22:48:35Z,0
33,UgwTMp3gYlDK5p8Atcl4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Владимир Евсеев,"Люба молодец, только в перед!",2020-05-25T22:24:58Z,0
34,Ugx5zv0HgO9S4Naqsch4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,ashokarev,"Конституция СССР - вот за это я бы проголосовал, а эти поправки несущественны. Ты хоть какие поправки вноси , а резидент ими зад подотрет, как нынешней конституцией.",2020-05-25T19:24:53Z,0
35,Ugy-ZMNPlPgEXcrlGHB4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Егор Шувалов,"Хотят провести голосование как можно быстрее, видно подозревают, что осенью вообще никто не придет, потому что рейтинг власти будет 0.",2020-05-25T16:06:14Z,0
36,UgxFkZ5tlAeZaAtkXMd4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Ольга Поморцева,"Как Терешкова может такие серьёзные предложения вносить ,если ей уже за 80?Вообще не более ,чем слушателем может там находиться ...Если не хочется на пенсии отдыхать ..",2020-05-25T16:02:18Z,0
37,UgyYt0VVKzslUZpuOXN4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Я Шилова,"Красивое платье,Любовь!",2020-05-25T15:34:13Z,0
38,UgxkZ2G7wqegg4VA7sZ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,1,MrVatnik,"Да блин, *эта дыра* другая не будет ибо НАРОД не изменится. Общности нет. Нация уничтожена.",2020-05-25T15:33:15Z,0
39,Ugx-c32zWlBcWk_PVGt4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Лев Левинский,Из менение конституцию это референдум,2020-05-25T15:17:45Z,0
40,Ugyaa4XhNJ7wLa8hsPt4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,1,Skarlett BlakLayut,"""Если я засну на сто лет и меня спросят, что сейчас в России происходит, то я отвечу: ""пьют и воруют""…


(Примерно так, я не помню, как там было, но суть не меняется)",2020-05-25T14:32:14Z,0
41,UgwCp6P63sLi-U93RM54AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Сергей Демидов,Голосование важна для нас. Первый шаг к восстановлению суверенитета России.,2020-05-25T14:08:21Z,0
42,UgxjFejAoZiizfm6A1R4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Евгений Семенов,"Я вот задумался об анонимности выборов. Думаю именно благодаря анонимности есть возможность подтасовать голоса. Ведь все мы замечали, спрашиваешь друзей, коллег по работе ... никто за ВВП не голосовал, а он победил. Я хочу всем предложить открытое голосование. Ну может быть на видео записать свой голос. И вот, тогда попробуйте подтасовать голоса) 
Если один-два так сделают... да, наверное их вычислят и что-то там сделают. А если почти вся страна покажет свое лицо, выскажет свою гражданскую позицию...",2020-05-25T13:38:33Z,0
43,UgyS8TC_LLD_Cous78F4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Сергей Позинский,+,2020-05-25T13:29:55Z,0
44,Ugw3t3gT0UeaamWaR6N4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,kolokokoviy Djo,Эх Любонька !,2020-05-25T12:54:05Z,0
45,UgyC3ZEsLXaapcW2zl14AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Слезы Неба,Все вы смотрите его ролики! Хотя бы одному они помогли? Смысл смотреть и разочаровываться и тем более понимать что ничего не изменить?!,2020-05-25T09:23:25Z,0
46,Ugy_vtVzAvXFZ0EcQvN4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Вин Дизель,когда пройдут поправки будем прощятся и с навальным и со свободой и с ....,2020-05-25T08:57:43Z,0
47,UgzHorS_pXCUdK5dqWF4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Nadezhda MV,Ходить по квартирам😆в период эпидемии.Дурдом,2020-05-25T07:35:15Z,0
48,Ugw-1AVS1M-kabUxNWR4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,А М,Ыыыыы,2020-05-25T06:41:29Z,0
49,Ugxb3SIIStRTlIoeYVF4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Эдуард Рыжов,Опасно это.. ходить по квартирам с такими агитками. Наслушаешься а то и наполучаешь.,2020-05-25T06:36:17Z,0
50,UgwuUZJFPTUc0VwJbFV4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Дмитрий Белов,"Вполне низко ведёт себя,общественности не докажешь.",2020-05-25T06:24:33Z,0
51,Ugzyt1A4PcnivHaoUht4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Елена 72,"Тяжело слушать. Тексты толковые, но подача ужасная",2020-05-25T05:51:12Z,0
52,Ugz4KMM2nHqfMQpGX5J4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Ville Vallo,"По-моему остался единственный вариант: это массовый бойкот голосования и максимальная огласка всего того беззакония, которое озвучено в данном ролике, не только внутри страны, но и для всего мира! 
Чтобы каждый небезразличный гражданин написал письмо во всевозможные и российские и зарубежные СМИ (The Economist, Bloomberg, BBC, Life News, New York Times и т.д., в Беларусские, в Украинские, в Китайские, в Американские, в Немецкие, в Армянские - во все) с просьбой поддержки мирового сообщества, с просьбой помочь нам отстоять свои гражданские права и свободы. Представьте миллионы подобных писем...чтобы все новостные издания, зарубежные блогеры и весь мир трубил о том, что россияне не признают действующую власть диктатора, а его выборные институты не являются легитимными.
Можно составить шаблоны подобных писем и оставить на них ссылки и призывать людей максимально распространять данную информацию.
Нужно показать всему миру и нашим узурпаторам власти, которые варятся в собственном информационном пузыре, истинный рейтинг доверия!
Это проще чем выйти на протест, но возымеет куда больший психологический эффект на наших воров в законе, а для всего мира они будут нерукопожатными.",2020-05-25T05:47:06Z,0
53,UgxIABDcMKQbRJ_ivoF4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Submedia30,"Что делаем? Кроме""нет"" в голосовании.",2020-05-25T04:14:28Z,0
54,Ugxt6RMlTd7tyqKPk0J4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Тарас Павловский,"Ребята,  я не понимаю почему Алексей и его команда не обсуждают вопрос, который я сейчас подниму
Рейтинг Путина и что на самом деле он таким и является 60+%, по крайней мере на выборах

У нас в стране: 44 миллиона пенсионера (это люди, которые в большой части поддерживают Путина, из-за порции пропаганды, которые получают с телевизора)
Военные: 2,5 миллиона - этот контингент, автоматически, большинством за Володю голосует
Чиновники, милиция и прочие бюджетники это ещё не один миллион
Большая часть Крыма , а это тоже 1,5 миллиона избирателей, в основном поддерживают Путина, в знак благодарности и прочее
И на материковой части страны, найдется немало людей, которые выберут его , кто-то реально доволен всей обстановкой в стране, кто-то зазомбирован, а кто-то дзюдо борьбой занимается))

Так вот, если у вышеперечисленных людей сознания не поменяется, то до одного места ваши ролики и эта якобы борьба с властью

А людям, которые не ходили на выборы, в связи с отсутствием альтернативы советую проголосовать на поправках Конституции и доказать, не словом а делом,что против нынешней власти выступает много людей

Нужно принимать эту реальность, и если штаб Навального действительно  хочет каких-то изменений, то надо действовать вам по другому немного. Видео про разоблачения: олигархов, чиновников это конечно хорошо, но вас смотрят люди, которые и так не поддерживают  Едро и по сути вы топчетесь на месте
А вот, если пенсионеры поймут правду и ещё какие-то люди, которых вы не охватываете с вашими нынешним информационным ресурсам, тогда изменения в стране произойдут

Не мне 20тилетниму пацану учить вас , как работать, но вы Алексей, со своей командой явно не дорабатываете",2020-05-25T03:14:22Z,0
55,UgypAAh23LbKSjWV-Gp4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Николай Алексеев,"Памфилова,отличающаяся ""повышенной чувствительностью"" на перемены,уже заявила о том,что поправки вступили в законную силу.Что только путинская ""доброта"" и ""ответственность"" являются условием для голосования.Конечно,они ""отголосуют"" с самым ""нужным"" результатом.Но...,начиная с 2012-го года,сидение в Кремле,-результат своеобразной трактовки статей основного закона.Живы ещё написатели Конституции 1993-го года?.Спросите Саттарова или Шахрая,про положение о ""двух сроках"",узнаете много нового...Конституцию-то писали для демократической страны,которой отроду было-два года.А Владимир Вдадимирович,управляет ядерной и энергетической сверхдержавой,с историей и корнями в тысячу лет.Почвствуйте разницу.....",2020-05-25T02:31:14Z,0
56,UgwWo7ml1F3fG7vx-sl4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Владимир Путинцев,"Попал Путин после смерти в ад. Чтобы попасть в рай, тебя дожны будут пустить по кругу столько раз, сколько ты был президентом! А Терешкова сдесь, что делает? А это она будет счет обнулять!",2020-05-25T02:10:58Z,0
57,UgwI_SAHd4uIEzj8gzV4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Ольга сирова,"Привет Алексей, обратите внимание на нашего белорусского блогера Сергея Тихановского,у нас сейчас предвыборная компания, несмотря на пандемию, народ против Лукашенко, люди устали и хотят Перемен!! Канал Страна для жизни""",2020-05-24T22:37:56Z,0
58,UgwMvZmCPQwj6TiHmEd4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,М О,"Хотел Проматериться, Ладно не Буду,Просто Пусть Единая Россия, Объеденятся и Свалят От Греха Подальше, Без Крови...",2020-05-24T21:01:58Z,0
59,UgwFq3F5Otb6H8QPkKB4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,2,Кирилл Акимов,"Правительство РФ выпустило постановление о том, что следующие выборы пройдут в Фортнайте.",2020-05-24T20:12:58Z,0
60,UgzQ8grqcoxB-kabme54AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Jacob Pedersen,👍👍👍,2020-05-24T19:32:50Z,0
61,Ugz9cpYlvnHPBpmEWXN4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,1,Елена иовчева,"Они уже проводят голосование по смс, приходят люди к бабушками учат как отправить свои голоса! Так есть в Курганской области",2020-05-24T18:43:27Z,0
62,Ugyu32HAJjeXk_73lK94AaABAg,PAtW3a3NbXE,Навальный LIVE,1,0,Beslan Achba,"Долой Соболь , долой Навального , предатели родины , западные жулики !",2020-05-24T18:20:31Z,0
63,Ugyu32HAJjeXk_73lK94AaABAg.992eNz06U_B992rXVRbKod,PAtW3a3NbXE,Навальный LIVE,0,0,Темное Пламя,"Конечно долой. Нечего им блогерствовать ,пора уже и в президенты.",2020-05-24T20:15:25Z,1
64,Ugyp-HygNQ5_XUl_brZ4AaABAg,PAtW3a3NbXE,Навальный LIVE,1,0,Beslan Achba,"Все на голосование , Поддержим Путина !",2020-05-24T18:17:33Z,0
65,Ugyp-HygNQ5_XUl_brZ4AaABAg.992e2F0h3OT992rtYjT0q3,PAtW3a3NbXE,Навальный LIVE,0,0,Темное Пламя,Конечно поддержать надо. Под руки. Ато упадёт старик и убьётся ненароком. А это грех.,2020-05-24T20:18:33Z,1
66,UgzQ8jCvD-P7pWGxl1V4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Виктория Ремезова,Любовь-ты лучшая,2020-05-24T18:04:00Z,0
67,UgwMUDXTdpLawBT2A654AaABAg,PAtW3a3NbXE,Навальный LIVE,1,1,Dmitry Kuzmin,"История безжалостна.
Роберт Мугабе Зимбабвийский диктатор, перед свержением имел рейтинг 82%...
Чаушеску думал, что его рейтинг 100%, так как ему никто не докладывал о реальном положении дел"". За день до расстрела он снизился до 94%.",2020-05-24T18:00:24Z,0
68,UgwMUDXTdpLawBT2A654AaABAg.992c4al1Hbh992sJJSnuT0,PAtW3a3NbXE,Навальный LIVE,0,0,Темное Пламя,"😂😂😂 у всех диктаторов такие рейтинги. По ним смело можно определять функциональную зависимость ,степени прогнивания.",2020-05-24T20:22:13Z,1
69,UgxFpdpV5BsWeAFzA814AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Ио Мио,Несмотря ни на что я уверен в наших людях: они всё равно придут и поддержат поправки.,2020-05-24T17:57:36Z,0
70,UgyHvFl_etnoHsOM9HJ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Евгений Сизов,"""Властям ведь не нужны неуправляемые друзья. Властям нужны управляемые враги – чтобы ниша была плотно занята и случайных идиотов в ней не заводилось. Чирикать они могут что хотят – главное, чтобы в час «Х» повернули толпу куда надо. Вот поэтому чекисты будут надувать через камуфлированную соломинку все это либеральное разнотравье и многоцветье, даже если нефть упадет до пяти.""© В. Пелевин.
Как в воду глядел. В нужный момент зачирикал Навальный про коронавирус вместе с кремлем. Всех посадили под домашний арест. Убивают бизнес. Люди становятся нищими. А либералам навальнинского разлива всё отлично. Опять крокодиловы слезы, теперь по бизнесу. А то было не понятно, что если всех посадят под домашний арест, то экономика рухнет и люди останутся без доходов? Интересно, есть ли в приходе Навального вменяемые люди? Вы запугиваете людей больше чем официальный кремль.
В апреле месяце смертность в Москве выросла на 20 % по сравнению с 2019 годом, а в Белоруссии упала на 1, 7%. И там, и там коронавирус, а результат разный. И разный он, потому, что Навальный с путиным загнали людей в квартиры, а в Белоруссии нет. Сколько в Москве умирают от сердечно-сосудистых заболеваний, от рака, от страха. Убийцы!",2020-05-24T17:51:13Z,0
71,UgwXXqJF1_LQS6hHtbl4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Vladimir Glukhov,"Вроде красивая девушка, но видимо у нее не стоит. Сам Алексея поддерживаю и ранее думал Путин будет человеком, но дальше разговоров видимо только мой половой орган. Через такие каналы легко отслеживать людей кто поднял голову, а поднятую голову проще рубить. Пишите письма в Прстоквашино, там хотя бы дядя Федор на них ответит.",2020-05-24T17:18:12Z,0
72,UgxVyEunxhEcMrRi9394AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Scur 1,"Не позорься с ТикТоком, прошу...",2020-05-24T16:35:08Z,0
73,Ugwz9qYqybQzE6yYCGV4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Юрий Шевчук,Либирасня,2020-05-24T16:21:37Z,0
74,UgyHj4C07pskuj7exoJ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Киллер Би,"Проведут, никто не придёт и они сами заполнят все галочки под козырьками школ. Нам нужно идти и голосовать ПРОТИВ.",2020-05-24T14:09:52Z,0
75,UgwNhVaLIDDJan3vID14AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Коля Ковач,Есть территории и население .Народа больше нет.Он и не нужен.,2020-05-24T13:59:44Z,0
76,UgwgXdauTAZXA9vZ5dp4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Клава Пчёлкина,Мне уже с пятницы сказали выходить на работу. Так что вообще ничего не понятно с этим 🦠,2020-05-24T13:52:49Z,0
77,Ugz12lRZp3_ofCyrbrJ4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,майор томин,"Меняй интонацию Соболь, а то общение как у подружек 15летних в туалете школы, обсуждающих мальчиков. Работай над собой, иначе не Соболь будешь а Писец.",2020-05-24T13:42:13Z,0
78,Ugw7Wi2veQPa8tCeq7F4AaABAg,PAtW3a3NbXE,Навальный LIVE,0,0,Владислав Богатырев,Какие нафиг дополнительные деньги Дагестану? Это самый коррумпированный регион России!!!,2020-05-24T11:25:40Z,0
