,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwtpzgjUOKaqIHDZyN4AaABAg,PeYWta88W3w,Навальный LIVE,135,902,Навальный LIVE,"Подпись за то, чтобы людям оказали прямую денежную помощь прямо сейчас.
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 7 мая: https://youtu.be/RZMC63FPFeM",2020-05-08T23:44:13Z,0
1,Ugwx1w8GznAM80-9EKd4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Y Ch,За сколько тыщ рублей Госдеп разрешил квартиру снимать? Лучше бы маски соседям купил.,2020-06-24T10:05:20Z,0
2,UgxEy4UGrpTiT4CW-w94AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Владислав,Алень,2020-06-24T08:27:58Z,0
3,UgyR-q6HpnRgCK6u4BR4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Андрей Демьянов,Алексей полностью с вами согласен ! от этого пафоса тошнит до глубины души!,2020-06-17T17:28:46Z,0
4,Ugz-03ENaRZlvGJGtWV4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Gulzat Matisakova,Ааахахаха что за маразм? 😂😂😂,2020-06-15T00:12:07Z,0
5,Ugx0TzIYTsBLwRBcap94AaABAg,PeYWta88W3w,Навальный LIVE,0,0,ivan ivanov,"Читаю книги о второй мировой войне коммунизм национал-социализм германии демократия соединеных штатов доктрины боевых действий изучаю спрашиваю у людей делюсь опытом но до сих пор  НЕ ПОНИМАЮ ЗАЧЕМ ПРОВОДИТЬ ПАРАД 9 МАЯ ПОБЕДА КАКАЯ ПОБЕДА НИКТО НИ КОГДА НЕ ГОВОРИТ ЧТО СССР ВЫИГРАЛА ФАКТИЧЕСКИ ВОЙНУ, А СОЮЗНИКИ СТРАТЕГИЧЕСКИ США И АНГЛИЯ ПОИМЕЛИ И ЗАРАБОТАЛИ ТЕХНОЛОГИИ И СРЕДСТВА А ТАКЖЕ ВЛАСТЬ И УПРАВЛЕНИЮ ВСЕЙ ЕВРОПЫ КЛЮЧЕВЫЕ ПРОЕКТЫ (МАНХЕТОНСКИЙ ПРОЕКТ, ПРОЕКТ СКРЕПКА ИТД.)  А МЫ КРОМЕ ПАРАДА НИЧЕМ ПОХВАЛИТЬСЯ НЕ МОЖЕМ ПРОСРАЛИ ВСЕ ЧТО ТОКО МОЖНО ОСТАЛАСЬ ПОСЛЕДНЯЯ КАПЛЯ ЯДЕРНОЕ ОРУЖИЕ ЕЩЕ ЧУТЬ-ЧУТЬ И ВСЕ ДАЖЕ ПАРАДОМ ХВАСТАТЬСЯ НЕ СМОЖЕМ))))) ВСЕХ С ПРАЗДНИКОМ НЕ ПОНЯТНОЙ КАКОЙ ПОБЕДЫ.",2020-06-13T20:24:45Z,0
6,UgwptWSDaCzbOQaNfWd4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Ruslan Marat,помогите бедному бомжу свалить отсюда в европу я с детства мечтаю уехать жить в германию я не хочу жит в этой дурацкой стране не могу роботать просто стыдно быть глупым и рабом мне совсем не понятно за что миллионы наших дедов проливали кровь но с другой стороны им повезло что они не видят весь этот кашмар что творится сейчас иначе они все бы сбежали к гитлеру пусть навальный станет президентом рф и освободит россию,2020-06-03T01:59:24Z,0
7,UgzMuBQ_HHlRaFPf5Gh4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,сидящий бык,"Алексей Ты зачем будоражишь народ, это Великий праздник,по твоим словам может ещё вечные огни потушим. Ты настоящий швондер.",2020-05-30T06:41:30Z,0
8,UgyvuRWvL49EdCiPB3l4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Alexandra Zabelina,"А что же ты молчишь про своих сторонников, которые выложили в ""Бессмертный полк"" фото нацистов? И ты их даже не осудил за это! Мне нравилось в твоих видео, что ты правду рассказываешь. И после такого надругательства над памятью наших дедов я ожидала объяснения  или.. ну хоть какого-то отклика! Где же твоя справедливость? Такой должна быть Россия будущего?",2020-05-29T08:30:26Z,0
9,UgxZcny3bW-vc5aEuwR4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Роман Елфимов,8:06 Мем в студию...,2020-05-27T18:52:17Z,0
10,UgxbVsDah3D0eGCzs4N4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,ваф Я,"Что с творится? Он,, действительно, спятил .  Сумасшедший правит страной,  что у нас за люди ..? И это 20 лет..когда люди проснуться? Жалко оппоционеров. .ведь наш народ, эту рабскую психологию невозможно перебороть.. Их будут убивать, а они будут лизать своего хозяина...пока не сдохнут..",2020-05-27T05:01:25Z,0
11,Ugwu2lY-BP452b2ORQF4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Алексей Смекалов,"Алексей, это память, гордитесь и будьте благодарны нашим дедам и бабушкам. Это свято!!!",2020-05-22T19:32:54Z,0
12,UgwWiOTnODhIMVWzUut4AaABAg,PeYWta88W3w,Навальный LIVE,0,1,Vivi Polyana,"Идиотские коментарии стада. Акции ко дню победы в качестве домашнего задания , учат наших детей чтить и уважать подвиг и  достояние наших предков, развивает в них патриотичность и ощущение солидарности с окружающим его сообществом. Может и выглядит это со стороны взрослых смешно и неуклюже, но кто раньше в таких условиях пробовал организовать что то презентабельное? А сторонний наблюдатель всегда поймет, да, вот как у них чтят этот подвиг даже маленькие дети. И это важно в то время, когда им, подрастающим навязывают совсем другую, выгодную западу историю. Может и неуклюже смотрятся эти водолазы, но они не режиссеры, чтоб показать достойное шоу, а как сумели проявили сопричастность к этому событию. Как бы там ни было, нашими детьми находящимися на самоизоляции этот праздник был понят. Многие выучили песни, стихи, может быть в другое время и не стали бы вникать, посмотрели бы салют и все на том. Кстати, салют может и делается на наши деньги, но делается для демонстрации другим странам, странам европы, что мы свою победу не уступим и не позволим ее у нас отнять.",2020-05-18T21:34:55Z,0
13,UgxYKFjTI02fd1mFNnd4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Игорь Пирогов,"Здравствуй, Алекс! Поднимай народ, уже всё, я их зубами грызть буду.",2020-05-18T17:48:43Z,0
14,UgypfcZj67ljVOSOOAV4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Игорь Пирогов,БЕСы (без единой сущности) заполонили Русь.,2020-05-18T17:44:17Z,0
15,UgzlDDgGu-ziiMbUDyt4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,MrAlois113,"Сдал Вова День Победы. Мы его теперь не вправе отмечать. На радость врагам нас заставили вытереть ноги о память тех, кто её для нас завоевал. Позор нам......",2020-05-18T15:59:36Z,0
16,UgzQSLxlzoBXlExxYHB4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,София Гафарова,"Хватит врать. Интересно, были у тебя родители или нет. И не тебе решать, что мне делать
Посчитай лучше свои деньги.",2020-05-18T15:45:19Z,0
17,Ugx-2jCZojR9jzhPLLB4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Алексей Гущин,"9 мая, народ как обычно обклеивает машины наклейками ""Спасибо деду за победу!"".
Вместо того, чтобы биться головой о землю вымаливая прощение у дедов , за то
что просрали всё, что они построили и оставили нам, всё за что они проливали кровь
и за что положили свои жизни.
Просрали построенную ими промышленность.
Просрали колхозы и совхозы.
Просрали бесплатную медицину.
Просрали бесплатное и лучшее в мире образование.
Просрали счастливое и творческое детство для своих детей.
Просрали пенсии и достойную старость.
Просрали гарантии на труд и на жильё.
Просрали уверенность в завтрашнем дне.
Просрали единство, величие и мощь своей страны.

Отдали в руки сионистских нувориш все природные богатства.
Осталось немного... просрать саму Русскую Землю,
что-бы на собственной земле, стать бесправной обслугой для новых ""хозяев жизни"".

К Р Ы М - Н А Ш !!!
_______________


2008 год.___ Китаю переданы 337 квадратных километров в районе Хабаровска.

2010 год.___ Норвегии подарили 300 000 квадратных километров шельфа
(это 60 % запаса российского минтая, месторождения газа и нефти примерно на 30 - 50 миллиардов американских рублей). Для справки: площадь Белгородской области 27 100 кв. км.

2011 год.___ Азербайджан получил половину водозабора реки Самур и два села с проживающими в них 600 семьями.

2013 год.___ В пользу того же Азербайджана отошли ещё порядка 10 000 га.
(300 000 лезгин остались без ""куска хлеба"" - переданы были пастбища, золотой фонд края. На этих пастбищах лезгины сотни лет пасли скот и с этих лугов жили три района. Больше в тех местах пастбищ нет - одни горы.)

Несколько смущают слова: ""подарили""... ""переданы""... ""отошли""...

И вот Китай взял в аренду на 49 лет огромную часть Сибири...
Ударными темпами и за символические копейки вывозит таёжную древесину, строит инфраструктуру, собирается качать воду из Байкала.
Японцы посмотрев на это, тоже подняли вопрос о Курилах.




С Праздником Великой Победы!

Наконец пришло то время, когда российский народ не празднует День Победы (в отличии от белорусов).
Отыскался таки для этого повод.
Это должно было произойти. Потому как...
Осквернённый боевиками РОА флаг уже стал государственным. Милиционеров тоже переименовали в полицаев.
Всё, за что наши деды проливали кровь, уже отобрано у народа. Осталось разобраться с советскими праздниками...",2020-05-17T13:30:46Z,0
18,Ugwm-i_qDMWpy5gPZ6Z4AaABAg,PeYWta88W3w,Навальный LIVE,0,0,Нина Красавцева,"Мне одной кажется, что у этого урода глаза маньяка?",2020-05-17T02:51:13Z,0
19,UgyXCKXKbwGwUoYdtLp4AaABAg,PeYWta88W3w,Навальный LIVE,0,1,Максим Аооа,Москвичи вышли на привычные всем места проведения салюта и обломались: салют был только в одном месте и никто об этом не знал,2020-05-16T10:18:01Z,0
20,Ugz0AWFT1Eg5qPacJ9V4AaABAg,PeYWta88W3w,Навальный LIVE,0,1,С М,Когда будет расследование про Собянина?) Лайк,2020-05-16T08:47:01Z,0
21,Ugyv8u-voe9MQmS7VKx4AaABAg,PeYWta88W3w,Навальный LIVE,0,1,Vassya B.,"Алексей! Вы всего не знаете. Я много лет живу в иммиграции и поражаюсь, как работает их пропаганда и школа тоже. Сразу после окончания войны, опрос в Западной Европе: кто победил нацизм? 100% отвечало: СССР. Прошло 20 лет. Тот же опрос: 50% отвечало - СССР (или как они сейчас говорят, Раша, Россия) и 50% - америка. Прошло ещё 20 лет, почти 100% отвечает: америка.
Держитесь за стулья!!!!!!!!! Меня здесь 3 раза спрашивали: а Россия воевала на стороне Германии? Моего друга спрашивали также. Причём, спрашивали люди не с 6 классами образования. Недавно у нас в компании был трейнинг, оказание первой помощи. Ведущий, грамотный человек. На перерыве разговорились. Он узнал, что я русский, говорит, о, я недавно был туристом в России, в Петербурге, понравилось. Я спрашиваю: про блокаду Ленинграда что-нибудь говорили? Нет. Он добавляет: я был очень удивлён, оказывается, это Россия победила гитлера!!!!   Я не удивлюсь, если через 10 лет будут учить: бедная Германия освобождала узников Освенцима, замученных Россией!
Когда мы им говорим сколько людей погибло, они делают квадратные глаза: не может этого быть. Надо парады и бессмертный полк проводить каждый месяц.",2020-05-16T06:51:52Z,0
