,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxQ9oheBLk9KtlV6ch4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Ромашка ромашка,Молодец Терешкова. Путину - ДА.,2020-06-29T19:22:17Z,0
1,UgwqmoomlasX7fZE_-x4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Андрей Воронов,Если бы голосование прошло как надо - поправки бы не приняли никогда и ни за что!!!,2020-06-25T16:31:24Z,0
2,UgxvCslgeBn1vbkcPCJ4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Алексей Журавлев,Сколько надо процентов столько и нарисуют.,2020-06-21T13:36:30Z,0
3,UgxI8tO2veqy0BpFYhx4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Иосиф Сталин,ОПГ быть властью не может !,2020-06-21T04:41:08Z,0
4,UgzwRrm9ifm_4pe4NvJ4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Динар Юнусбаев,Страна Вранья и Воровства,2020-06-20T06:50:52Z,0
5,Ugyz6DAaFgY7Aq4UmJt4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Степан Педан,"Серьёзно?! Голосование? Зачем? Можно и без него, мы русские, мы схаваем!",2020-06-17T20:19:41Z,0
6,Ugxh5nYll1psBVCfT3F4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Лариса Меркурьева,"Нулевой пропагандистский материал. Все-таки у Вас, господа пропагандисты так... Да только трошечки не так. Все перекрутили. Ах как же Вам Путин поперек горла.",2020-06-17T19:17:16Z,0
7,UgzGqdcIg-NxdDxwuBB4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Дмитрий Полянский,В топы,2020-06-17T12:48:57Z,0
8,UgxOK-xMXtZLbdlUksl4AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Анна Свободная,Отличный смонтировано! И смешно и жутко!,2020-06-17T04:21:08Z,0
9,UgwNrnqkAjZ5wSSShU94AaABAg,PuDrc70GIII,Навальный LIVE,0,0,Ivan Marinicev,"А дзюдо хоккеист может победить,лохов в стране что то многовато, а это херовато",2020-06-16T15:15:52Z,0
