,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugxk1fKm4B8E8WpxVRp4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Чунгаツ Чанга,🤣👏,2020-07-02T17:49:04Z,0
1,UgxRVsB_7yKW_oWKP6d4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Юрій Клімчук,Це що такий юмор,2020-07-02T16:58:39Z,0
2,UgxqhfHbFypeEgHA_ed4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Sam Brown,😄😄😄,2020-07-02T06:51:19Z,0
3,Ugwdxj1kYdmuHwFYAy94AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Владимир Шнейдер,Иногда лучше такой сортир чем никакого наливкин вперед банзай!,2020-07-01T16:00:13Z,0
4,UgxBQ7ns5PHrOll5-bZ4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Николай Гуров,"Смех смехом, но в нашем городе даже таких общественных туалетов нет.",2020-07-01T15:08:48Z,0
5,UgyZqd5dxLYxhzyT5eZ4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Алексей Кольский,Наливкина в президенты!,2020-07-01T08:26:26Z,0
6,Ugw5Q1v-T5rYDDrSPpt4AaABAg,QZOKuI5OH3Y,BARAKuda,1,0,Canon Canon,"Подождите, это прикол,  пранк?",2020-06-30T20:55:29Z,0
7,Ugw5Q1v-T5rYDDrSPpt4AaABAg.9AYCXKzJTxm9AYSLMsjz6Q,QZOKuI5OH3Y,BARAKuda,0,0,Мухамед Иванов,"Ну конечно же! Если бы это правда было бы его бы уже убрали бы, так как не угоден фашистской власти.",2020-06-30T23:13:39Z,1
8,Ugy5YBjNH4TufJtWizB4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Viktor,Охуенно,2020-06-30T20:52:41Z,0
9,UgwCKmhBoyAwJFjCsY94AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Стас Лапицкий,Наливкина в президенты!,2020-06-30T19:42:43Z,0
10,Ugzid6_EmS_JsA4rxUx4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,ttgl08,А зачем перегородка? Вместе гадить веселей.,2020-06-30T10:28:04Z,0
11,UgyEi8VhIiuXioW5-Lx4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Alex W,Наливкин - человек слова и дела! Всегода на шаг впереди!,2020-06-29T20:54:58Z,0
12,Ugw7cv6IkNWyTuv6u714AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,► mixazbos ツ,"Ххаха, до слез реально. Виталий не просирает бабки из бюджета и строит страну будущего",2020-06-29T17:11:55Z,0
13,UgxkpgAOVhDKSJ7qCqN4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,N04b,"Ну че как в жизни, снимайте про открытие мусорного контейнера с парадом и музыкой)",2020-06-29T10:48:04Z,0
14,UgyCHsVjKCTzXSfjQdZ4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,vredina,"Наливкин на царя похож? Ну уж взглядом честных, открытых и праведных глаз точно!",2020-06-29T10:43:54Z,0
15,Ugyk4tQj0bvZ3CwOcA54AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,blondin 1803,ну эта Пять !!!,2020-06-29T05:40:32Z,0
16,UgweIJbKTc0NqMnxs2F4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,alexsey200095,Что в Уссурийске у всех такие рожи пропитые?,2020-06-28T23:12:28Z,0
17,UgyGctxLMoAUPQStOel4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Фёдор Маляркин,Как сериал смотрю ))) и бумагу из предыдущих роликов в сортир затащил и освежитель на полку перед входом поставил 🤣🤣🤣👍👍👍,2020-06-28T20:36:03Z,0
18,Ugx1Nn_lbDVclYP1Fx54AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Узденов Мурат,"А куда там срать? Яма под таким туалетом полагается, а тут бетон. Пару раз посрать, и уже некуда будет.",2020-06-28T20:35:47Z,0
19,UgwAclv1EwJf8qj2VF54AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Роман Ткаченко,"Там хоть такие есть, у нас в Челябинске вобше не каких нет, я рад за них.",2020-06-28T17:44:38Z,0
20,Ugw3MBK47L1LEUZ1hEd4AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Sergio Travel,🤣👍🔥,2020-06-28T15:52:26Z,0
21,Ugx7GDqm_sfmS7QH0L14AaABAg,QZOKuI5OH3Y,BARAKuda,0,0,Марина Ф,Кто дизлайки ставит? Или вам туалеты не нужны????😂,2020-06-28T14:26:38Z,0
