,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugz0uMppcO5KVZGaE4F4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,24,15,Телеканал Дождь,"Поддержите нашу работу: https://tvrain.ru/donate/
Подписывайся на канал: https://www.youtube.com/user/tvrainru?sub_confirmation=1",2020-06-27T09:34:49Z,0
1,UgwEWMD10K7a9iN7-8p4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,Вячеслав Евгеньевич,"Вот такие суки работают на Дожде! А,как вам!?  Вот так работает ""Дождь"",всё против России!!!",2020-07-02T18:26:47Z,0
2,UgxNSO_aJD3W3ymH3pR4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,Анатолий Чайкин,Клоунада,2020-07-02T09:43:58Z,0
3,UgwQOPsDGKBSr5h_iT54AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,J S,*1 июля был вбит осиновый кол в задницу российским либерастам! Ура!*,2020-07-02T07:27:12Z,0
4,UgzhHIvVBt9lU2qlmit4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,1,Виталий Смирнов,👎,2020-07-01T16:55:23Z,0
5,UgyIFCbMDR0uR0qbTVB4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,Екатерина Фомина,"Бедный дядя,уже на таблетках",2020-07-01T15:22:46Z,0
6,UgxSRl9F9mHdenT9C9Z4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,РОЙ РОЙМАН,Я   В   МОСКВЕ ОБЩЕСТВЕННОМ ТУАЛЕТЕ ГОЛОСОВАЛ ДА ЕЩЁ И НЕ СНИЛОСЬ ЧТО РУССКИЕ ДАДУТ   100 РУБЛЕЙ И ТАЛОН НА РЫБУ В ОКЕАНЕ,2020-07-01T15:04:43Z,0
7,UgztMPTXL69YyCE3tEp4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,Екатерина Фомина,"Бедный дядя,уже на таблетках",2020-07-01T14:02:42Z,0
8,UgxERV0h00L3BNxSD1Z4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,Мария Поталюкова,"А то, что ни одной операции по якобы случившемуся электронному голосованию не показано крупным планом никого не смущает? Люди, вы мозги включайте, хоть иногда!",2020-07-01T13:13:40Z,0
9,UgwN5rrNK5vuD0ehHV14AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,igor валерьевич,"полиция не имеет право прикасаться руками  к сумочке  при таком  первичном осмотре 
 -только при тщательном досмотре  и с понятыми",2020-07-01T13:09:30Z,0
10,UgzkCv5QZoeECGpPvlB4AaABAg,RDl-c_6Q_NI,Телеканал Дождь,0,0,Будущее России,🤣🤣👍,2020-07-01T12:54:58Z,0
