,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyqLKd0eXgXLcn-p7J4AaABAg,RVXVH0_tGH8,Навальный LIVE,49,342,Навальный LIVE,"Кампания «Пять шагов для России»: https://5steps.vote
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 28 мая: https://youtu.be/UPuY6A8gR9U",2020-05-29T20:38:13Z,0
1,Ugwvb8G26Ij9RNIQkT14AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,imperator Konstantin,😂😂😂👍👍👍 Раньше скоморохов вобще в города не пускали. Растащило. Работать не пробовали?,2020-07-03T07:46:58Z,0
2,UgzPemGZaYzrlcBpfcZ4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Ольга Ветрова,"Представляю :Тарзан на страшном суде .Господь говорит -за то что ты крутил своим корнем и соблазнял тем самым многих отправляешься разгружать вагоны в вечность .Тарзан покайся пока не поздно ,ещё есть время .",2020-07-03T06:01:32Z,0
3,UgwnI6wP_eIhaVv8wPt4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Ольга Грибенюк,"Вот и раскрылись наши ,,звездопуты"", больше всех стонут бездарные, никчемные шуты  - Валерия, или, как её - парфирькина; голозадый шут тарзан, Витя Билан, Безруков, все те, которых забыли давно...
Вылезли, чтобы протянуть руку для оплаты своего лизоблюдства!",2020-07-03T05:38:52Z,0
4,UgxGzwGnmnX1lDdWL-x4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,ATOMOP 2699,"Новальный  ,ты такой же безпренцыпный,продажный  ч м о ш н и к как и пригожин  .  Только у вас хозяева разные .",2020-07-03T01:21:38Z,0
5,UgyasucL-iIl80zUkUV4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Ольга Абрамова,Кот Баюн!,2020-07-02T22:08:10Z,0
6,UgzO7UX3sDG3iuIr0GZ4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Алексей Копылов,"Какое точно название продажных артистов,  Полезные Идиоты!!!!  Класс",2020-07-02T18:41:12Z,0
7,UgwADlrXw0yo6mj6LBt4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Валентина Пищенко,"Я за изменения в конституци.Если доживу,буду голосовать против нынешних фигурантов 2020 г(в сентябре,и в 2024г(потеряно доверее,",2020-07-02T18:17:30Z,0
8,UgxqUI-nNt1JFiSG9YJ4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Валентина Пищенко,"Согласна на этот раз с На вальным,Пореченкоа на самом деле из всех актеров-самый тупой,жадный и беспринципный",2020-07-02T18:08:31Z,0
9,UgwLSYXF7krj67vuawF4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,1,Светлана Губаева,"Давайте скинемся  по 100 рублей бедным паяцам и скоморохам.
А то у их собачек цепи без алмазов.",2020-07-02T09:19:22Z,0
10,Ugzmqw1-NgfcC4JQ2Hx4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Momose Sonohara,"У кого есть совесть и честь...
Их нет ни на телевидении и эстраде...",2020-07-02T09:01:59Z,0
11,UgxJ50es73XrWF0gBLB4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Ольга Колпакова,А о себе слабо рассказать?!!! От желчи уже аж рот на боку,2020-07-02T06:43:56Z,0
12,UgzBR28GZj2un-bubmJ4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Любовь Кашина,"Навальный хитро придумал:ОБСИРАЕТ весь ШОУ БИЗНЕСЕ, а в конце всё ПУТИН в этом замешен и виноват во всём. ..",2020-07-02T01:43:27Z,0
13,Ugzk62qrlALZUhRuxix4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Любовь Кашина,"Навальный, сидишь и ОБСИРАЕШЬ ВСЕХ и Всё, я смеюсь над тобой, какой ты жалкий, злой, но ничего у тебя не получается и не получится, ты лучше ПУКНИ, может полегчает. ...",2020-07-02T01:38:29Z,0
14,UgyA-ZDoT7piItIXhix4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Любовь Кашина,"Дааааа, как же ПУТИН тебя бесит, наверное даже кушать не можешь. ..",2020-07-02T01:32:06Z,0
15,Ugyy-uc5XfJ-FyhfPJN4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Любовь Кашина,"НЕ НОЙТЕ, САМИ ХОДИТЕ НА ИХ КОНЦЕРТЫ, ОТДАЕТЕ СВОИ КРОВНЫЕ. Я  даже  по телеку не смотрю их концерты",2020-07-02T01:29:39Z,0
16,UgyD-ujgZdfN61up6l54AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Любовь Кашина,"Ну конечно, ты лучший и умный, а мы все, так прогуляться вышли. .. Конечно бабушки и дедушки, это СВЯТОЕ я согласна. .",2020-07-02T01:24:24Z,0
17,UgxFSZVcNsTvb2916pR4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Ирэна,"Да ,действительно , у бабушек  отпахавших всю жизнь на заводе пенсия от 8-15000 пенсия из них в среднем 6000 на коммуналку, вот, что останется и есть реальные деньги на которые эти бабушки живут. На хлебе экономят и унитаз смывают через раз, чтобы за воду меньше платить. С бабушками они сравнились...",2020-07-01T19:15:19Z,0
18,UgzWy3xDQwrrIjjohnB4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Дания Садыкова,"Говоря о другом светлом будущем и о другом президенте, очень интересно знать кого же Вы имеете ввиду? Может мы чего то упускаем и не замечаем...",2020-07-01T10:46:10Z,0
19,Ugx_-BTglEp6AMUlPTx4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,валентина Даниленко-Гуляева,"Тошно слушать..., пиарщик",2020-07-01T08:43:51Z,0
20,Ugzbk_i9yD5fsrzEIdR4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Kremenj Krimnjevs,Алексей говорит все правильн единоросы выставляют знаменитостей.,2020-07-01T08:16:37Z,0
21,UgyAHza1_uXuFR6JZzh4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Kremenj Krimnjevs,"Хватит их делать жирными они без нас немогут а мы можем.В нас вся сила ,а они без нас полный 0.",2020-07-01T08:13:36Z,0
22,UgwMXyJzLm2etlbM6DN4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Kremenj Krimnjevs,"Люди, набудущее поменьше ходите на концерты без этого можно прожить ,а занимайтесь лучше спортом.",2020-07-01T08:10:42Z,0
23,UgzZwcn3F6Zv1gD0qcB4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Alter Ego,"Эти мрази - певички там всякие думают, что пашут как лошади, а кругом лодыри. Торгуют своей жопой и  «парят» над всеми нами.",2020-06-30T19:17:16Z,0
24,Ugy-JSp1WFziTI2HzYV4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Елена Пакалова,"Если Тарзану нечего кушать,пусть придет ко мне пенсионерке ,я его покормлю",2020-06-30T12:53:36Z,0
25,UgzVYKoIxb6KImSHFKB4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Татьяна Брускова,"Доподпевались......,   на   артистах      ответственность    за   мировоззрение   людей,   за  их   жизнь,   но  они   в   основном   ""   идут""   в   обнимку""   с   властью,   так   нечего   жаловаться   на   ""бедность"",   уважаемые""   доверенные   лица""!   Господину   Пореченкову   ""славословие""   надо  бы   ""притормозить"".",2020-06-30T10:01:36Z,0
26,UgyHGGl_Pxn7-GTxAOB4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Найля Зиннатова,"Я работала продавцом,меня отправили на самоизоляцию,на два месяца, без зарплаты, ладно у меня муж дальнобойщик,кормил.А если я была бы одна с ребенком, умерла бы с голоду.Хочу призиденда Навального!!!!",2020-06-30T03:56:08Z,0
27,UgyXhQYK1T0BWNr6rrp4AaABAg,RVXVH0_tGH8,Навальный LIVE,1,0,Лена Бабыкина,"Я уважаю Пригожина и Валерию.Они занимаются благотворительностью.Помогают детским домам. Я простая женщина,пенсионерка. Живу под Хабаровском и знаю...Про других не знаю...",2020-06-30T03:14:50Z,0
28,UgyXhQYK1T0BWNr6rrp4AaABAg.9AWJ8xeSBJM9AY33jTaFH0,RVXVH0_tGH8,Навальный LIVE,0,0,xKaaddy,"За то, что оставила двоих детей Пригожина  без отца, тоже уважаете ?",2020-06-30T19:32:48Z,1
29,Ugx5BJoctjLnTQHxmyV4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Анжела Краснова,"Есть более молодые и талантливые, зачем старые кости перемывать",2020-06-29T17:03:24Z,0
30,UgwHLkpPhk0yx0OtyGB4AaABAg,RVXVH0_tGH8,Навальный LIVE,0,0,Лариса Нефедова,"Первый раз прочитала комментарии на выступление Навального. Ужас. Как можно так оскорблять людей. Вы  думаете, у артистов пенсии больше наших. Нет, у всех  одинаковые. Большие они у госслужащих. А деньги  артистам платим мы за их талант. Они не пилят бюджет, не получают большую зарплату, не воруют. Они зарабатывают своим трудом и талантом.  А кто вам мешает? У меня тоже пенсия 10000 и зарплата 20000. Извините, кто на что учился. А кто вам мешает зарабатывать? И хватит оскорблять всех подряд. Читать противно и больно.",2020-06-29T16:24:13Z,0
