,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwwNLyerueSJwSoDQ54AaABAg,SIQvZ07KWYY,Максим Кац,121,1666,Максим Кац,"Жыве Беларусь! 
Подписывайтесь на канал :). Тут интересно, про Беларусь будут ещё выпуски по мере развития событий",2020-06-21T11:55:28Z,0
1,UgzL9J7jn7n0PZm0C2t4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Сергей Нординов,За своободную страну,2020-07-03T08:11:56Z,0
2,UgzSBANZylF06_8Xo1x4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Капитан Корабля,"было у отца три сына: старший — слава украине, средний — жыве беларусь, младший просто был за русь.",2020-07-01T17:23:14Z,0
3,Ugyx0rQyJSVkGUX37DZ4AaABAg,SIQvZ07KWYY,Максим Кац,0,1,Матвей Чо,"2014: Вы что хотите как на Украине?
2018: Вы что хотите как во Франции?
2020: Вы что хотите как в Беларуси?",2020-07-01T13:18:34Z,0
4,Ugw_vrPUzgEreNWZbTd4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Nick Vento,Спасибо за выпуск!,2020-07-01T13:01:27Z,0
5,UgwfK9KumizBjidgTVl4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,XXX,*Ща будет ещё один майдан*,2020-07-01T11:52:20Z,0
6,Ugys5hnta-6bIuJAuJd4AaABAg,SIQvZ07KWYY,Максим Кац,0,1,Kolyanilia,"Жыве Беларусь! Слава Україні!
А какие лозунги будут в России когда ссаными тряпками путина будут гнать?",2020-06-30T22:35:32Z,0
7,UgymdzXxeL4v0vxYOmx4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,big boss,"Очень интересно, чем всё закончится. Но конечно очень хочется, чтобы наконец Беларусь превратилась в нормальную европейскую страну",2020-06-29T05:54:59Z,0
8,UgzppzZXMa7YUUqtIQ54AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Kisti Pero,Жыве Беларусь!,2020-06-28T20:43:58Z,0
9,UgyrZW_qY9iM7IqmJdZ4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Само Разочарование,"У Беларуси такой потенциал, даже не представляю какое отчаяние сейчас испытывают жители страны, когда до победы здравого смысла было рукой подать.",2020-06-28T09:07:40Z,0
10,UgzBjhtNI1URD0Sx-Hh4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Леня Голубков,Стиль обложки видео - оч притязательно,2020-06-27T21:24:46Z,0
11,UgyvUTQZuPH1NmJB-Ht4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,zorik B,"В Армении уже народ победил. Теперь новый президент пришедший к власти с революции народа видимо сам готовит почву что бы стать диктатором. Лукашенко конечно диктатор, но глава Белгазпромбанка, вы в серьез полагаете что он будет лучше? Как то совсем нелогично",2020-06-27T18:42:23Z,0
12,UgywhNOMGH8kvmXmQB54AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Добрый Енот,Спасибо за освещение ситуации ✊,2020-06-27T16:31:36Z,0
13,Ugy_dQR_cI9YHmDysRx4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Александр Шведов,"Вот уже Беларусь просто травят! Буквально отравленной водой из крана! Саша 3% думает, что нет народа – нет проблем?",2020-06-27T10:09:51Z,0
14,UgzQkzbLTtS-bLKZHVR4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,RU MedveD,Ессть)) Путин смотрит и офигевает,2020-06-27T07:08:19Z,0
15,Ugw1SM6BLllM-nGWpqZ4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,RU MedveD,"Может произойти новый майдан, так как нашей власти и Путина не нужна народная демократия в соседских странах...",2020-06-27T07:03:26Z,0
16,UgyiKbLTYMBnkWwGQ4V4AaABAg,SIQvZ07KWYY,Максим Кац,0,1,Dmitry Ostrovsky,Мужества и удачи белорусам💪🏼,2020-06-27T02:52:42Z,0
17,Ugw1C_ac2iN03mrWoOB4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Олег Штикклинг,"а если все в окна своих домов будут выставлять свои протесты, то к ним на дом будет милиция приходить, да?",2020-06-26T18:16:01Z,0
18,UgxAMzqhitye2wiuZDJ4AaABAg,SIQvZ07KWYY,Максим Кац,0,0,Maks Niki,"Макс, молодец! Спасибо за труд.",2020-06-26T11:58:02Z,0
