,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwof0MIN8ik26kxTP14AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Цифровой Волонтер,🙃🙃🙃🙃,2020-06-23T11:14:42Z,0
1,UgyikOIMzdPCv34uYQB4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Александр Якунин,пресловуто чешешь.....дээа...,2020-06-21T04:31:39Z,0
2,UgzaHzxxu1G-d9AkzqF4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Игорь Самсонов,Дай бог дожить когда едросов и путинцев вешать на каждой берёзе будут,2020-06-20T11:32:43Z,0
3,Ugz9TT4C4yzRJO_JXz14AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Andrey Perskiy,"Меня уже начинают напрягать такие перлы, как: ""во всем мире цены понизились"". Нифига. Цены во всем мире возросли минимум на 10%. Продукты питания, услуги типа парикмахерских и т.п. Цены понизились только на топливо.
До пандемии в Германии средняя закупка еды в магазине на неделю для трёх человек была в районе 50-60€, теперь 60-80 и это летом. Предметы первой необходимости выросли в среднем на 0.30€, при цене до пяти евро.",2020-06-19T07:44:56Z,0
4,UgwbTwkjmrcBCGxP_5Z4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Александра,Т. Е пенсионеры продали за 1000 рублей нынешние и будущее поколения?,2020-06-17T16:09:15Z,0
5,UgwNqfN4eYxJNocEWrl4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Анжелика Ананьева,Что это обман я не сомневалась,2020-06-17T08:16:24Z,0
6,UgzEYWYhfTDiuKcVoX94AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Валерий Толстиков,Дворцы себе построили своих деток уродов туда посадили. Понадумывали закорючек когда люди ничего не получат а чиновники все отгребут.,2020-06-17T07:56:21Z,0
7,UgyaC-lPQ00OUd61SdB4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Егений Дрожжачих,",Партия пиз-болов.",2020-06-17T05:57:19Z,0
8,UgznuTCvw232E8Xr80F4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Александр Антонец,"Путин украл у меня 5 лет жизни. Будь он проклят вместе с : Чубайсом, Медведевым, Миллером, Грефом, Сечиным, Володиным, Сердюковым, Яровой, Ротенбергами и всей остальной шушерой!!!",2020-06-17T03:24:31Z,0
9,UgyUP2wsIhCTHSw8-994AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Stephen Eglington,"Вот балабол.
Великий финансит, расскажи лучше людям, не про ""тыщу""рублей, а где, в каком государстве пенсионный возраст ниже чем в России? Не приписывай это злодейство Путину. Великий комбинатор пропагандист))",2020-06-16T22:16:30Z,0
10,UgyImZZZPEg5wlDNUp54AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,MIKHAIL KOROLEV,квакушки еб.....е!  лайк Владимир.,2020-06-16T13:29:57Z,0
11,Ugy_x88O2aB9Xt2ksNN4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Оля Золушка,Пенсионеры наверное до сих пор верят нашему президенту и ждут обещанную тысячу,2020-06-16T11:39:38Z,0
12,Ugwo6WZ8d56mMzMg3h14AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Оля Золушка,Как круто нагнули всю страну,2020-06-16T11:39:07Z,0
13,UgwWWhSNHcQZDUM9UOd4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Dmitry Chugunnikov,"По потере кормильца, вообще индексации не было! Вруны и жулики! Средний палец Пуче!",2020-06-16T11:27:52Z,0
14,UgwgJi1WD2vf-vOMe6Z4AaABAg,SprxzOK0-O8,Навальный LIVE,0,0,Юрий Клерк,"Вся эта история воняла крысой с самого начала. Теперь понятно, откуда ветер дул...",2020-06-16T04:46:57Z,0
15,UgzfnCpIG8gDrJavY4t4AaABAg,SprxzOK0-O8,Навальный LIVE,1,2,Татьяна,"Расчёт был что в 2018 мужики смотрят футбол (как детям внимание переключил, они и повелись), а пенсионеры как штрейкбрехеры, предадут своих же детей и будут поддерживать недореформы. Ну и правильный был расчёт, прокатило ведь! Надо отменить новый пенсионный возраст и вернуть прежний!!!!",2020-06-16T00:02:55Z,0
16,UgzfnCpIG8gDrJavY4t4AaABAg.99wv2zqCo4499xZ6S6Gphn,SprxzOK0-O8,Навальный LIVE,0,0,Нюша Агавердыева,"Мужчины не просто смотрели футбол, а активно участвовали в информационной войне против россиянок. И их поддерживали как интернет так и официальные СМИ. Помните эту истерику над якобы массовыми оргиями  россиянок с иностранцами? Иностранцы, кстати никакого особого разврата не заметили.",2020-06-16T06:01:38Z,1
17,UgwO_rak9AWpN-F6JUB4AaABAg,SprxzOK0-O8,Навальный LIVE,0,1,Татьяна,"Геноцид народа, требуем отмены пенсионной недореформы!!!!!!! 😡",2020-06-15T23:57:45Z,0
18,Ugz7qgLhlotfkp51WVF4AaABAg,SprxzOK0-O8,Навальный LIVE,0,2,Татьяна,"У меня на работе пенсионеры ходили и улыбались, правильно все делают, ручки потирали. За наш счёт хотели в рай въехать, вот и наибали их как обычно, и не жалко мне таких глупых и подлых людишек, тех кто радовался этой ""реформе""",2020-06-15T23:54:02Z,0
19,UgzqeLzD1MaNhIFcnpZ4AaABAg,SprxzOK0-O8,Навальный LIVE,0,1,Эдуард Рыбалкин,Отниситесь к этому с пониманием дорогие россияне:))))),2020-06-15T22:31:37Z,0
20,UgxxP41lEjLBmRF3L154AaABAg,SprxzOK0-O8,Навальный LIVE,0,1,Надежда Смирнова,"Обман по полной!!! Уроды так мы из-за них обнищали. Гадина, как у него язык поворачивается говорить, что з/П 17 тыс. р. Среднего класса. А когда спросили можно ли прожить на 10 тыс.  Задумался?!! Молодцы ребята!!",2020-06-15T18:17:23Z,0
21,UgyfjhGk0uKfnI4AlV54AaABAg,SprxzOK0-O8,Навальный LIVE,0,1,max fadeev,"Милов , красавчик ! Первым министром экономики России ,  в прекрасной России будущего будешь назначен -от народа !",2020-06-15T16:55:15Z,0
22,UgzIiMbKJdyoEnan4Up4AaABAg,SprxzOK0-O8,Навальный LIVE,0,1,PAL,С каких пор МВФ приказывает России что делать?,2020-06-15T15:54:24Z,0
23,UgxfBPbMlHZv85Qe5Ct4AaABAg,SprxzOK0-O8,Навальный LIVE,0,2,Дмитрий Иванов,Вранье и воровство банды Обнуляйтера! Милову респект и лайк!,2020-06-15T15:26:42Z,0
24,Ugw_Ed787M3pHPXb_Dt4AaABAg,SprxzOK0-O8,Навальный LIVE,0,1,Smart Avto10,"Это новый ролик, коммент и поддержка. Нет ""обнулению""!оппо",2020-06-15T14:28:56Z,0
