,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwNRuhh1dq81KP-9KB4AaABAg,TwvtRnyFD9U,Навальный LIVE,8,61,Навальный LIVE,"Таймкоды: 

0:00 «ГдеДеньги» на Навальный Live
0:30 Милов в эфире 
2:00 Опрос от Владимира Милова
3:07 О повышении НДФЛ
38:53 Вопросы от зрителей 
43:52 Россия и сделка ОПЕК 
47:39 О падении российской экономики в мае
53:26 О Путинских экономических мерах поддержки
1:13:00 ЦБ снилиз ставку 
1:17:35 Цены на бензин растут
1:19:53 Зеленая энергетика обгоняет атомную
1:25:16 Об экономической ситуации в США",2020-06-26T12:48:32Z,0
1,UgwVIWR1WQqE7KVqqvx4AaABAg,TwvtRnyFD9U,Навальный LIVE,0,1,Natalya,Милов  очень  грамотный  и  умный  !!!,2020-07-02T23:57:53Z,0
2,UgxqLXiFi_M_xsBQOeF4AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,Иван Петров,"налоги растут приход растёт, но всё говорят мало,блин сколько же надо чтобы сказали ,- теперь достаточно....?",2020-07-02T19:01:25Z,0
3,UgygRPP3zF8Ylhj_um14AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,Eldar Gasanov,"99,9% проголосовали против ( Народ )
 0,01 % за ( В.В. Путин)",2020-07-02T15:31:24Z,0
4,Ugz7ookVujHrhqI23kF4AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,Алексей Фролов,а как же им воровать тогда,2020-07-02T15:03:41Z,0
5,UgwPrGnEJN4g5wJvaD94AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,alexey2119,"Разумеется, что низкая производительность труда, привязанность к сырьевой экономике создает трудности для наполнения бюджета и преодолеть эти пороки для действующая администрация не в состоянии, отсюда поиск простых и безопасных для администраторов средств (чтоб это не привело к массовым протестом, но, слава Богу, наш народ все безропотно стерпит). Этот поиск привел в премьеры Мишустина, кот. только и научился за весь свой трудовой путь, как сбирать налоги. И результат: налог на самозанятых, налог на депозит с 1 млн. руб в год, повышение налога с 5 млн.руб в год (никакой не прогрессивный налог) и налог на самозанятых с 16 лет.",2020-07-02T12:38:12Z,0
6,UgynhgLoYbqz4Y8rKBt4AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,Grigory Boew,*5 миллионов* - зарплата учителя или медика в Алтайском крае за *35 лет*,2020-07-02T08:07:03Z,0
7,Ugx878MyTHImxUHYbeB4AaABAg,TwvtRnyFD9U,Навальный LIVE,0,1,Constantine Chistyakov,"А с зарплаты ещё НДС заплати. И не только/

И я не поддерживаю повышение налогов.
И против налогов на труд в особенности!
В стране, где огромные ПОТЕНЦИАЛЬНЫЕ доходы от нефти и газа - нужно брать необходимые средства оттуда. 

Если вы поддерживаете повышение налогов - читайте и смотрите Собачье Сердце. Или оставайтесь типичным ""всё отнять и поделить""!",2020-07-02T04:53:00Z,0
8,UgzXqpwHZ3zJJGnUqX14AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,Татьяна Сысоева,И где мой комментарий. У вас что ограничено количество слов,2020-07-02T02:24:10Z,0
9,Ugx7EUtejl6YIVb5dlx4AaABAg,TwvtRnyFD9U,Навальный LIVE,0,0,Татьяна Сысоева,"У нас  в иркуской области, в том числе в ангарске повысили комуналку  с 1июля  ,хотя зарплаты,,и пенсии стоят на месте  мизерные.экология у нас ужасная  .в каждой семье есть онкология .у меня муж умер в 2016г.и мне видно придется помирать при этом царе.",2020-07-02T02:14:10Z,0
