,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyoUr1c9qi0ke674eZ4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,91,528,Навальный LIVE,"Кампания «Пять шагов для России»: https://5steps.vote
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 28 мая: https://youtu.be/UPuY6A8gR9U",2020-05-29T20:51:20Z,0
1,Ugyotcl4Fs1QTGpussV4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Артур Мальсургенов,Спасение утопающих дело рук самих утопающих у меня девиз лучше умереть от короновируса чем от голода. А все чиновники заканчивали академию минхаузена,2020-07-03T10:12:06Z,0
2,UgzLEq7bmNtvQOr8yHh4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,эмилия Баранова,Артист...,2020-07-03T10:06:41Z,0
3,UgyUxQEVhq46hCX4iVR4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Виктория Байрак,"Так вы выясните,чем болели эти люди!!!сейчас на все болезни один диагноз-короновирус!!!",2020-07-03T08:09:37Z,0
4,Ugz06nw_yPnwb49C5DB4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Халид Хамбахадов,"А как доказать, что ты не врешь? Кому верить? Вот ты нужен кому-то, кто платит, и работаешь. Надоело!!!!!!!!!",2020-07-03T05:14:43Z,0
5,UgwvjytWQajua6YtorJ4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Казбек Ибрагимов,Дагестан не для шаитанов,2020-07-03T04:19:52Z,0
6,Ugw2NySQ1ELxEqk-XSV4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Рустам Гасанов,"У меня был случай у нас в Дагестане в частности в  Каспийске я вышел с автомобиля, зашёл в магазин сделал покупки, вышел и надо мной пролетел вертолёт он что-то распылял, так вот я вышел он пролетел поднялся домой и у меня во рту начался горечь, я минут 5 отхаркивал всю это горечь со рта, прошёл день у меня начались симптомы такие как: периодические нападки и спады температуры, нос перестал чувствовать запахи, периодические нападки жара, вообщем я переболел но успел заразить по всей видимости и мать так как мать домохозяйка она домашний человек она никогда из дому не выходит а вовремя карантина и во все. Вот тогда я убедился что эта болезнь существует но что самое интересное Я УБЕДИЛСЯ на своей шкуре что это все ВЛАСТЬ намудрила!!! Дай Всевышний чтоб у каждого кто участвовал в этом текла кровь со всех щелей!!! Амин!!!",2020-07-02T22:14:28Z,0
7,Ugxggr0KLLD5BGNd_aF4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Магомед Гасанов,Доброго времени суток в нашем селсовете 15 челоек дальше что говорить,2020-07-02T21:45:50Z,0
8,UgxyHFo6EsqmG58hTaV4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,стой и смотри,Ты че чушь всякое снимаешь? Сидишь дома от компа нк отходищь и берёшь информации от сюда от туда не дури людей мозг,2020-07-02T18:25:32Z,0
9,UgzdzgJ4ENC3PTVp2hZ4AaABAg,Tyx6CW0ZtZI,Навальный LIVE,0,0,Kakha Giorgobiani,Хабиб б это дебил и в Дагестане только боици и ни все уважает ни точно другим народ он врёт потому что так и сказали этого дурака что,2020-07-02T16:20:58Z,0
