,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgydxedsVwv9F1zPJ9N4AaABAg,U3TIlgdnzWw,Максим Кац,181,639,Максим Кац,"Многих вводит в заблуждение вся эта байда про игру с шулером, все решено и так далее. Важно распространить видос!
Реклама в видео: flowwow.com/s/maxkatz",2020-06-21T17:28:55Z,0
1,Ugxbf34tPzz3otaCmA54AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Semion Morozov,"Немного нестыковка в конце, но да ладно, в целом интересно было послушать)))",2020-07-02T11:07:20Z,0
2,UgzTmYuveWA-oA5bx4d4AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Wonder Juliet,Спасибо Вам за здравые и понятно изложенные аргументы на такую чертовски важную тему,2020-06-30T23:42:31Z,0
3,UgzzHZ7P8QixG4XBrdR4AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Vladislav Kascheev,Почему-то не оставил под этим видео комментарий! Исправляюсь.,2020-06-30T16:39:59Z,0
4,UgzdRAsBdTMiGADau194AaABAg,U3TIlgdnzWw,Максим Кац,0,0,iRISHA BEST,"У меня также с родителями... не знаю как их убедить идти голосовать против завтра... сама, конечно, пойду.",2020-06-30T16:18:33Z,0
5,UgygU1DyUSUvyUDsSDN4AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Olga,"очень понятно и доходчиво объяснено. даже бабушка бы поняла, что голосовать надо ПРОТИВ.",2020-06-30T13:49:39Z,0
6,Ugx5-7Q7zaLh8ZF1u9B4AaABAg,U3TIlgdnzWw,Максим Кац,0,1,Всеволод Каримов,Этот ролик более похож просто на манипуляцию и теорию заговора,2020-06-30T08:42:46Z,0
7,UgzMb21mSid1kgLyomt4AaABAg,U3TIlgdnzWw,Максим Кац,0,1,Всеволод Каримов,"К этому власти наоборот призывают всех ходить, что за дичь. К этому голосованию пофиг кого вести",2020-06-30T08:40:30Z,0
8,UgwRULJI8ogQr_ZuJh14AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Анна Сычева,Как вы с Навальным интересно друг друга поливаете в своих видео))),2020-06-30T07:35:18Z,0
9,Ugw8yc4y8u2U5T1yFTx4AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Геннадий Шейнов,"О, власти очень выгодно, чтобы на выборы пришло или не пришло половина недовольных, и причем именно половина, именно поэтому половина ""оппозиции"" будет орать не идите, а другая половина будет орать""идите обязательно и голосуйте против"". Именно потому, что если не придут все или наоборот придут все власть может проиграть.",2020-06-30T03:42:18Z,0
10,UgzUkeScawX3uohmzBp4AaABAg,U3TIlgdnzWw,Максим Кац,0,0,Mark Kraftz,"Ну, как там с поправками? В какой мусорной урне проголосовали ""за"" или ""против""?",2020-06-30T02:28:01Z,0
11,UgxITwto61vVdwurkMF4AaABAg,U3TIlgdnzWw,Максим Кац,0,1,Эльвира,"Спасибо ,что вы есть !)))",2020-06-29T14:10:31Z,0
12,UgxFslQFr5l03Ony6yt4AaABAg,U3TIlgdnzWw,Максим Кац,3,0,Zem Zem,"До голосования сутки, а поправки на 76 процентов уже поддержаны.",2020-06-29T13:20:12Z,0
