,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwEOqp00c_Dp1GDBVh4AaABAg,UPuY6A8gR9U,Навальный LIVE,138,938,Навальный LIVE,"Таймкоды:

0:38 В эфире Алексей Навальный или «человек, который придумал, как испортить плебисцит по Конституции». 
2:05❗️От Воронцова до Смирнова. 
9:44 🎥Задержание журналистов Александра Плющева и Татьяны Фельгенгауэр. 
10:44 «Это, фактически, означает, что вообще любые публичные проявления своей позиции будут караться наказанием — арестом, как в ситуации с Азаром и Немытовым, или штрафом, как, судя по всему, это закончится для журналистов». 
23:53 🎥Задержание участников перестрелки на юге Москвы. 
26:05 «Вся эта Росгвардия, все это ФСБ и МВД сейчас существует не для борьбы с преступностью, а для того, чтобы подавлять всех тех, кому не нравится Путин и его мафиозное государство». 
28:30❗️Почему в Америке громят магазины? 
31:32 🎥Американский полицейский задушил подозреваемого при задержании. 
35:37 «У этого будут какие-то последствия, в том числе, потому что народ вышел. А как иначе ты будешь отвечать на совершенно наглый полицейский беспредел?» 
48:23❗️На Кавказе случилось чудо. 
49:52 🎥Фрагмент фильма Алексея Пивоварова о ситуации с коронавирусом в Дагестане. 
52:39 «Происходит чудо. Угадайте, сколько сейчас заболевших в Дагестане? По официальной статистике, 26 человек». 
1:04:04❗️Фейки и перевоспитание в Чечне. 
1:08:37 🎥За что молодых людей в Чечне заставили извиняться. 
1:09:52 «Каждый раз, когда нам рассказывают, что Путин восстановил единство Российской Федерации, и теперь не как в проклятые 90-е, а на самом деле действуют законы и есть управа на каждого регионального чиновника, вы вспоминайте этих несчастных молодых людей в Чечне». 
1:12:40❗️Хлопотливая тетушка назвала Познера промокашкой.
1:12:40 «Что Познер, что Михалков, что Соловьев служили тем, кто находится у власти: советский строй, ельцинский строй, сейчас путинский строй. Эти люди облизывали ботинок, отталкивая друг друга, чтобы получить крохи с барского стола». 
1:16:10 🎥Соловьев ругает Познера. 
1:20:45❗️Этот вирус — это чудо чудесное. 
1:23:50 🎥Глава Роспотребнадзора Анна Попова: «Смертность в России сейчас ниже, чем в прошлом году». 
1:28:13 «Эти люди нам на полном серьезе рассказывают, что у нас отлично сработала система здравоохранения, когда во втором по величине городе страны умирает молодая женщина с сердечной недостаточностью. Она звонила в больницу, к ней никто не приезжал, врачи говорили, что ее некуда положить». 
1:33:30 🎥Медики из Хабаровска не получили обещанных выплат. 
1:39:46❓Как вы думаете, вторая волна штрафов и запретов, связанных с коронавирусом, настигнет нас после голосования? 
1:46:54❗️Наказание — 10 лет рекламы. 
1:47:55 «Жульничество везде: они ввели систему цифровых пропусков, но когда я оформляю пропуск, я могу это сделать, только если соглашусь получать рекламу в течение 10 лет». 
1:54:59❗️Поучительная история бывшего губернатора. 
1:58:00 «В этой путинской системе конкуренции холуев, если тебя оттуда выкинули, — то ты никто. И когда Игнатьев оказался обычным гражданином, он понял, что он никто». 
2:05:44❗️Владимир Путин в ярости бросил ручку. 
2:07:00 🎥«Главная» новость недели: Путин бросает ручку. 
2:08:23 «Почему раздули такую новость? Потому что рейтинг падает, и нужно придумать что-то о крутизне Путина: 20 лет он строил миф о том, что он самый нужный человек». 
2:17:42 🎥Депутат Мосгордумы Евгений Ступин: «На жителей им просто наплевать!»
2:21:47❓Почему о пожарах на Дальнем Востоке молчат? 
2:24:17❓Почему поправки в Конституцию хотят внести именно сейчас, хотя выборы президента будут только в 2024 году? 
2:26:20❗️Артисты на нуле, а мразеныш смеется. 
2:31:27 «Дорогой Иосиф Пригожин, проблема заключается именно в вас и вашей жене Валерии, потому что вы на последних выборах делали что? Правильно, вы были доверенными лицами Владимира Путина. Так и получаете от вашего кандидата». 
2:44:06❗️Путин подарит России парад. 
2:45:03 «Все страны закрыты, никого не пускают, тысячи людей остались за границей и живут в аэропортах, мы не можем их сюда привезти, денег никому не дают. Но Путин обещает провести парад». 
3:00:00❗️Бродский и страна заборов. 
3:01:39 🎥Питерские чиновники закрашивают граффити с Бродским.
3:03:53 «Мне кажется, это просто идеально показывает, что такое российская власть, как она устроена и что она делает».",2020-05-29T09:30:45Z,0
1,UgwQVQnbbnNb1LlyNgp4AaABAg,UPuY6A8gR9U,Навальный LIVE,0,0,Агаханум Саруханова,Помогите пожалуйста 😇 разглашать не правомерные действия Дагестанских властей в отношении врачей.,2020-06-23T12:37:24Z,0
2,UgxLlBUmNJPeal3CUH54AaABAg,UPuY6A8gR9U,Навальный LIVE,0,0,like Miranda,Отмечать этот ролик как недопустимый? Серьëзно? Это так бесит,2020-06-22T23:21:36Z,0
3,UgwwaWczRBPHC4m1gUJ4AaABAg,UPuY6A8gR9U,Навальный LIVE,0,1,Alexandr 123,"Ладно бы эти люди кого-то убили, такое задержание выглядело бы уместно, но они же блять один в магазин без маски зашел, а второй поддельный купон на 20 долларов в магазине использовал",2020-06-21T02:14:51Z,0
4,UgzhMMc6dtcwLYTH0D94AaABAg,UPuY6A8gR9U,Навальный LIVE,0,1,Вадим Банников,Роман бляБабаян нтв прг своя правда 21.06. Чморит ВАС 00.47 с уважением Вадим,2020-06-20T21:47:45Z,0
5,Ugxa44_LknYAdOV9pRd4AaABAg,UPuY6A8gR9U,Навальный LIVE,0,0,Irina Sapira,"Браво Навльному!Переживает о  Росиии!У него нет двойного гражданства.БОРЕЦ ЗА ПРАВА Россиян!ГОРЖУСЬ,ЧТО есть россияне,как Навальный!",2020-06-19T22:44:55Z,0
6,UgyEZ0OESB6wyKAEPnl4AaABAg,UPuY6A8gR9U,Навальный LIVE,0,0,Роман Noname,Что вырезали в 1 час 30 минут?,2020-06-19T04:59:35Z,0
7,UgyyehlL75e4QwHtUcV4AaABAg,UPuY6A8gR9U,Навальный LIVE,0,1,Роман Noname,Что вырезали в 1 час 18 минут?,2020-06-19T04:47:54Z,0
8,UgzA_xjctYAtG_aNVx94AaABAg,UPuY6A8gR9U,Навальный LIVE,0,1,F B,давать отпор бандитам в полицейской форме!!!,2020-06-15T22:02:20Z,0
9,UgwknxgtQl0KwCYiV6B4AaABAg,UPuY6A8gR9U,Навальный LIVE,0,1,F B,полиция - это бандиты!!!!,2020-06-15T22:01:49Z,0
