,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwMyFgK4VE9lQnzFxF4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Геннадий Тищенко,"Леша, удачи тебе на Ютубе.Твой давний поклонник ещё с НТВ.У тебя все получится.",2020-06-08T21:20:11Z,0
1,Ugz8XtSJE_aYpDXayIh4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Svetlana Maslennikova,"пивоварова-шкуру ,-отослать в америку. там свобода и демократия, там ему будет хорошо",2020-06-04T09:23:14Z,0
2,UgwJjNJr8y7VKULFNzZ4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Alexander Bleikhman,"Марию Захарову называют лицом российской дипломатии.  В принципе это правильно, Захарова именно ""лицо"", т.е  она должна только ""озвучивать"" позицию МИД по тем или иным вопросам. На такой должности нужен человек с хорошей дикцией и привлекательной внешностью. С дикцией у Марии Захаровой все в порядке, фигура тоже вроде бы неплохая, но вот лицо...  Неужели тот, кто поставил ее на эту должность, не понимал все последствия от того как она выглядит на экранах?!  А тут еще эта ее самодеятельность, когда она кроме показа этого лица еще озвучила и свою дурость... Думаю, что скоро МИД выставит новое ""лицо"", что-нибудь типа Пескова. Вот это ""лицо"" и симпатичное, и неглупое и хитромудрое, словом, то что надо...",2020-06-03T09:10:23Z,0
3,Ugz8crBg2VhVRzy_93R4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,1,ZаМир,"ЭтО лучше чем псаки, наконец то наш ответ сильнее, а то все ""ответы"" мимо, ура товарисчи",2020-05-28T15:52:33Z,0
4,UgyUnJS0NZM8bFywD7F4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Frolex TV,"Эта девица слилась, как пятиклассница ))",2020-05-28T04:34:34Z,0
5,UgwD2mJmxXh7IDHjfeF4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Евгения,Многоходовочка запуталась в собственных ногах,2020-05-27T10:50:13Z,0
6,UgxYbz3VXwk7XWSruoB4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Talib Talib,Чего ещё ожидать от алкоголички...,2020-05-27T01:16:30Z,0
7,Ugy6mLoecOVsXRUmMOB4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,77 мск,"Может, Мария была бухая той ночью?",2020-05-26T21:28:44Z,0
8,Ugyy5DGQ6gjeaGbsHL54AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Yusik Yusikoff,Проспалась Машка и поняла что натворила....,2020-05-25T14:12:57Z,0
9,Ugzbe1HkWmYJUmcJIoF4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Оксана Губанова,"Маша подворотня.... Страшно, как смертный грех....",2020-05-25T07:14:08Z,0
10,UgxKNKUfaNZuZQuVsvR4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Сергей Х,Какие нахер дибаты с кем навальным это нада быть дебилам,2020-05-25T04:10:59Z,0
11,Ugw3J6zpBTmSP2mytoJ4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Всё о жизни и для жизни,Маньяка 😂😂😂 Как пишется облигация или аблигация))),2020-05-24T20:36:40Z,0
12,Ugyu3jgnHKFUOyO5CYN4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Mihail Bashkirov,Думается она в себе уверена)...  Но ей сказали так не надо.,2020-05-24T10:44:51Z,0
13,Ugx3bhd8TTcx7OiGfzx4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,аттрактор,Ведущий ты реально так думаешь А если ты так думаешь Походу ты идиот,2020-05-24T02:56:36Z,0
14,Ugz8-sKrLTLh9DJ5_GB4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Ыы Ыы,"Привет предателям!Как хорошо что есть Дождь!Всех предателей видно как на ладони!Все проститутки,спекулянты,барыги,все вместе!Мы всех видим!Это же прекрасно!😂😂😂😂😂😂😂😂😂",2020-05-23T10:01:29Z,0
15,UgwhXGfS5XISmiC8Us14AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Nike Anglegrinder,Захарова как всегда свалила все на Навального https://youtu.be/qdq2l0qnTPI,2020-05-23T08:39:55Z,0
16,UgwuJo-KDSWGEdjrKLp4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Валдай Очупынкин,"Они,наверно,в модераторы хотели Скабееву или Соловьева,и кучу шавок,которые бы,как обычно орали,перебивали друг друга,и не давали сказать слово оппоненту",2020-05-23T06:29:55Z,0
17,UgzDnQXlE4D1xKpFoO14AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Остап Ибрагимович Бендер,Машка дешевка,2020-05-23T06:21:38Z,0
18,UgxiPRWCwrIRWJfrhft4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Иван Русич,В Кримле абосруались)))),2020-05-23T02:57:13Z,0
19,UgwK1sKwZyrU212QOrZ4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Hexen Sage,"Не знал, что Захарова - слива..",2020-05-22T23:36:25Z,0
20,UgxfzzymyKgAWNXVNRp4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Ботоксная Крыса,То что Маша алкоголичка в МИДе по моему знает каждый,2020-05-22T21:04:31Z,0
21,Ugx4eRxhqRDR8orPog14AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Sanya Aksenov,смотрите и подписывайтесь на канал Национальный Курс,2020-05-22T20:45:48Z,0
22,Ugy_gno2pxNvI3_691J4AaABAg,UgijR6g3H8M,Телеканал Дождь,0,1,Сергей Бсв,"Как может хоть и алкашка, но всё же госчиновница вести дебаты с клоуном, по совместительству сливным бачком кремля, спонсируемым беглыми мойшей ходором и жекой чичварино. Нонсенс.",2020-05-22T14:57:07Z,0
23,UgxCcngRaLrkHVnU-f94AaABAg,UgijR6g3H8M,Телеканал Дождь,0,0,Иван Иванов,"на вас смотреть противно . А этот гость это просто перебор, хотелось сс рр ыы гг нн уу тт ьь с первого взгляда",2020-05-22T14:38:37Z,0
