,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyMYeZQcJYouPRpdD14AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Maxim First,Фейковый канал отписка,2020-07-02T09:10:50Z,0
1,Ugw0LHz31bytHaPPIcx4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Александр Панферов,Про бюджетников пиздежь. У меня знакомые работают в бюджетной организации их не заставляли голосовать.,2020-07-01T15:50:26Z,0
2,UgzZ3osZuuiRlIQ2Nqx4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Andrej A.M.G.,"Надеюсь с изменениями в конституции такие вонючки как ""дожди"" исчезнут с поля зрения здравомыслящих граждан и понесут ответ за всю ранее озвученную клевету.",2020-07-01T12:29:52Z,0
3,UgxVzorYToRhUW19HYt4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Антон Черницын,"А я подскажу откуда паспортные данные для симок. Недавно в новостях писали, что удалили базу данных об электронных пропусках, ага:D",2020-07-01T09:03:11Z,0
4,UgzOn3LOdtbq4zVaBJ94AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Sam Soberton,Брехня всё это!,2020-07-01T08:13:06Z,0
5,UgzK87tMvRJ26QwOu8Z4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Eva Green,"Как ни крутись...пошёл ты или не пошёл на выборы......итог будет тот ,который нужен президенту России. Явные нарушения правил голосования по всей стране, и простой народ только восстанием может всё пресечь.",2020-07-01T07:10:54Z,0
6,UgzQv-uF4mUr1INaPCd4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Просто Прохожий,А дождь все врет. Интересно сколько вам заплатили за фейки и почему не запретили в России?,2020-07-01T01:49:55Z,0
7,UgwRZJ1uDTQ4mYERAjh4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Сергей Толмачов,Да сам слышал от сатрудников Московского метрополитена,2020-06-30T20:25:55Z,0
8,Ugwc3zjGpn69QLDVZrF4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,bopp,Понятно Моргенштерн опять замешан в политрекламе!,2020-06-30T09:37:57Z,0
9,UgwOb9ZC7U_vEJ9ElpJ4AaABAg,Uk9e8iDUN9I,Телеканал Дождь,0,0,Таня,Поставили раком мордой в грязь где ты гордый народ,2020-06-30T06:55:44Z,0
