,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyRH9VWCYqj5-Npmnh4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Александр Джураев,Воистину технокринж.,2020-07-02T19:58:22Z,0
1,Ugwkbw0iUg8ca_Ga5qh4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Dark Visions,"ммм, сейчас бы контент по воровать.",2020-07-02T17:02:41Z,0
2,UgzGSzTm0aX_00VA2yx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Яноним,Хмм.... Что-то это мне напоминает...,2020-07-02T08:30:22Z,0
3,UgwihzuYF925XIav9qt4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Yura Nikolaev,"Не понимаю, в чём схожесть с Егором",2020-07-02T08:04:36Z,0
4,UgziGpBGWvI7TuVt88F4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Лука Его святейшество,"ПутиноПедия -убило 🤣🤣
5:19",2020-07-02T07:35:29Z,0
5,UgzhC1I0i1F3Qt1H2Mp4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Екатерина Васильева,СТЫД СТЫД СТЫД,2020-07-02T07:29:52Z,0
6,Ugw1yFFiAdIwOb6AYNx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Екатерина Васильева,Пародия на Егора? Серьёзно?),2020-07-02T07:29:09Z,0
7,Ugy2nTBSPJuw4u4N5mF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Александр Богданов,И Магнит отжали,2020-07-02T05:34:25Z,0
8,Ugyf2s6DJWBU6mSivAx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:53Z,0
9,Ugz4U133JWeYo-Ise654AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,ATOM,Плагиат,2020-07-02T05:15:49Z,0
10,UgypJONAL7smORSlFnR4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:24Z,0
11,UgwQ9AjTJP4N-yIWVGF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:19Z,0
12,UgwgoQjXTNqGEBU7qKF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:14Z,0
13,Ugxriw6YfaVsCJI983B4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:10Z,0
14,UgxFFR7L9pV0n9mAXZV4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:05Z,0
15,Ugx4yFAQOcWBn6Ca5GB4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:15:00Z,0
16,UgzajzWE4YQnSiaP4jh4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:14:56Z,0
17,Ugw_RpLOo_QOWibm9gB4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,ATOM,Плагиат,2020-07-02T05:14:51Z,0
18,UgxruE3zvYBOl4i3PgF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Василий Василевич,"Заебись. Четко. 
Умеете, могёте.",2020-07-02T03:40:06Z,0
19,UgxPtRBHECLzYFjarUF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,5,Nikto,Я что ролик c канала «ЕГОР» посмотрел с другим голосом,2020-07-01T19:03:56Z,0
20,UgxSQRJ65UqO13K_qp94AaABAg,V9-ri8N9aSk,Навальный LIVE,0,2,Remil play,Плагиат!!!!,2020-07-01T18:48:28Z,0
21,UgzUqBwIhbRREduLhgx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,3,M.W Cat,СТЫД СТЫД СТЫД СТЫД СТЫД,2020-07-01T18:17:59Z,0
22,Ugy5KJhlPp_GLGyF3jJ4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,7,Анри Беккер,"когда Навальный рассказывает про плагиаты и спизженные криво идеи криво спизженным роликом у Егора ! так даже наша власть не поступает, фу фу",2020-07-01T14:02:40Z,0
23,UgxTq4orEDFA2yiN4Qt4AaABAg,V9-ri8N9aSk,Навальный LIVE,1,6,"I'm slav, but you can trust me ok?","Наш ответ каналу ""ЕГОР""!",2020-06-29T10:38:01Z,0
24,UgxTq4orEDFA2yiN4Qt4AaABAg.9AUX4-geqMo9AbyOoc8bU0,V9-ri8N9aSk,Навальный LIVE,0,0,Tofu,да русский душевный и не продажный,2020-07-02T17:19:27Z,1
25,Ugw1kYxvyxg-y9nbZWd4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Никола Тот самый,Ну за отсылку к готике +,2020-06-28T18:37:34Z,0
26,Ugxh5_d_uM4KxdGJ24J4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,2,DDoSeR •,Очень и очень похоже на видео Егора) Смотреть одно удовольствие!,2020-06-27T13:50:43Z,0
27,UgxFk1U6j2p9LVQp-RZ4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Darian Blake,"Все это конечно понятно, но что с таксой сделали в начале ролика?",2020-06-26T11:03:15Z,0
28,UgzMSVOQs2tox1sijHp4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Dee Tchere,Одни путинские понты... Никакой пользы.,2020-06-25T14:09:40Z,0
29,UgzaK_3C_bCcWzwQyxF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,lll-Dasty-lll,"3:52 Э.. Ало. А дискорд где? Из присутствующих ""мэсседжеров"" я знаю только 3 телеграм скайп и ватсап. Остальные буд-то из воздуха взяли, и дискорд не пропилили, а он должен быть если не на первом месте то как минимум выше скайпа",2020-06-24T06:07:02Z,0
30,Ugze79V-AFS2aUNEqZB4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Y Grom,"Нам рабам нет чего терять, кроме своих цепей
Вставай страна огромная - хватит терпеть Пупкина",2020-06-23T15:19:15Z,0
31,UgyMhz1FlSY0XkUmeAR4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Иван Лызин,"Идея ролика понятна, но текст видео прописан очень наигранно. Тяжело смотреть без кринжпалма.",2020-06-21T23:12:45Z,0
32,Ugx9eBlas_elpGUdKGl4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Аздрубаэль Вект,"На самом деле Россия будущего существует, просто мы не в той супер позиции находимся",2020-06-19T07:37:08Z,0
33,UgydRoerYTExGwduVW94AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Weekdays NPC,Жаль не вернуть СССР...,2020-06-19T06:51:12Z,0
34,Ugywdyi0agCZEYQvCQ94AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Айдар Галлямов,Ну Яндекс то норм) видео шедевр!,2020-06-19T06:42:31Z,0
35,UgwUMsUs1wGe4XM-f_94AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Dantes SS,Чудесно,2020-06-19T01:21:27Z,0
36,Ugxk1kwvg261Dv3r_l14AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Тищенков,Вор должен сидеть !,2020-06-16T00:16:36Z,0
37,UgzhaHNwLciIncWjvG54AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Ritska13,"Не, у йота фона были прикольные идеи, только вот цена в 20000 за телефон с функциями хуавея за 7к+электронная книга за 1500... Ну тупо как-то. Тем более, Эл книгу я заряжала раз в месяц... Крч тупо.",2020-06-13T16:17:02Z,0
38,UgzjqQRsHY6JUv0ERqx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Оркус Ганимед,"Я сам из Латвии, но у меня есть несколько знакомых из России. Среди них Миша. В 2008. или 9. он запатентовал какой-то транзистор(или что-тот в этом роде). Не оценили. Целая эпопея была. Короче, сейчас он живет, в далеком Сиэтле, количество патентов возросло до двух десятков. Не плохо зарабатывает. ""Ценят"", я смотрю, людей в России.",2020-06-12T16:36:15Z,0
39,UgxZ_3tKWqSAZoFssWZ4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Meyirzhan Turakbay,Очень круто😂😂,2020-06-12T14:44:22Z,0
40,Ugw7nGUxZaKmCY9aMtx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Meyirzhan Turakbay,Видео просто огонь👍👍👍👍,2020-06-12T14:44:05Z,0
41,UgxrmSBiG7PWI9POtV54AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Юрий Пугин,А че ты кашляешь? Читай больше художественной литературы. Как будто 12 летний разговариваешь.,2020-06-12T06:46:22Z,0
42,Ugzg2WfJ-46eXXlWljl4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Mishytka,"Ахаха отсылка на Бэдкомедиана) ""вы знаете Руса""",2020-06-11T06:34:14Z,0
43,UgxkZXh1-nubhhmOmUx4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Влад,"Постоянные кривлянья и бесконечные мемы (или мэмы - хз) - мешают просмотру  отвлекают от основной, достаточно серьезной темы.",2020-06-11T06:27:10Z,0
44,Ugx5__UoSy3qoX-giYd4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Oleg Français,Щас бы робота Фёдора увидеть,2020-06-10T23:24:16Z,0
45,Ugzdh-Thdfuf2wR0QCB4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Алексей Черников,Я угараю.. и плачу.,2020-06-10T22:48:16Z,0
46,UgyuKHHxrv9tT4AHlPJ4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Старый Блогер,Блин реально стыдно за Россию,2020-06-10T14:05:26Z,0
47,UgwIl5PaqgVu1anwuLV4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Алеша Алексеев,путин вор,2020-06-10T09:57:55Z,0
48,UgzH4SSy_7tRVzbTbCB4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Махмуд Хаспулатов,"КОСМОСА ДЛЯ НАС НЕТУ, ВСЕ ЭТО ШОУ, ВСЕ ФОТО, ВИДЕО РОЛИКИ, ЭТО КОМПЮТОРНАЯ АНИМАЦИЯ, ЛЮДИ ПРОСНИТЕСЬ.",2020-06-09T15:43:44Z,0
49,UgwT7vf4xwCROmO56Qp4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Igor Nigmatulin,"Чуваку, который делал видос, не надо бы этим заниматься. Говно выходит",2020-06-09T15:03:44Z,0
50,UgwCs3kfJfl4ROIcTi94AaABAg,V9-ri8N9aSk,Навальный LIVE,1,0,Костя Мусский,"Невероятно гениальный ролик. И монтаж, и сценарий на каком-то нереальном уровне.",2020-06-09T14:14:41Z,0
51,UgwCs3kfJfl4ROIcTi94AaABAg.99gPyPsHbzy99kiYwssmTW,V9-ri8N9aSk,Навальный LIVE,0,0,Влад,"Ага, сплошные кривлянья, мешающие просмотру",2020-06-11T06:22:47Z,1
52,UgxbuTSvxVhKVgfXBdh4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,4,Полина Овчинникова,Я на канале Егор?))0),2020-06-09T10:54:56Z,0
53,UgwFP-K4QyPqxwsNXxJ4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Сергей Зайцев,Слишком много мемов. Охладите там немножко свой этот. Сбавьте обороты,2020-06-09T10:51:35Z,0
54,UgwDyvTl2xH1uc_j5IF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,M/CKAMLIII3 ckamilmaek,Можно музыку в начале  пожалуйста,2020-06-09T10:34:50Z,0
55,UgwXD0OtDWTPuRFDy_Z4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Yelena Shershova,"эх позор позорный!!! горе правители... все жрут, жрут не нажруться...",2020-06-09T02:08:50Z,0
56,UgzapErY8quhj7EL3P94AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Любовь Любовь,Да уж,2020-06-09T02:08:05Z,0
57,UgxBCmHXUiAuzIiWV9p4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Artem,Для школьников.,2020-06-08T23:48:12Z,0
58,Ugxkv8DcGpmr44iGw-Z4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Montaggger,Скрепыыш смотри как я скрепляю,2020-06-08T11:56:13Z,0
59,Ugyn3eMd3IDI7VBKmeF4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,юрий комаровский,"АЛЕШКА   это   и  есть  истинный    интеллект ,  а  на   большее  они , ну  просто не  способны  .",2020-06-08T08:04:49Z,0
60,UgyS5SWy6SMJvOWf5Yh4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Евгений Владимирович,Бездарное руководство ! 🙁,2020-06-08T07:44:19Z,0
61,UgwHhzqSvUFNg87zEyR4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,1,Zhanna L,СПАСИБО ВАМ ЗА ИНТЕРЕСНЫЕ СМЕЛЫЕ ТЕМЫ 👍👍👍👍👍👍👍👍👍👍,2020-06-07T21:41:30Z,0
62,UgzV_1lrSLD2GFqFXNp4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Вениамин Береговский,Страна идиотов.,2020-06-07T16:02:59Z,0
63,UgzXhqRiUpOBNqgd63l4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Оля Золушка,"Зато у нас самые дорогие яхты в мире 
Вот и весь наш ответ",2020-06-07T14:44:40Z,0
64,Ugz2MHME4emFEYoa0Zt4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Владислав Богатырев,Спутник шляпа в нём нереально ничего найти. На Яндексе с 2004 года! Лучше его нет по-прежнему.,2020-06-07T12:44:52Z,0
65,Ugz1E7UC0ahzMB_i9zZ4AaABAg,V9-ri8N9aSk,Навальный LIVE,0,0,Vladimir Zhasan,"Мессенджер это конечно очень гениально , гениальный Дуров",2020-06-07T12:34:03Z,0
