,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxY3ww_KrCNuVcuNIZ4AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,GK Gamer,"Наливкин знает, где коррупционера искать!",2020-07-03T11:29:24Z,0
1,UgzSsQ5KIowFwwJfdbh4AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,вячеслав с,Лучшая реклама авиасейлс,2020-07-03T01:43:39Z,0
2,UgxiPjWAjJiJXCSDRt94AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,Артём Костюжев,"Подписался! Наливкина в губернаторы, а потом в президенты",2020-07-02T21:25:15Z,0
3,UgxSHjUBmj-PQoV92Ul4AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,слава славин,Мент... как из жизни!!! гениально!,2020-07-02T18:10:58Z,0
4,Ugz-p1YAN3lD80T6iud4AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,Бог !,"Это просто КРИЧАЩАЯ новость!
Как такое могли вообще допустить?",2020-07-01T20:45:22Z,0
5,UgxBIHM5KYXPAi2w6Mt4AaABAg,VJT3v5ZdBoU,BARAKuda,0,1,Иосиф Сталин,Подполковник напоминает Путина в Гааге .,2020-07-01T20:23:03Z,0
6,UgyEy1wiK2ci5kGMaL54AaABAg,VJT3v5ZdBoU,BARAKuda,0,1,Alek A.,"Подписался на канал в знак протеста против ареста Наливкина! К чему всех призываю!!!
Больше Наливкина, больше качественных видосов на злободневную тему!",2020-07-01T18:08:08Z,0
7,Ugzg8zJ3dQlqS2fPD214AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,Yos S,Сбор дикоросов ))),2020-07-01T16:10:08Z,0
8,UgyfxmE977StjY3hUl54AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,dethklokful,"У вороватых чинуш слюна побежала от вида ящиков с деньгами захотелось  изьять у Наливкина,  вот ублюдки!",2020-07-01T16:08:26Z,0
9,UgwFocF0ao8cXEjGOe54AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,Wfkirikol,Ору,2020-07-01T13:53:24Z,0
10,Ugws_mETKfXzBYNyMvR4AaABAg,VJT3v5ZdBoU,BARAKuda,0,1,GRnRCH,Мусора такие обидчивые),2020-07-01T13:02:59Z,0
11,UgxC8USgi7yw-82IWYJ4AaABAg,VJT3v5ZdBoU,BARAKuda,0,0,Руслан Гизатулин,Чётко,2020-07-01T10:56:26Z,0
