,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugy5jkFR-pf6lchReB14AaABAg,Vx9VA3KU46o,Максим Кац,256,1684,Максим Кац,"Чтобы такие сумасшедшие граждане не стали мейнстримом нужно и адекватное что-нибудь в ютуб грузить. Вот пытаюсь! Если распространите — больше людей увидят, больше людей поддержат потом нас, а не их, на выборах",2020-05-15T14:07:13Z,0
1,UgxLk5IKbUImc6Z1e-F4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Shincori SAMA,"Кринж, мне кажется я знаю кого смотрит мой батя, что очень и очень грустно.",2020-07-03T02:42:17Z,0
2,UgyiHkNR_bBw5-vHBTh4AaABAg,Vx9VA3KU46o,Максим Кац,1,0,loki -,ссср уже 30 лет как нет а либерастов до сих пор от него корежит и пукан горит адским пламенем. вот такие видео как раз и убеждают народ какая же отличная страна было ссср несмотря на все перекосы и косяки.,2020-07-02T18:30:40Z,0
3,UgyiHkNR_bBw5-vHBTh4AaABAg.9Ac5YOaOljm9Ad77GK_wmR,Vx9VA3KU46o,Максим Кац,0,0,Kate S,"Кац как раз вполне спокойно объясняет свою точку зрения. А НОДовец какую-то чушь несёт. ""Корежит"" тех, кто не может принять сложтвшуюся ситуацию, и хочет вернуть прошлое. Я тоже могу сказать, что например, Священная Римская Империя была отличным государством (не путать с оригинальной Римской Империей), и нужно его вернуть, только более вероятным это не станет",2020-07-03T04:03:40Z,1
4,UgxfylXvZH6qQ64vQHZ4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,S Pry,"Спасибо большое за это видео, поднял себе настроение, посмеялся. 😉 Пойду другие разоблачения на этом канале смотреть.",2020-07-02T15:48:46Z,0
5,UgxbzulO0sRNZlJ1SyR4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Орхи Дейка,"В 80е ПОЯВИЛИСЬ ТЕ, КТО ДО СИХ ПОР ВОРУЕТ, ДЕРБАНИТ СТРАНУ...БЛ...",2020-07-02T14:20:16Z,0
6,UgzE-3-7q1hsLf-Eixt4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Nextytyty,"Снимите отдельное видео про суверенитет, пожалуйста!",2020-07-02T13:01:24Z,0
7,UgxwsfUrMcW1miiXLMZ4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Loki Lecter,"Смотреть, как ахуевает Кац - божественно👌
А фраза 'переведу вам с ебанатского на русский' - 10 НОДов из 10",2020-07-02T11:29:21Z,0
8,UgwbPEaoHaQZS1Idy8t4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Elena German,"Рептилоидов забыли после Пятой Колонны, сдерживающей развитие России. 
Все-таки двигаться надо в сторону 2145 года, а не 1945.
И да, все это обыкновенный фашизм.",2020-07-02T10:12:56Z,0
9,Ugz6vzYHbJxQmW898aF4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Татьяна Колмакова,"Моя знакомая смотрит этого чувака.  Она меня сводит с ума фразами. «Татьяна, жаль, просто ты не видишь СУТИ ГЛОБАЛЬНЫХ ПРОЦЕССОВ..»",2020-07-02T09:00:31Z,0
10,UgxX_a8xyojk_GSV76x4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,Отто Феаноров,"34:40 
А для них это даже не шутка...",2020-07-02T07:40:05Z,0
11,UgwEKi65dp8Soacr59J4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,mmyvictory,"Не верьте кацу, он лжет, он не показывает многое что говорит Михаил, потому что, он не сможет ответить на эти вопросы и объяснить их...",2020-07-02T07:21:56Z,0
12,Ugz2Chd-_tK7IhLmS794AaABAg,Vx9VA3KU46o,Максим Кац,0,0,DARKWATHER Proto,У человека биполярное расстройство.,2020-07-02T00:44:28Z,0
13,UgwqZ0G1a20oGpIDBD94AaABAg,Vx9VA3KU46o,Максим Кац,2,0,Владимир Болдырев,А вот мне интересно а если СССР возродится вопреки Вашим рассуждениям?,2020-06-30T18:55:19Z,0
14,UgwqZ0G1a20oGpIDBD94AaABAg.9AXzmBJb-ED9AdYIZIwGCO,Vx9VA3KU46o,Максим Кац,0,0,Владимир Болдырев,"Kate S согласен. Но в данном случае это не такой уж и фантастический ход событий, как возрождение мамонтов и монгольской империи.",2020-07-03T08:01:09Z,1
15,UgwqZ0G1a20oGpIDBD94AaABAg.9AXzmBJb-ED9Ad7I92jgyo,Vx9VA3KU46o,Максим Кац,0,0,Kate S,"А мне интересно, что если Монгольская Империя возродится вопреки вашим рассуждениям? А что если динозавры оживут? А мамонты? 😆😆😆😆 Так можно долго фантазировать",2020-07-03T04:05:09Z,1
16,Ugxo8MqcVQ3z8SQBMnJ4AaABAg,Vx9VA3KU46o,Максим Кац,0,0,SandboxArrow,"СССР была намного хуже, чем Совкодрочеру говорят и думают об.",2020-06-30T18:02:59Z,0
17,Ugxcl4P_lnmUYRNCjr14AaABAg,Vx9VA3KU46o,Максим Кац,0,0,mr Veles,"Забавно слушать про потерянное развитие при СССР. Потеряли Великую Депрессию?.. Смотри экономические показатели, рождаемость, количество жилья, строительство крупных объектов, развитие науки и п. р. Проблема была в том, что очень большая часть бюджета уходила на военку, а плановая экономика не была расчитана на воров и мошенников, которые расселись на руководящих постах разных уровней. Кац, ты занимаешься такой же пропагандой. ""Процветание"" многих современных экономик начиналось да и поддерживается  репрессиями государства.",2020-06-30T13:27:57Z,0
