,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyYUZLJoh0ceoc_6-t4AaABAg,WuD2aif-kcc,Максим Кац,88,1130,Дарья Беседина,"Подписывайтесь на мой канал, там я рассказываю про то, что происходит в Мосгордуме, о том, как делать комфортные для жизни города, а также в целом о российской политике",2020-06-09T15:32:41Z,0
1,Ugw7OZTMljY9ro1VRwF4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Russia Gold,Вспомнил песню Высоцкого про рыжую шалаву,2020-06-28T21:54:37Z,0
2,UgxT8Nd8Lc_K-fAvWxp4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Bee Key,+++++++++++++++++++++,2020-06-28T11:58:08Z,0
3,UgzjzljSy2vtqfr34S54AaABAg,WuD2aif-kcc,Максим Кац,0,0,Николай Овчинников,Подписался. Спасибо!,2020-06-27T13:40:50Z,0
4,Ugy3r-KnoPXyH2JQI-x4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Tatiana Bagaeva,"Дарья, будьте немного тактичнее, когда говорите, что научные заслуги нобелевского лауреата блёкнут перед его общественной деятельностью.",2020-06-26T10:23:36Z,0
5,UgzWSgLiKt6K3udWkJt4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Алексей Нуртазин,"Есть небольшая проблемка, вас по телеку не покажут.
Вот сегодня моя Маман, несмотря на мою агитацию проголосовала за.",2020-06-25T17:55:09Z,0
6,UgwkUyQDEG4zBCSlw_p4AaABAg,WuD2aif-kcc,Максим Кац,0,0,use16,Где кот?,2020-06-23T14:35:06Z,0
7,UgztYbZP-inCrBIdMOt4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Mass Effect,"Уважаемые оппозициионеры, поработайте пожалуйста над мвоими голосами, пищащих людей менее воспринимают всерьёз, такова суровая правда психологии человека...",2020-06-22T19:42:01Z,0
8,UgzfPz8VrgLL4ALaSXJ4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Руслан Дзангиев,"Максим, тема осетино-ингушского конфликт в 1992 году не оставить равнодушными многих людей. До настоящего времени числяться без вести пропавшими около 200 человек",2020-06-21T14:12:12Z,0
9,UgysVZVjcNdXiR78GJp4AaABAg,WuD2aif-kcc,Максим Кац,0,0,happy elephant,"Ну, только явка больше 90% не была неожиданностью)) она же вроде там всегда такой была. Как и в КНДР :)",2020-06-20T17:05:50Z,0
10,Ugy_X3Y26o5utBIPSBR4AaABAg,WuD2aif-kcc,Максим Кац,0,0,виталий хрусталёв,в сссср?,2020-06-19T11:53:12Z,0
11,Ugw0jexOPBTlkzc4xEZ4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Anastasia Matix,Какая молодец!!!,2020-06-19T07:08:21Z,0
12,UgwdlCH6Z0l4RrJdHJh4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Елена Bin,Потрясающий человек!,2020-06-18T16:48:26Z,0
13,UgxcwslvDoac4TVekRF4AaABAg,WuD2aif-kcc,Максим Кац,0,0,игорь Z,"Проект Сахарова по уничтожению США путём закладки водородных бомб на дне у побережья Америки это вещь! Хорошо, что заложили. На старости завербованная  ЦРУ Лена Боннэр поработала с мужем с помощью спецсредств в у треннем чае - у дедушки башенку сесло, любой современный психиатр подтверждает.",2020-06-18T16:43:20Z,0
14,UgxP_sF_-NTcPSYLXgN4AaABAg,WuD2aif-kcc,Максим Кац,0,0,I J,"Ну и о чем это? Не надо сравнивать Сахарова с его научной и интеллектуальной незаменимостью для общества и какого-нибудь политика, которого бы просто посадили да и все. И не надо сравнивать время, когда был взят тренд на гласность, и потому он мог позволить себе потрындеть, с временем тоталитаризма. Сейчас и ""многотысячные митинги"" невозможны - не одобрят-с...",2020-06-17T18:52:35Z,0
15,UgxX-psePgMQkMfFNkF4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Дмитрий Гарный,"Хе-Хе. Сахаров молодец оказывается) Ну, идиотам определенно зайдёт)))",2020-06-17T12:44:04Z,0
16,Ugy97CxH9cJbtkPViVR4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Владимир Рогов,красавцы,2020-06-16T13:19:24Z,0
17,Ugzk8W5xOsRUVNijxvt4AaABAg,WuD2aif-kcc,Максим Кац,0,0,300 bucks Master,"Очень интересно, но кривляться зачем",2020-06-16T12:42:28Z,0
18,UgwoKmQkR4jYbUKJEOx4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Alex Morris,"Очень крутое видео, респект Даше и Максу!",2020-06-16T00:46:02Z,0
19,UgxZ_UfbgQXRzy_rqIl4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Анастасия Перова,Дарье стоит поработать над тембром голоса. Как Маргарет Тетчер 😘,2020-06-15T14:25:53Z,0
20,Ugy4aTnVeCs63ja6FuB4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Lord,Öбнулись!,2020-06-15T12:15:32Z,0
21,UgzwxanHY122UG5yYDp4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Сергей Артемьев,Забавная девушка ❤️😅,2020-06-15T10:15:19Z,0
22,UgwDwKN4NebzqoZw6YN4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Two in a Canoe,Ефремов тоже такой человек,2020-06-15T02:22:59Z,0
23,UgymrsLwXVoCyJRAQcx4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Андрей Кудрявцев,Меня назвали в честь Сахарова - родился в день его Рождения =),2020-06-14T11:32:15Z,0
24,Ugy5953AfHs3T17wa294AaABAg,WuD2aif-kcc,Максим Кац,0,0,A B,Для продвижения,2020-06-13T17:11:22Z,0
25,UgwDs9dE2V6QRY_SIcJ4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Dmitry Aksyonov,"10.49 ""... никто кроме нас с вами не починит сломавшуюся российскую демократию..."" - было бы что чинить? Тут с нуля надо все строить...",2020-06-13T14:24:29Z,0
26,UgwhpGHHIqi7qyz9aRt4AaABAg,WuD2aif-kcc,Максим Кац,0,0,group jupi,"Один вопрос к многоуважаемому академику Сахарову, почему самая демократическая и передовая страна мира США не отказалась от ядерного оружия?",2020-06-13T12:02:28Z,0
27,UgzdORXjgEA0o7Pp9pl4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Александр Храмов,Каждый ролик в тренды,2020-06-13T11:23:02Z,0
28,UgwxvRmvTqSHMLIgpgV4AaABAg,WuD2aif-kcc,Максим Кац,0,0,Константин Гурлев,"Максим, Дарья вы большие молодцы. Очень приятно осознавать что в нашей стране есть такие люди, такие сограждане. Мы на работе всем офисом ждём ваших выпусков и смотрим их полностью!",2020-06-13T06:44:17Z,0
