,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzxsIiUtlp43Yl5h214AaABAg,WzNfI5PQPP0,Навальный LIVE,70,173,Навальный LIVE,"Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 18 июня: https://youtu.be/02GZW6ppdT8",2020-06-18T23:13:20Z,0
1,Ugx3NQVJtqlC-WR6QMB4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Альбина Лапатникова,"Как говорил М. Задорнов- ""Ну тупые"" (в данном случае Алёша) Если уже всё принято и решено,так зачем вы столько времени орали, чтобы люди не ходили на голосование или пошли и проголосовали против?",2020-07-03T11:24:35Z,0
2,UgyNfL7bYCC9O38Xlhx4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,1,ВИКТОР ЗАПОРОЖСКИЙ,Ну всё Путин до 2036 что Вы сделаете навальнята?Ничего)Марионетки Путина.,2020-07-02T09:16:29Z,0
3,Ugz_irloCfp3iNzyXSt4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Анна Левиц,Не понимаю откуда столько лайков под видео,2020-06-30T12:44:28Z,0
4,UgxbYT3YdlSLm8pDdJV4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Анна Левиц,Реально комментарии под видео более адекватные чем слова в видео. Иду и голосую против. И еще подумаю стоит ли дальше жертвовать организации Навального,2020-06-30T12:44:02Z,0
5,Ugxy3OliXDx0Mrk_8CF4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,1,Елена Корнилова,"ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО НАШЕ БУДУЩЕЕ ❌❌❌",2020-06-29T19:05:37Z,0
6,Ugxt5uxbGGIYIBjzDM94AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Oleg Ytesov,Конец всему,2020-06-29T18:27:08Z,0
7,UgyR93tDqrXJqRkcY1p4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Tamara Tamara,"Спасибо за ваш ролик!!!
Теперь точно буду голосовать ""ДА""  за поправавки в Конституцию.
Алексей, вам не надоело врать? Бумеранг никто не отменял...",2020-06-28T20:55:29Z,0
8,Ugz2Tq60N2Qq7w3BXI54AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Андрей Силич,"Скажите пожалуйста почему люди не выходят на улицу, почему не снимут всех с постов. Просто вышли все и сняли их. Народ вы реально нет никто. Наверху что хотят то и делают и тебя народ не спросят",2020-06-27T16:14:40Z,0
9,Ugza3NbCbO3jqjnV1Nl4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Ludmila V,"Власти нужна просто явка, неужели неясно",2020-06-27T07:55:59Z,0
10,Ugz4Edv52idTJNG45TV4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Ludmila V,"Власть смеётся над нами, овцами",2020-06-27T07:41:48Z,0
11,UgzIbqW-PqStBlfqfbl4AaABAg,WzNfI5PQPP0,Навальный LIVE,1,0,Ludmila V,"Если поправки приняты, так зачем идти голосовать, они приняты, на них ссылаются, так зачем в этом участвовать, нас считают за дураков, смеются и какой толк голосовать против, это не поможет, они приняты от нас ничего не зависит",2020-06-27T07:40:55Z,0
12,UgzIbqW-PqStBlfqfbl4AaABAg.9AP3D6lZiIt9AP4m8XyCl4,WzNfI5PQPP0,Навальный LIVE,0,0,Ludmila V,"Власти нужна явка, а как проголосуете им наплевать, я считаю Алексей прав, нужно просто бойкотировать, ну зачем участвовать в этой клоунаде",2020-06-27T07:54:34Z,1
13,Ugx6GxIJL8IGTmG2hbt4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Алексей Волченко,"Зато я понимаю зачем все это. В одной из попровок говориться, что правоприемником ссср является рф, что до настоящего момента небыло, те по факту государства рф было незаконным",2020-06-27T06:39:27Z,0
14,UgxFvKMgQ220aZ-mduJ4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Галина Валожина,"как же он уже бесит своими бреднями, хватит мешать людям думать!",2020-06-27T01:28:05Z,0
15,UgxSjYLVFU4wkzFSLU94AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Центрист,"Какой же ты лицемер нарваль, я в тебе разочаровался. Ты ни чем не лучше путина",2020-06-26T14:35:07Z,0
16,UgyBl2UlSOmh_g2r4B94AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Ирина Кузнецова,"Разочарована. Нужно было сплотиться и голосовать против всем, кто так или иначе поддерживает оппозицию. А это сейчас почти вся страна. Это понятнее и ближе людям. И это ПРОТИВ было бы гораздо неоспоримее, Чем какой то бойкот. А Вы вносите сами раскол. И напрашивается определенные выводы.",2020-06-26T11:48:07Z,0
17,UgzMqoqIumCPwabJMr94AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Risok,"❌ ❌ ❌  ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО НАШЕ БУДУЩЕЕ! ❌ вв",2020-06-26T10:33:14Z,0
18,Ugzg_fpWZQgQGJ4a3cJ4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Leha Fadeev,"В ""Законе о поправке"" (статья 3, пункт 5) чёрным по белому написано:
""Изменения в Конституцию Российской Федерации, предусмотренные статьей 1 настоящего Закона, считаются одобренными, если за них проголосовало более половины граждан Российской Федерации, принявших участие в общероссийском голосовании.
Если за изменения в Конституцию Российской Федерации, предусмотренные статьей 1 настоящего Закона, проголосовало менее половины граждан Российской Федерации, принявших участие в общероссийском голосовании, такие изменения не считаются одобренными и статья 1 настоящего Закона не вступает в силу.""
ТАК ЧТО ""ПОПРАВКИ"" ЕЩЁ НЕ ВСТУПИЛИ В СИЛУ !!!
Очень странно, что юрист Алексей не читал этот закон (или читал, но невнимательно).",2020-06-25T21:31:11Z,0
19,UgyO1fc6UdTkFvumd2R4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Anton Nickon,"Голосуй за поправки ,",2020-06-25T19:07:50Z,0
20,UgzhmNjxdKUhh2DRWSJ4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,1,z d,"Алексей, Вы потеряете часть своей аудитории, если не научитесь признавать свои ошибки. Еще в феврале вы говорили про фильм 'нет' 2012 года про референдум в Чили и про то, что никто не думал, что Аугусто Пиночет проиграет референдум. И ваши слова, что пока вы не знаете, как лучше действовать. Сейчас же вы предлагаете бойкотировать голосование. Ради чего? Зачем? Чего мы этим добьёмся? Что мы теряем, если мы придём и кинем в урну бюллетень? Что мы теряем, если против будет 30 или 40% явившихся, а не 10? Почему нельзя прийти и проголосовать за час до закрытия участка в последний день с целью минимизации выбросов и фальсификаций? Я удивляюсь вашему мнению и тому, как рьяно вы его отстаиваете. Вы никогда раньше так быстро не сдавались ни перед одними выборами! Поддержка Вас массовая фактически началась после того, как вы почти выиграли мэра в Москву! Вы ведь тогда тоже не думали что будет такой результат? Почему сейчас вы себя так ведёте? Зачем вы свою миллионую аудиторию отговариваете? Зачем вы продолжаете пропагандировать выгодную власти стратегию 'выученной беспомощности'? И вы врёте, когда говорите, что они приняты. Все эти кремлёвские проплаченные чинуши специально навязывают нам мнение, что типа большинство за, что эти поправки важны и по сути уже применяются. А вы ведетесь на это, как маленький...жалко и стыдно на это смотреть ..вы ведь  уже опытный политик? Неужели вы не знаете всех этих манипуляций, подмены понятий и политтехнологий? Неужели вы никогда не читали в учебниках по политологии,что все авторитарный режимы держатся на аполитически настроенной общественности, на том, что якобы большинство за и ты будешь в меньшинстве, поэтому сиди дома и вообще не возникал?",2020-06-25T18:25:30Z,0
21,Ugw8aakizcfsbLalt5N4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Виктор Семенов,"Помимо Конституции РФ порядок принятия и вступления в силу поправок к Конституции РФ регламентируется соответствующим Федеральным Законом от 04.03.1998 года N 33-ФЗ, который развивает положения Конституции и говорит, что Закон РФ о поправке к Конституции РФ вступает в силу со дня его официального опубликования, если самим законом не установлена иная дата вступления в силу. Законом, который касается новых поправок, предусмотрено, что статья с текстом самих поправок (1 статья) вступает в силу со дня официального опубликования результатов Общероссийского голосования в случае, если предусмотренные ею поправки одобрены на голосовании. 
Таким образом, действия властей законны, и Конституция еще не претерпела изменений. Но в то же время сама процедура Общероссийского голосования вызывает массу вопросов. Пока неизвестно, что это такое и с чем это едят. Раньше всегда исходили из концепции: ""Что не предусмотрено Конституцией, того и нет"". Но времена, по всей видимости, изменились.
Кто-то в комментариях правильно заметил, что ""Ельцинская"" Конституция принята таким же незаконным голосованием. Удивляться нечему.",2020-06-25T11:52:10Z,0
22,UgxPuBXxbSARJvTOQ754AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Данис Саляхов,статья 3 уже действует и он уже обнулился. остались сами поправки только,2020-06-25T11:11:12Z,0
23,UgzSdCBebbwuVecwJQd4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Vlad Grud,Как может государство обманывать?,2020-06-25T10:47:09Z,0
24,UgyBOLkmpDg-HrwIKLV4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,2,Oleg Cherepanov,"Мы , власть, горячо поддерживаем оппозицию, призывающую бойкотировать голосование. Не ходите на голосование, зачем рисковать здоровьем, зачем эти жертвы, тем более, что вы сами считаете, что от вашего голоса ничего не зависит. Мы всё за вас решим, возьмем все риски на себя. Достаточно, что придут и проголосуют  с семьями и обслугой наши госслужащие и чиновники, силовики и другие бюджетники. Сидите дома берегите себя, всего вам доброго, хорошего настроения, здоровья...",2020-06-25T09:20:28Z,0
25,UgwMh5-mf88dkzs01i54AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Президент Грудинин,"Внимание, засилие ботов в комментах, топящих за участие в голосовании(цирке_))",2020-06-25T09:07:06Z,0
26,UgwsAs8sPXe2tpQaB8B4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Леопольд,Навальному верить - себя не уважать,2020-06-25T07:10:33Z,0
27,UgzKmW-pbSSps10Qwz54AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Alx Chketo,"Все идем на ""эротический танец"" и голосуем против",2020-06-25T05:47:17Z,0
28,UgwABGtPuM2Hd4vCmcR4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Иван Рябцев,Одно и тоже...,2020-06-24T20:55:56Z,0
29,Ugz1sa5EJedf9Hxfl5x4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,firstlis23,Чего съела Памфилова?,2020-06-24T13:16:28Z,0
30,Ugw24AFoZq8z6HGZfqd4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Дмитрий Solodov,Кукловрды,2020-06-24T08:22:28Z,0
31,UgzXZUwOoAJWjtlhjoR4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,1,Варик . о,"Можно по подробнее про новые законы. Что будет с Путиным? ( я не разбиралась в теме) Но 1 вариант : срок Путина обнулится
2 вариант : в новой конст.  будет закон - можно занимать место президента больше 10 лет",2020-06-24T07:43:00Z,0
32,Ugyk8zgxEgwRjcYRinl4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Полина Кузнецова,Давно.Да она и не нужна нашему правительству,2020-06-23T22:40:53Z,0
33,Ugx-QndLxBf7OGb-MYt4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Olga Dadasheva,ф,2020-06-23T22:02:19Z,0
34,UgyhgDO0OOcFKUy-EZd4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Мурат Кайцуков,у него на часах на 2 часа раньше время идёт,2020-06-23T21:39:17Z,0
35,UgyhtJL-B9Zfu81sC-N4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Успеть до пенсии,"Сегодня я реально задумался, а не агент ли кремля  этот наш Навальный?",2020-06-23T21:32:08Z,0
36,UgyZ_LRFaGyYgwsxx0Z4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Успеть до пенсии,"ДА ТЕБЕ ОТКУДА ЗНАТЬ, ПРИНЯТЫ ОНИ ИЛИ НЕТ, И НЕ ВТИРАЙ НАМ ЭТУ ДИЧЬ, ТЫ УЖЕ НЕ МОДНЫЙ, ЛЕШКА",2020-06-23T21:31:26Z,0
37,UgzEhV1xqqwPRoXOPup4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Успеть до пенсии,"дурак ты, Леха и из нас дураков делаешь. вот и сиди дома, бойкотируй сколько влезет. А мы идем ставить свой голос сами знаете напротив какого варианта",2020-06-23T21:29:00Z,0
38,UgySDPM8tZn1qN36oyh4AaABAg,WzNfI5PQPP0,Навальный LIVE,1,0,Antares,Сколько их там в думе? Человек 500? Неужели 500 человек решают за 140 миллионов?,2020-06-23T19:09:25Z,0
39,UgySDPM8tZn1qN36oyh4AaABAg.9AFzpNg3vl09AKMuROhHfA,WzNfI5PQPP0,Навальный LIVE,0,0,Виктор Семенов,"450 человек, но, скорее, они поддерживают решения одного.",2020-06-25T11:56:47Z,1
40,Ugy6Fqe_hSTPYHBIiMJ4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Злой Рик,"Раз приняли,чего воешь то?",2020-06-23T16:15:39Z,0
41,Ugx7R9B_D5ADlmvW9LN4AaABAg,WzNfI5PQPP0,Навальный LIVE,1,2,Омельянов Кирилл,"СТАТЬЯ 1 ЗАКОНА О ПОПРАВКЕ ВСТУПАЕТ В СИЛУ ПОСЛЕ ОДОБРЕНИЯ БОЛЕЕ ЧЕМ 50% ПРОГОЛОСОВАВШИХ. 
Уважаемый Алексей, не позорьтесь, прочитайте этот закон внимательно, пожалуйста.",2020-06-23T11:40:59Z,0
42,Ugx7R9B_D5ADlmvW9LN4AaABAg.9AFBVzdlN_X9AKN1gOItFS,WzNfI5PQPP0,Навальный LIVE,0,0,Виктор Семенов,"Дело в том, что Конституция по юридической силе намного выше Закона, на который вы ссылайтесь. А Конституция говорит кое-что другое.",2020-06-25T11:57:54Z,1
43,UgzfD5MY_QRMhEmZ6uh4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Mihail AB,Надо голосовать за поправки!!!  иначе такие люди могут прийти к власти,2020-06-23T11:21:43Z,0
44,Ugx0wHSbNLVII0xix0l4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,Leon Bartol,"Все уже поняли, что государством управляют абсолютно бездарные люди, мало ли что Панфилова сказала, ее речь это речь пациента из дурки или она реально считает, что Путин делает одолжение народу дав ему проголосовать за поправки, которые уже приняты? Это же бред, аргументация ни о чем, расчитаная на идиотов, мол просто ради галочки, чтобы народ принял учвстие, да и если поправки приняты, а мы помним чё они там понаписали в первый раз, что аж забыли добавить главный пункт об обнулении, они эти поправки приняли? Но нет даже в поправки потом вносят поправки. Панфилова выдает желаемое за действительное.",2020-06-23T08:09:42Z,0
45,UgzSyfJ4AmDr7oMbufF4AaABAg,WzNfI5PQPP0,Навальный LIVE,1,0,Коллегия адвокатов,"помните 91 год? Референдум прошел, ну и плебисцит с ним))",2020-06-23T08:04:38Z,0
46,UgzSyfJ4AmDr7oMbufF4AaABAg.9AEnkNgw6qB9AJuW2ItWbZ,WzNfI5PQPP0,Навальный LIVE,0,0,Леопольд,и к чему это?,2020-06-25T07:39:54Z,1
47,UgwF9ofao64V0odknWd4AaABAg,WzNfI5PQPP0,Навальный LIVE,2,0,Leon Bartol,"В поправках есть более возмутильные пункты. Что до обнуления, то Путину еще надо переизбраться. А вот отказ РФ исполнять предписания иститутов международного права, таких как ЕСПЧ, это тоже так же серьезно как и бесконечное право балатироваться в президенты.",2020-06-23T07:56:34Z,0
48,UgwF9ofao64V0odknWd4AaABAg.9AEmpJ5LMYu9AMtcqu2GOj,WzNfI5PQPP0,Навальный LIVE,0,0,Leon Bartol,"@Виктор Семенов В том то и дело, однако сейчас они решили это прописать ничего не стесняясь. Личнотя с этим не согласен, как и не сонласен с неисполнением некоторых решений ЕСПЧ РФ.",2020-06-26T11:29:57Z,1
49,UgwF9ofao64V0odknWd4AaABAg.9AEmpJ5LMYu9AKNOjBQoCZ,WzNfI5PQPP0,Навальный LIVE,0,0,Виктор Семенов,"У нас в Законодательстве давно уже не уважают международные судебные органы, подобные ЕСПЧ. Можно открыть ФКЗ ""О Конституционном Суде РФ"" и увидеть, что в некоторых случаях Конституционный Суд дает согласие на исполнение решений ЕСПЧ, хотя это сводит на ""нет"" смысл существования подобных органов.",2020-06-25T12:01:03Z,1
50,Ugz7RviBUU7zL9LaVaJ4AaABAg,WzNfI5PQPP0,Навальный LIVE,1,1,Сергей Пахомов,"*Такое впечатление, что это не цивилизованная и развитая страна, а росия.*",2020-06-23T06:08:44Z,0
51,Ugz7RviBUU7zL9LaVaJ4AaABAg.9AEaUWWrh1C9AJuYKkR1pL,WzNfI5PQPP0,Навальный LIVE,0,0,Леопольд,"такое впечатление, что вы головой думать не в состоянии",2020-06-25T07:40:13Z,1
52,UgwTqtNEI9iIPoKTFGJ4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,0,gerasim,"Короче, Путин это не мой президент. Мой президент Алексей",2020-06-23T02:53:45Z,0
53,UgwDzEzSOB2lhMp86DN4AaABAg,WzNfI5PQPP0,Навальный LIVE,0,1,Ray K,"Алексей, некрасиво так вести диалог со своими сторонниками, высокомерно и безаргументированно повторяя одни и те же доводы, которые уже были опровергнуты. Люди вам отвечают не потому что ""плохо вас слушают"", а потому что они видят информацию, которая противоречит вашим голословным утверждениям. Если вы считаете своих сторонников тупыми, а по вашему тону создается такое впечателение, то нужно что-то менять в том, как вы смотрите на свою аудиторию. Пожалуйста, больше ссылок на факты, меньше ссылок на Эллу Памфилову и МЕНЬШЕ ВОДЫ. Очень длинные видео, а содержания очень мало. Вы очень сильно отстаете от общественной дискуссии. Вам все пишут о том, что написано на обложке, в консультанте плюс, а вы принимаете решение игнорировать это.",2020-06-22T23:42:44Z,0
