,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzwIdepumkEhufXGu14AaABAg,X2DC7Mbe_0k,Телеканал Дождь,1,0,Кубанычбек Мамытов,Как так все равно он известная личность и возможно личные проблемы ну и нажрался. Каждый может быть на его месте. Понять и простить 🤷 Если дороги прощали бы ошибки водителей но нет в России и в СНГ дороги не безопасно. Если был бы вместо двойной полосы разделительная полоса надлежащего качества то ничего и не было бы. Почему зная что в Москве из-за них погибают люди? Когда будут безопасные дороги? Плюс сравнить как отработала иномарка железо качественное а Лада как будто из третьего сорта сделано. Да их всегда видно как ржавеет быстро.,2020-07-02T22:03:36Z,0
1,UgzwIdepumkEhufXGu14AaABAg.9AcTuxeIP2B9AcWyAFNCIq,X2DC7Mbe_0k,Телеканал Дождь,0,0,Кубанычбек Мамытов,"В Кутузовском проспекте каждый год аварии погибают люди со встречными если властям наплевать на жизни людей то ничего не изменится. Что делается для безопасности? Как всегда штрафы,сроки., А нормально построить дорогу нельзя? Вот бедный Ефремов попал да он виноват. Но если был бы барьер он сам попал бы в аварию. Подставили дорожники народного артиста. Не стыдно?",2020-07-02T22:30:15Z,1
2,UgwkW2HFAfXEF3OBEN54AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Larissa Ivanova,Соболезнования...  но вы как адвокат почему одеты как клоун ?,2020-07-02T00:59:26Z,0
3,UgyKThKgJizOBb-dpWB4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Ева Ирмандт,Что с диктором???,2020-07-01T04:06:03Z,0
4,UgxMpQl0yCWFwJ345MJ4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,MegaSeart,Адвокат? Выглядит как клоун.,2020-06-30T18:46:18Z,0
5,UgzJCgeCmnnHxk6sm0R4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Мера,"на замедленном видео фургон ,в который врезался джип упал на бок.........",2020-06-29T21:51:17Z,0
6,UgyvhIEQFfIB9APrivF4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,1,вася дмитриев,Сгноить этого жалкого актёришку в тюрьме!!!  Дать ему 8 лет самого строгого режима!!  И лишить прав ПОЖИЗНЕННО!,2020-06-29T05:50:11Z,0
7,UgyIm4tkonf9Lj7zN5V4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Дмитрий Ник,В СИЗО,2020-06-28T13:50:55Z,0
8,UgxY7VWFFHYujJ259up4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Игорь Примудров,Ссыкуны вы дождь!  ничего не знаете!!!  как его подставили!! как ему снотворное подлили!  экспертиза показала..вы все врете!   вы дешешевая тв студия!,2020-06-27T23:43:15Z,0
9,UgxuNOZhX8ts4o6yvEx4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Ivan Zaremez,такой бухой и как же он доехал до того места?  это явно подстава и на месте сразу оказались одни хэтеры говорящие нужные слова для обывателей. жа еще и снотворное яокбы в крови. он что спать хотел лечь?,2020-06-26T00:15:23Z,0
10,Ugz4ObhuV_heeLD4not4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Six Element,"""Актёр ефременко"".Ну какой же он народный?Народ даже толком не знает своего "" героя"".Интересно вот что,мы видели/нам показывали кучу видосов,где пьяных водителей,совершивших подобное,закрывали до суда,и показывали нам попытки их интервью,из клетки.Но видимо в этот раз,так не моги.Это для всех остальных.В итоге,по запросу общества,ужесточается отношение/санкции к пьяным за рулём.Но видимо только в отношении общества.В которое ""народные артисты"" видимо не входят.По видимому это некая особая людская ""прослойка"" которая/которую ""находится""/"" назначили"" ""выше"" общества.Себя похоже эти ""назначатели"" так же позиционируют,раз происходит подобное.",2020-06-25T08:15:58Z,0
11,UgziceLZU-7FE5dYB6p4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Vladimir Serdyuk,Этот человек убил человека,2020-06-22T11:38:03Z,0
12,Ugx5Dpt5k9VpKhTuT6R4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,nieooj gotoy,"Погибший почти одногодка с Ефремовым. Один- работяга, другой алкаш. Сравните, как они выглядят.",2020-06-22T01:57:23Z,0
13,Ugx90SuyP92VVn_pugp4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Sasha Valov,Пиздят он был накуренный,2020-06-21T15:12:41Z,0
14,UgzJvopkTbAIL072T3t4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,1,0,Sergey Bauhev,Если бы на дороге был отбойник - не было бы никакого ДТП.,2020-06-21T05:27:16Z,0
15,UgzJvopkTbAIL072T3t4AaABAg.9A9N93N-Rpv9AB_-5gPEZb,X2DC7Mbe_0k,Телеканал Дождь,0,0,nieooj gotoy,Надо лишить на 30 лет или больше таких люди,2020-06-22T01:57:59Z,1
16,UgyBKeekgg_wIJPPPn94AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,yasio bolo,"Погибший почти одногодка с Ефремовым. Один- работяга, другой алкаш. Сравните, как они выглядят.",2020-06-20T23:49:33Z,0
17,UgyTCENbiDBNujZvzhd4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,1,0,Vladimir Koval,"Для таких людей самое страшное это остаться без денег без квартир без коттеджев, а что его посадят в тюрме у него всё будет в отдельной камеры, интернет, телевизор телефон.
А всё что у него есть деньги квартиры коттеджи отдать родственникам погибшего, им тоже надо жить и детей наноги ставить.",2020-06-20T09:17:41Z,0
18,UgyTCENbiDBNujZvzhd4AaABAg.9A7CimvfjKt9A8lZH-AaZz,X2DC7Mbe_0k,Телеканал Дождь,0,0,yasio bolo,набивали!!! А реально ни чего не делается!,2020-06-20T23:50:04Z,1
19,UgwGFj8Vjsct9icPzR94AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,qopoy dnon,"Погибший почти одногодка с Ефремовым. Один- работяга, другой алкаш. Сравните, как они выглядят.",2020-06-20T07:46:13Z,0
20,UgyJ_i8or7wayj8YCad4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,2,0,Алексей Александрович,"За минигрузовиком, который попал в ДТП, ехала на скорости машина. На момент аварии она находилась в двух корпусах позади. Происходит как бы столкновение с газелькой, чувак ещё едет, и прямо на него относит джип чероки, но чувак успевает мгновенно остановиться и не врезаться сбоку. Давно автомобили умеют мгновенно останавливаться без тормозного следа?",2020-06-19T18:23:12Z,0
21,UgyJ_i8or7wayj8YCad4AaABAg.9A5bMRLpdHy9A75CZxYAwh,X2DC7Mbe_0k,Телеканал Дождь,0,0,Алексей Александрович,"Отстань. Речь не про юридический закон, а про нарушение законов физики на ролике.",2020-06-20T08:11:59Z,1
22,UgyJ_i8or7wayj8YCad4AaABAg.9A5bMRLpdHy9A72Jo68e0F,X2DC7Mbe_0k,Телеканал Дождь,0,0,qopoy dnon,закон для всех и справедливостьи пьяныйубийца должен ответить по полной ！,2020-06-20T07:46:45Z,1
23,Ugw-Y1cJ_kmnTFUj8n54AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Ailsa Ni,"Это наверно первая и последняя аврия, никогда вообще аварий не было сенсация, замусолили",2020-06-19T12:30:21Z,0
24,Ugy92nz8BAWgJyynzfB4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Твердый Камень,1.23   *Длинный в шлеме*  в кадре  это перс онаж  для отвлечения  памяти от  выскочившего  водителя  в  спец костюме и шлеме из  машины  М. Ефремова.  для затирания и замыливания восприятия.,2020-06-19T09:21:35Z,0
25,UgyLNrc1JFqVIE92mVJ4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,1,0,Валерій Позднухов,"Тут много вопросов. С кем он пил до дтп? Где видео с бара, с кем он пил? Где полное видео с камер которые снимали дтп, видео дтп и после аварии, как он выходил из машины? Кто был в машине и за рулем? Откуда в организме наркотики и Снатворное?!  А, на видео показывают только момент самого  дтп. Все это подозрительно, его могли и подставить! За критику власти, чтоб другим неповадно было.",2020-06-19T06:08:11Z,0
26,UgyLNrc1JFqVIE92mVJ4AaABAg.9A4IF-IOS8t9A4z1v8ctDy,X2DC7Mbe_0k,Телеканал Дождь,0,0,Ailsa Ni,"Слишком лояльное наше общество! Он давно уже с катушек съехал! А рядом находящиеся добренькие близкие упорно отводили глаза... Ну, а теперь держи!",2020-06-19T12:30:53Z,1
27,UgyFIpWX4zlJHyOobWR4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Mika Hakkinen,Клоун встрял!,2020-06-18T21:44:48Z,0
28,Ugz-C7cNOvRDlVRkwXR4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Анатолий Кравчук,ну низя трогать Мишу Ефремова .Навальный роспорядился . Миша свой челик ну на грудь принял кг водочки и еще 2 разных наркотика .учитесь молодежь .это он в кафе так пережывал за народ. друзья которые были в машыне и которых Ефремов подвозил  уже сказали типа мы не ехали с ним ну просто во волщебству узнали и бигом приехали помочь и подержать Мишу. но зачем не понятно такой богатырь  боролся сам. Ну  шо сказать думаю Ефремова не посадят его низя трогать он же опозиции чуть тронешь будут кричать Путин спецом посадил. хотя у Ефремова 30 неоплачевыемых штрафов но это же ПРОСОЙ ЧЕЛИК ЭТО ВАМ НИЗЯ . да все нормально дадут 7 лет но условно . на суде Миша обратиться с речью типа простите меня народ руссский теперь не буду Призидентом  пускай уж Навальный хотя Дудь рветься . влепят 31 штраф на три месяца отберут права  и отравят лечиться от наркоты . Через год все вернеться . Да о погоде мне так кажеться он сам погибшый виноват не уступил дорогу Великому артисту и Будущему Призиденту,2020-06-18T20:49:29Z,0
29,UgzC92fDl4KuCXDfem14AaABAg,X2DC7Mbe_0k,Телеканал Дождь,1,0,Вадим Красанов,Адвокат клоун,2020-06-18T19:44:34Z,0
30,UgzC92fDl4KuCXDfem14AaABAg.9A3AsR0w3vw9A3B5CbhlKG,X2DC7Mbe_0k,Телеканал Дождь,0,0,Вадим Красанов,Но он благодаря деньгам добьётся своего,2020-06-18T19:46:26Z,1
31,UgxT_L56V4BeIG4Lu9F4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Alexander Shepetko,"Где вы такого мерзкого ""ведущего"" взяли?",2020-06-18T18:06:26Z,0
32,Ugz5hfarLyTHMwxQUel4AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,vbddfy euuyt,Жалко артиста ! Не смотря на то что произошло. Семье погибшего мужчины терпения !,2020-06-18T16:50:27Z,0
33,UgzXn8IHqVHJ5wsaGc54AaABAg,X2DC7Mbe_0k,Телеканал Дождь,0,0,Андрей,Инженеры по образованию работают курьерами.  Хорошая страна.,2020-06-18T07:33:57Z,0
