,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugxp4C5JosBvLWUDb5B4AaABAg,X4Lw470JHtU,Максим Кац,96,455,Максим Кац,"«Пользователи реже переходят к этому видео из разделов с рекомендациями, чем к другим вашим роликам. У него на 18% меньше просмотров, чем обычно», сообщает мне ютуб.
Очень жаль! Ведь тема важная, а антипрививочники чуть ли не каждый день в трендах бывает.",2020-05-06T16:06:11Z,0
1,UgyZeoMQO8OtWoB-VaV4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Надежда Викторовна,В тренды!,2020-07-03T03:44:09Z,0
2,Ugwf4YGom2dJMZ58FNp4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Анна Занина,"Максим, расскажите пожалуйста про ежегодные прививки от гриппа. Настолько же они важны и безопасны как от полиомиелита или нет? Очень много противоречивой информации",2020-07-02T13:42:42Z,0
3,UgzC2XF4tKC5b-gXrWl4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Величие России,Запретить прививки! Нужно больше молиться и нести деньги в РПЦ!!,2020-07-02T00:20:33Z,0
4,UgxGqj1gXGfRKm3GWuR4AaABAg,X4Lw470JHtU,Максим Кац,0,0,MODIK,"Жаль, что всего 100к просмотров на этом ролике.",2020-07-01T21:44:54Z,0
5,Ugwuqj2cPy0CDCV7ULZ4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Анастасия Копкина,"Мой папа родился в 1953 и через несколько месяцев заболел полиомиелитом. Вакцин, к сожалению, в Советском Союзе тогда было мало. Выжил, на всю жизнь остался инвалидом. В 52 года стал лежачим, но продолжал работать до последнего, так как всё, что выше пояса у него работало хорошо, особенно голова)) В 59 лет скончался от сопутствующих заболеваний (думаю, если бы не полиомиелит в детстве, то их было бы меньше). Мне очень жалко таких людей. Они ни в чём не виноваты. Но одно дело, когда просто не было вакцины и другое дело, когда конченные мамаши целенаправленно не вакцинируют своих детей. Каждой такой ёб*утой готова в лицо плюнуть. Это не матери, а сволочи!",2020-07-01T09:25:05Z,0
6,UgyrPyFK_TLRz4eHTHd4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Ольга Иванова,спасибо))) комментарий для поддержки канала,2020-06-28T18:24:34Z,0
7,UgxDycn0K2P2TDtunMF4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Виктория Мирошниченко,👍,2020-06-27T13:06:29Z,0
8,UgyKfSBYW82jgTLng0d4AaABAg,X4Lw470JHtU,Максим Кац,0,0,Марина Халирахманова,А - адекватность,2020-06-25T06:33:02Z,0
9,Ugxg2mgEUvt-ZpBKilR4AaABAg,X4Lw470JHtU,Максим Кац,6,0,Mayatnik Win,"Вакцины - это адское зло, как вы можете в этот заговор верить?",2020-06-22T20:11:21Z,0
10,UgxRvv6e0jDJ7ybFELV4AaABAg,X4Lw470JHtU,Максим Кац,1,1,Наталья Соболева,А почему не рассказать сколько появилось онкологии после изобретения вакцин?,2020-06-22T19:59:28Z,0
11,UgxRvv6e0jDJ7ybFELV4AaABAg.9ADVl7yjbCM9AHAm6j9_Ok,X4Lw470JHtU,Максим Кац,0,0,Ramin Javadovsky,"Ну это как бы не доказано, от чего именно она появилась",2020-06-24T06:13:04Z,1
12,UgxEsw9b7FWg1MD5BX14AaABAg,X4Lw470JHtU,Максим Кац,0,1,Товарищ Сааков Швили,"Не надо путать вакцины на скорую руку, с вакцинами создаваемые в течение периода времени!",2020-06-21T19:19:30Z,0
