,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyKsgyMKejd6qzAgq54AaABAg,XtWUic0eq-g,Максим Кац,55,224,Максим Кац,"Подписывайтесь на канал :). Оформить спонсорство, о котором я там говорю, можно тут: https://www.youtube.com/channel/UCUGfDbfRIx51kJGGHIFo8Rw/join",2020-06-10T15:10:11Z,0
1,Ugy61drEX7C5lnir7vx4AaABAg,XtWUic0eq-g,Максим Кац,0,0,Clark Kent,Националисты внимательно слушают чеченца и к его призыву взять кремль. Чудесные всё таки были времена))(,2020-07-03T12:17:51Z,0
2,UgxuTI8-QRDgMkFJVz14AaABAg,XtWUic0eq-g,Максим Кац,0,0,Sergey Karandin,"Молодец, Кац, продолжай в том же духе! Народу полезно это осмысливать и переосмысливать. Ибо даже в те годы не все понимали что происходит. Хорошо, если сейчас с этим получше. Россия -особая страна где и чёрт ногу сломит. Гораздо проще жить в другом месте.",2020-07-03T09:20:26Z,0
3,UgwsonX68JmE7Jjqact4AaABAg,XtWUic0eq-g,Максим Кац,0,0,Stas Serious,"Блин, музыка на заднем плане видео реально бесит. Работаю дома, смотрю на заднем плане, и не понимаю, соседи так шумят, или музыка из видео?",2020-07-02T10:46:16Z,0
4,UgwOiPJ8EIRPmDN4HHN4AaABAg,XtWUic0eq-g,Максим Кац,0,0,Алексей Боронин,Россия это,2020-07-02T10:24:16Z,0
5,UgwkAt2hWB8WODJjpOt4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Алексей Боронин,Даёшь про Чечню!,2020-07-01T18:08:07Z,0
6,UgwqZtsQXcjAdse1DmJ4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Регина Валеева,"Я тогда жила в регионе, училась в школе. Мама закупилась продуктами, забила все углы в квартире мукой, сахаром, крупой и спичками. Мы с братом вообще не понимали, что происходит. Думали, война началась, как бабушка рассказывала. Для меня до сих пор показатель кризиса - количество спичек в квартире.",2020-07-01T13:42:04Z,0
7,Ugxhi7KN2IyDgf1ytbd4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Даниил Феоктистов,"досмотрел до финалочки и посмеялся с мысли  ""в демократии люди выбирают  всё что хотят , кроме партий которые  кто то решил запретить ""     , мне кажется или попахивает цензурой ?:)",2020-06-30T19:36:30Z,0
8,UgyjfO-1XpZNLc648ox4AaABAg,XtWUic0eq-g,Максим Кац,0,5,Савелий Косвинцев,"Хватит, нести чушь Кац, ты не историк!",2020-06-30T12:06:17Z,0
9,Ugx33I1fG_DiKgSYrTJ4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Mrs Nobody,"Спасибо вам , Максим !",2020-06-30T07:09:37Z,0
10,UgwLSSOJgjKnntwba4t4AaABAg,XtWUic0eq-g,Максим Кац,0,0,овод,спасибо Максим вы молодец!,2020-06-30T01:27:19Z,0
11,UgyCGCZ8nQl9rnz7vaZ4AaABAg,XtWUic0eq-g,Максим Кац,0,0,Роман Б,Дунул 5:24,2020-06-28T21:47:08Z,0
12,UgxRq6RHzctZEe1vyzt4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Alex I. omega,"Да ну, считать Конституцию причиной появления авторитарного режима в корне некорректно. Конституция была просто юридической затычкой, но не более.",2020-06-28T17:32:16Z,0
13,Ugy-pCCQo-fohkCoHjh4AaABAg,XtWUic0eq-g,Максим Кац,0,18,RedLight,"Узнал из этого видео больше, чем со всех уроков истории",2020-06-28T17:23:51Z,0
14,UgwjFShLZMrmNyf-LaZ4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Dimitri Kraus,"Как всё таки прав был Юрий Шевчук:
""Ты не дай им опять закатать рукава...""
Похоже, всё же им дали сделать это снова. И это больно, столько жертв и всё напрасно.",2020-06-28T15:27:48Z,0
15,UgydX8m1Bb2RIgdwaLh4AaABAg,XtWUic0eq-g,Максим Кац,0,1,Николай М,"Конституция 1993 не принималась на референдуме, Алёшка",2020-06-28T09:55:05Z,0
