,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxzqTeq8D8pSssz0lh4AaABAg,YmDS8N_csSA,Навальный LIVE,87,350,Навальный LIVE,"Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 4 июня: https://youtu.be/_-ttObArW5s",2020-06-05T20:46:56Z,0
1,UgzDa53fcYeoGmzSbTV4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Дмитрий Александров,"Алексей я полностью с вами!и готов так же как и вы продвигаться далее,протяните руку поддержки,вместе мы сила",2020-06-28T09:34:35Z,0
2,UgzqQN6TbPW0_LxTyAF4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Алла Алла,"навальный,проверься у психолога,тебе срочно нужна помощь!",2020-06-24T11:34:17Z,0
3,Ugw6JopUi9PwEaQrpvB4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Григорий Котов,Наш девиз ни одного голоса в пользу обнуления Путина!,2020-06-24T07:45:57Z,0
4,UgxDuJuqtFwPODq-i1B4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Max Max,👍👍👍,2020-06-23T16:16:21Z,0
5,UgyPMVTwr08x0sp03JB4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Y Grom,"Да! Если Навальный станет президентом, через 10 лет в Россию сложнее будет попасть, чем в США, останется Путин - вся Россия убежит в США ! ! ! Наверное правильно провидци говорят "" - будет колонией Китая, а потом территорией"" Китая///  Крым будет проситься в Украину, но ему откажут,,, Донбас - это уже пустыня"""""" Бандиты, пионеры - бред!!!) Как было там хорошо и лучше - тут плохо и становится хуже (сотни лет) так и останется((( Увы",2020-06-23T14:59:24Z,0
6,UgyLOaQCIMI2u9ZdoB94AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Леха 888,"Закончил журфак,а занимается ракетами,этот чел ничего в этом не понимает какой идиот его назначил,зачем, он только может деньги пилить и воровать, ау, Вова обнуление,где твои мозги, кто это,твои кореша только воровать могут,за 20 лет ничего не сделано",2020-06-20T08:26:34Z,0
7,UgxSkRCWFFlaL5fWr_d4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Александр Подшивалов,навальный американский агент,2020-06-19T14:12:52Z,0
8,UgwU-NxV8njcuBuDK8B4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,STENSIS,"тоже очень люблю космос  и считаю что это нужно развивать и за этим будущее человечества! Илон Макс молодец я им горжусь! И очень грустно и печально что в нашей стране все так... Хотя когда то наша страна шла впереди данной отрасли. Мы стоим на месте с 90х. Одна коррупция, лож и отупление нации",2020-06-19T07:47:50Z,0
9,UgwgELnHxKQNaBxaEJR4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Gennady Roschin,"Унас оптимизация, старых инженеров выперли, а новых не подготовили. Одни юристы и журналисты.",2020-06-18T20:47:43Z,0
10,UgwQcj2hQCwA0Tz9pb94AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,gordg100,"В России ничего не изменится в лучшую сторону, пока за растрату и невыполнение контрактов не будет адекватное наказание. Чтобы ни одна копейка не пропала, что бы сроки исполнения не сдвигались ни на день. Без каких-либо допущений",2020-06-18T11:52:29Z,0
11,Ugxv4T4Mb5b6ViK0-Vx4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Армен Арджунц,"Не трамплин, а батут...",2020-06-18T08:31:23Z,0
12,UgzRgQYduuu91tLxSXV4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,herbarium :3,"Мне так жаль Маска на том видео, где он чуть не плачет... надеюсь, все эти знаменитости все же признали свою неправоту",2020-06-17T20:43:54Z,0
13,Ugwhr3U4y1l_9cQRaF54AaABAg,YmDS8N_csSA,Навальный LIVE,0,1,Natalya,Это  говорит  о  слабости  России  .,2020-06-16T22:17:22Z,0
14,Ugw3OkAeq-TBYkxVddt4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Vlad Kudasov,Стыковочный узел украли!!!!!!!!!!!!!!!!!!!!!!!!!!,2020-06-16T19:48:38Z,0
15,UgzQa4eIWkjfPa2UJtN4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,A R,рогозину надо чупа чупсы дарить!!!!!!!!!!!!!!!!,2020-06-16T04:29:13Z,0
16,UgybEf454wJaODKsLBd4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,А K,Рогозин обнуляет достижения советской космонавтики) ОБНУЛЯТОРЫ))),2020-06-15T21:56:17Z,0
17,UgzgrQIj-YUPAeJpHoF4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Марко Ройс,"Кругом одно вранье и ложь! Врут все! В круговую обманывают! Лишь бы не трогали, лишь бы сохранить за собой рабочее место или должность! В стране развито лизоблюдство и подхалимаж, стяжательство и воровство, трусость и обман. Куда пропали общенациональные ценности русского народа? Позорище! В такой стране 146 миллионов населения, а выбрали себе очередное ...То стерхи, то амфоры, то на коне по голому торсу (да, был бы еще торс!!!, а то, так...), стыдно и неприятно на душе.",2020-06-15T16:42:39Z,0
18,Ugzxj_9GtmCWfG2Jwnt4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Анатолий Пашков,"Батут, Карл, батут... Не трамплин.",2020-06-14T15:53:37Z,0
19,UgxVzqP7OXCEPR2G7cJ4AaABAg,YmDS8N_csSA,Навальный LIVE,0,0,Igor Vorob,"Наконец-то американцы догнали Роскосмос, скопировав систему ""Союз"". То есть, почти догнали китайцев. Те тоже вовсю повторяют советские разработки, вплоть до программы ""Луноход"". Давай, Маск! Вперёд, Америка! Вдогонку за китайцами в деле освоения советских космических программ!! И стыковочный узел когда-нибудь американцы смогут сами сделать, не всё же покупать у Роскосмоса...",2020-06-14T15:52:12Z,0
