,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyF3_5zpAnBej0h5kh4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,Ангелина Крампус,Мишустин хуже Медведева.,2020-06-20T10:02:10Z,0
1,Ugw4ygHGK56flA04mEB4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,STENSIS,полностью согласен,2020-06-19T08:47:44Z,0
2,Ugym5h8cOFwSnz0jqCF4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,1,Махмуд Хаспулатов,"ЛЮДИ ЧУМА У ВАС В ГОЛОВЕ, ЕСЛИ ВЫ ВЕРИТЕ, ЧТО НАМОРДНИКИ, ВАС СПАСУТ, ПРОСНИТЕСЬ ЛЮДИ.",2020-06-16T05:24:14Z,0
3,UgxRCwjAJPdB835zUdt4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,1,Che,"Это единственное, куда можно не ходить. В отличии от ВСЕХ ВЫБОРОВ И ГОЛОСОВАНИЙ!",2020-06-15T02:38:35Z,0
4,UgwNx_qLoYSdEScdEbt4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,Гюли Перадзе,"Нихера себе?! Яблоку негде упасть, а мероприятие немассовое на открытом воздухе. А, сука, станешь одиночным пикетом - так сразу винтят за массовое мероприятие, и не спасает даже то, что так же на открытом воздухе.",2020-06-14T12:33:23Z,0
5,UgyprtQ5opvLZptv3bp4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,Esu Jidu,"*Карантин карантином, а распил никто не отменял!*",2020-06-14T10:46:23Z,0
6,UgwwC4eyxaZmMsat-Tp4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,Yoric,Ждём дебаты с Максимом Кацем!,2020-06-13T14:26:19Z,0
7,UgyZmwptBpPP7tzeNeV4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,ZORTER Who human.,Вы делаете правильные вещи,2020-06-13T14:21:07Z,0
8,UgxqvI5ecZCFwL126AR4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,Рома Рыбьяков,Спасибо за видео.,2020-06-12T13:19:07Z,0
9,UgzUW5AZ5BGTYJWP1X94AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,1,катя ***,Вера то куда???,2020-06-12T12:39:29Z,0
10,UgxDGb28gR1kaegUQaB4AaABAg,Z1eyxrGZPt0,Навальный LIVE,0,0,Василий Куликов,Фестивали по попилу никогда ещё не были столь палевные.,2020-06-12T11:21:47Z,0
