,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzcH6GO8BDsC5cfJ354AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Анс Анс,Это Россия!),2020-06-01T14:35:02Z,0
1,Ugzgd4ryTjklzEE7pXN4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Виктория Маркелова,Помогите пенсионерам,2020-05-22T13:53:25Z,0
2,UgwWp9NKHAd_huv6OH54AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,R. U.,"Лечат короновирус, а убивают человека.",2020-05-13T18:26:01Z,0
3,UgyCy7DHjRXM0coVCYJ4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Аз Ор,пусть на себе попробуют свою медицину,2020-05-13T11:49:43Z,0
4,UgxmCnjgSoUgdhlbhe14AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Анна Шевченко,Студенты педвузов тоже принудительно отправляются на практику в детские лагеря если их откроют (а их скорее всего откроют) без предварительных тестов на ковид и без какой-либо вообще защиты.,2020-05-13T06:07:53Z,0
5,UgyBRE-rS6eEJw-ykmZ4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Владимир Колмаков,ОЧЕРЕДНОЕ ВРАНЬЁ. ВСЕ СТУДЕНТЫ КАК И ВРАЧИ ОБЕСПЕЧЕНЫ ВСЕМИ СРЕДСТВАМИ ЗАЩИТЫ. И ЭТО НЕ ПАЗ БЫЛО ДОКАЗАНО,2020-05-12T12:22:06Z,0
6,UgzMMXkdTf6FEjY_XGF4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Sergey Plyasunov,"Все рабы, а студенты не рабы? Ишь чо придумали...",2020-05-12T07:52:28Z,0
7,UgybxWb5N-A1z59ql9x4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,Дмитрий Владимирович,Хера себе дела..я б не пошел..,2020-05-11T12:39:30Z,0
8,Ugy9P_-hEUjj2OU8PpB4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,POLINER MM,"РОСГВАРДИЮ - В МЕДБРАТЬЯ... ну хоть как ТЯГЛОВУЮ СИЛУ,а что они ещё ДОБРОВОЛЬНЫЕ ЗАЯВЛЕНИЯ НЕ НАПИСАЛИ,ЧТО ХОТЯТ ПОСЛУЖИТЬ ОТЕЧЕСТВУ...НУ КАК ЖЕ ТАК ? ОНИ ЖЕ ГВАРДЕЙЦЫ...!!!",2020-05-11T07:59:46Z,0
9,UgzJc9KPHAhurSdyO1N4AaABAg,Zs8mUTHlajQ,Навальный LIVE,0,0,я пришла,Пусть росгвардия идёт в больницы и работает в чистых зонах.,2020-05-11T05:54:31Z,0
