,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwYFbOa7vN7yxbLggp4AaABAg,_-ttObArW5s,Навальный LIVE,185,749,Навальный LIVE,"Таймкоды:

0:23 В эфире Алексей Навальный или «человек, многократно судимый за разнообразное вранье».
0:59 «У меня сегодня День рождения! Я его днем праздновал с семьей, а сейчас продолжаю праздновать с вами, с моими любимыми зрителями».
2:52❗Ваша просьба о возбуждении уголовного дела выполнена. 
3:46 🎥 Сотрудники МВД выталкивают адвокатов из отделения полиции в Кабардино-Балкарии.
7:44❗Беспорядки в США и порядок в России.
11:39 «Не ведитесь, пожалуйста, на эту упрощенную картину. Это даже не картина вовсе, в США сейчас происходит совсем не это».
17:10 🎥 Мирные протесты в разных городах США.
21:34 🎥 Протестующие в Вашингтоне укрываются от слезоточивого газа.
25:45 «Не нужно громить магазины, но до тех пор, пока ярость людей не будет выплескиваться на улицы, никогда, на самом деле, ничего не изменится».
30:31 Навальный об убийстве в Екатеринбурге: «Таушанков просто был убит совершенно беспредельно и нагло сотрудниками Росгвардии. И самое ужасное, судя по всему, что он совершил — украл или пытался украсть четыре рулона обоев. И его застрелили из автомата».
31:55 🎥 Хронология событий вокруг убийства в Екатеринбурге. 
43:21❓Прокомментируйте ситуацию с Платошкиным.
46:14❗Как тебе такое, Дмитрий Рогозин?
53:27 «Маск показал, как круто — извините за банальные слова — если на самом деле веришь, и что всего можно добиться. Поэтому вокруг этого такое ликование. Везде ликование — а у нас, конечно, есть Рогозин...»
55:16 🎥 «Пусть американцы батутом доставляют астронавтов на МКС».
1:04:34❗Норильск — большая катастрофа.
1:07:57 🎥 Разлившееся топливо в реке в Норильске.
1:11:04 «Реки превратились в реки мазута. Это, по заявлениям „Гринпис“, — крупнейшая экологическая катастрофа в заполярной Арктике. Это реальный кошмар: там вымерло все живое на протяжении сотен километров».
1:13:49 🎥 Совещание Путина по катастрофе.
1:16:07 «Прохоров и Потанин 30 лет не развивали „Норникель“, потому что им нужны были яхты, они покупали баскетбольные клубы и дома. Они должны за это заплатить, а не мы с вами из наших налогов».
1:23:25❗Как Максим Галкин Собянина испугал.
1:24:24 🎥 Пародия Галкина на Путина и Собянина.
1:26:27 «Эта система нам подается под видом высокотехнологичной супер-мега-системы, которая всех штрафует и контролирует. И выяснилось, что Собянин боится, чтобы его кто-то еще раз потыкал в то, что у него ничего не работает».
1:31:27 🎥 Евгений Миронов о том, что сейчас не время «хаять власть».
1:34:08 «Почему в России нет политической сатиры? Может быть, Евгений Миронов, потому, что Собянин, Путин и Володин не просто ее запретили, а преследуют людей, которые пытаются заниматься политической сатирой?»
1:36:30 Навальный об обысках у главы регионального профсоюза «Альянс учителей» Даниила Кена: «„Путинская проститутка“ — это не оскорбление, не ругательство. Это точнейшая характеристика по сути и этой судьи, и всего суда, и полицейских, и членов избиркома».
1:38:39 🎥 Даниил Кен о политическом преследовании.
1:40:09❗Не доход, а приход.
1:42:11 🎥 Расследование ФБК об Алексее Шапошникове.
1:45:42 🎥 Глава Мосгордумы Шапошников в программе Соловьева.
1:46:40 «Офигенно работает каждый раз: тебя поймали с незадекларированным миллиардом, и что ты говоришь? „Ну, конечно, это заказ от тех людей, которые желают дестабилизировать ситуацию в стране“. Серьезно?»
1:50:35 🎥 Интервью Шапошникова на «Эхе Москвы».
2:03:35 Листовка про Шапошникова: https://drive.google.com/file/d/1MB0GkpHTqDny16-y1eSXZ0HSbKjg6mlW/view
2:04:46❗И подарим вам ручку.
2:09:00 «Может быть, эпидемия и идет на спад. Я надеюсь, что она идет на спад. Но пока она идет на спад — это все равно эпидемия. И невозможно зафигачить парад, а потом зафигачить общероссийское голосование!»
2:11:00 🎥 Путин назначил дату голосования на 1 июля.
2:21:20 «Нам предлагают участвовать в какой-то фигне, где нет наблюдения, где нет списков избирателей, которое идет неделю, которое проходит в армейских палатках, где каждый час выгоняют всех из участка. Это невозможно, это бред какой-то!»
2:28:55 🎥 Пропагандистский ролик «пригожинского» СМИ о голосовании.
2:31:55 «Будут и дальше уговаривать, запугивать и, в основном, подкупать всяких людей и превращать их в жульническое бинго, чтобы нас на это голосование тащить».
2:35:16 Навальный о росте заболевших в Забайкалье: «Если сегодня в Забайкалье все так хреново, что нужно армией развертывать госпиталь, то как же там спустя 25 дней пройдет голосование?»
2:38:06 🎥 Жители поселка выложили из камней огромную надпись «Путин вор».
2:39:10 Навальный о Михаиле Боярском: «Какой же вы лицемерный негодяй, это же вы все сделали и такие как вы. В 2020 году надо обращаться к людям и просить деньги на лечение детей, чтобы сделать им операцию за границей. Власть за 20 лет, имея колоссальные нефтяные деньги, не построила ни одну больницу для лечения детей».",2020-06-05T09:18:30Z,0
1,Ugz6bbReqz3O5L1mVtF4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Алексей Павлов,халуи,2020-07-03T06:40:25Z,0
2,UgzpVXQCkFsR0MiORRZ4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Демид Тюменев,Девчата Кадарда 👍👍👍💪💪💪💪❤️❤️❤️,2020-07-03T05:40:44Z,0
3,UgxeJZ1aVrpjlyt9IeV4AaABAg,_-ttObArW5s,Навальный LIVE,0,1,Максик,Мой старший брат смотрит навального Но почему у меня это в рекомендациях Я незнаю :),2020-07-01T17:53:06Z,0
4,Ugxd-vVGPGgEHQNxB6Z4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,norman giesbrecht,trampoline это по руски батут а не трамплин,2020-06-29T08:08:07Z,0
5,Ugy-6QZvFgm96SRp5Sl4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Tatyana Ogeva,"С Днём Рождения! Энергии и настойчивости вам,уважаемый Алексей! Рады ,что вы боретесь и не впадаете в уныние! Здоровья и успеха!  Красноярск.",2020-06-28T12:21:56Z,0
6,UgzP5Zf9zD5slUij0O94AaABAg,_-ttObArW5s,Навальный LIVE,0,0,olga shur,"Наглая ложь, ни один мэр и губернатор не поддерживали и не поддерживают акты мародёрства.",2020-06-27T18:24:30Z,0
7,UgxAWDTPlvpplloNIl94AaABAg,_-ttObArW5s,Навальный LIVE,0,0,olga shur,А погромы магазинов и мародёрство никто из либералов не Оправдывает!!!,2020-06-27T18:11:24Z,0
8,UgxeRevjdy07XsWVUjN4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,olga shur,"А что Вы знаете про американских либералов???»Полицейский наступил на горло по случайности»??? Вы что несёте такой бред??? Стыдно должно быть. Ублюдок полицейский сознательно давил коленом на горло в течение 8 минут лежачему и уже в наручниках задержанному и далеко никому не опасному человеку. Задержанный повторял каждую секунду что не может дышать и что умрёт, но это не остановило полицейского - убийцу. У этих ублюдков американских полицейских есть только ОДНО право арестовать, но никак не бить, избивать, калечить и тем более убивать. Теперь этот ублюдок будет сидеть в тюрьме где его лишат жизни таким же способом, получит то что заслужил. Прежде чем нести всякий бред перед своей передачей вы хоть ознакомьтесь с реальностью.",2020-06-27T18:06:36Z,0
9,UgwwyYlMj4PZSvjODpd4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Vasya Fregan,какой ты хитрый сука,2020-06-27T13:39:52Z,0
10,Ugy9OeVpMlieJLcCOl54AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Александр Кондрашов,я из норильска я прекрасно понимаю что голосовать нельзя но мне звонит начальник и говорит что тебе трудно от тебя же не убудит сходи.начальники у нас не плохие но их обязали сделать явку в свою очередь они обязывают нас.я сказал подумаю но не пойду все равно,2020-06-27T04:11:01Z,0
11,UgxO8xs-rTQoDD_Rhz14AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Andrew Kantemirov - Golovin,מזל טוב על יום ההולדת שלך!С днем рождения!,2020-06-26T21:20:23Z,0
12,UgxlM13SffFd-QHqNt14AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Михаил Робинсон,Сколько можно считать деньги в чужом кармане.,2020-06-26T05:58:43Z,0
13,UgyRYrUP7RTJIClCXpB4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Куля В Лоб,"Алексей, вы лучший! Я имею ввиду ваши взгляды к развитию общества, которое прибывает сейчас в таком унизительном и жалком положении",2020-06-25T06:54:16Z,0
14,UgxfQR4PnhMMzNudSgx4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Sh Sh,"«Святое дело» ,...лучше бы ,о здоровье и процветании нации озаботились  -упыри‼️",2020-06-24T23:53:07Z,0
15,UgyjUVhd0th3RZ63MdN4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,ananacher111,Лёша - с Днюхой!,2020-06-24T20:16:56Z,0
16,Ugx0zS3SA490uE9vF2t4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,ananacher111,Боярский - не негодяй. Боярский - актер.,2020-06-24T20:14:45Z,0
17,Ugy7HNzMt4I7M37z4214AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Богатко Анатолий,Маск...РЕСПЕКТ!!!,2020-06-24T18:26:41Z,0
18,UgxWz3UTM3fAMgUL2Ax4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Александр Хащевский,"ЛЁХА   С ДНЮХОЙ ТЕБЯ  !!! КРЕПКОГО  ЗДОРОВЬЯ ,СИЛ,  ТЕРПЕНЬЯ  И ПОБОЛЬШЕ  ВЕРНЫХ И ЧЕСТНЫХ ДРУЗЕЙ",2020-06-24T11:18:18Z,0
19,UgwIZzOD-EnFvX1kU7x4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,TV Android,"10:31 В Америке Обама и его ""команда"" до сих пор никак успокоиться не может и не знает как насулить Трампу))) Там 90% митингов ""фиктивные"" заказывают политические партии, по сути против Трампа. Это если в двух словах сказать.",2020-06-24T09:04:58Z,0
20,Ugx3b9VuOrIBQJQFmaN4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Эльдар Романюк,Система вся судебная и правоохранительная абсолютно не работает нужна 100% перезагрузка,2020-06-23T22:56:34Z,0
21,Ugzh4FKO8jWqFbtezbl4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Алексей Лебедуха,"АЛЕКСЕЙ! С днём рождения, всего наилучшего желаю! Соловьёв - гандон, не берите себе в голову этого ублюдка",2020-06-22T19:16:54Z,0
22,UgwnmiNSNGe4lTf2rFp4AaABAg,_-ttObArW5s,Навальный LIVE,0,1,Andrey zinovev,"Навальный призывает убивать всех тех кто за поправки? ""мочить""?",2020-06-22T14:01:25Z,0
23,UgwsRsBZe13xR8_iuQN4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Сергей Е,"Есть шикарные видео прям с погромов от Дениса, который живёт в NY и работает экскурсоводом. 
А то что показывают пропагандоны это чушь",2020-06-22T07:39:08Z,0
24,UgzAGsHZWAH3cIk83Wx4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Кор Ал,Спасибо Алексей! Удачи и с Днём Варенья! :),2020-06-21T11:07:40Z,0
25,UgydnvGuidTx2S7kR9x4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,* Уэф,Удивительная хуета от юриста.,2020-06-20T19:06:48Z,0
26,UgwGinwUZI04hEqq2FZ4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,ogorodnik 61,"Алексей, ты несёшь чушь. Остановись. Бандиты и погромщики есть везде, не только в америке. И они всегда устраивают провокации громя магазины. Это как раз и на руку властям. Они могут ввести войска и тогда уже все те кто мирно протестовал будут разогнаны вместе с погромщиками. И мне кажется, власти сами поощряют погромщиков из числа бандитов. Так легче и оправдаться в воду войск и беспределу полиции. И если у нас будут мирные демонстрации, то ждите тоже погромщиков из числа нанятых властями. Так было всегда и даже в 1917 году.",2020-06-20T17:38:38Z,0
27,UgyFY3XFLGZg3L4vND54AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Кор Ал,"Чуть не расплакался с Маском вместе! Армстронг и второй  это полит проститутки, пусть теперь от со сут!",2020-06-20T16:27:06Z,0
28,UgzXJZtBNyn2HLP3rxx4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,M. Smith,"С Днем рождения, успехов во всем!!!!",2020-06-20T08:59:39Z,0
29,UgxSCGGzUW8ck1UJPQF4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Полиция России,а путин шпилит телочек?,2020-06-20T05:20:56Z,0
30,UgyTkArQ11WBG-Kj8254AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Алексей Володин,"Стоп стоп стоп, т.е. мы тоже можем ходить по всем участкам и голосовать против, т.к. нет списков? Кажется я знаю, чем буду заниматься целую неделю))))",2020-06-19T06:01:22Z,0
31,Ugx6LHhYbpas8TG_jvp4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,ДИМА ФЕЛЬДМАН,"Народ Единождыушно сплотимси под знаменем священной Родины-Мати Вашей под Знаменем Верховного Главнокомандующево КАК ОДИН, СПЛОЧЕННЫМИ РЯДАМИ , вперед к единой   цели., в священной борьбе   За Нашу   заветную мечту.",2020-06-19T05:56:07Z,0
32,UgyP7FobwuSDtdjVUj14AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Aleks Plus,На вилы кремлевских крыс!!!!,2020-06-18T19:22:35Z,0
33,UgxC0gfOy0ImXAvFvtJ4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Alex Spiridonov,"Сопка с надписью - это Забайкальский край, пгт. Агинское.",2020-06-18T06:32:19Z,0
34,UgxAsSqF6kIixCsGZhx4AaABAg,_-ttObArW5s,Навальный LIVE,0,1,Эд Пирожков,гсят звук на важных местах,2020-06-18T05:53:48Z,0
35,UgyUdRnNpoyScSqUzd54AaABAg,_-ttObArW5s,Навальный LIVE,0,0,TYMAN_13,"Опасен не коронавирус, а то состояние медицины, которая творится у нас в стране благодаря злобному старикашке. Потому и насморк может быть со смертельным исходом, а тут аж целый вирус.",2020-06-17T17:36:42Z,0
36,UgxDqk6wij6RODDvUO14AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Дмитрий Гринченко,Миронов превратился в чмо,2020-06-17T15:49:27Z,0
37,UgyFiW3LKpAXaZHQ1Fh4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Светлана Светлана,"Здравствуйте, Алексей! Всегда смотрю с интересом ваши видео. У меня просьба к Вам провести расследование и рассказать в очередном вашем видео о том, как сейчас в Москве сажают москвичей на строгий карантин (на 14 дней и больше) при отрицательных анализах на коронавирус. Всего лишь из-за того, что у них в крови содержание антител выше нормы. Но насколько я знаю, количество антител могут быть выше нормы по любым другим причинам, а не только из-за коронавируса. Но это не волнует роспотребнадзор, никто не хочет выяснять причины таких анализов. Люди без каких-либо признаков коронавируса, т.е. без каких-либо симптомов, прекрасно себя чувствующие, сидят дома под строгим контролем по две недели непонятно за что. И это в массовом порядке, насколько я знаю. Практически большинство из тех, кто пришел добровольно сдать анализы на коронавирус. Заранее благодарю.",2020-06-17T12:25:29Z,0
38,Ugz0dnfVMYE4PH9ucm14AaABAg,_-ttObArW5s,Навальный LIVE,0,2,Кузя,"Навальный молодец, спасибо за то, что ты освещаешь важные новости",2020-06-17T12:24:46Z,0
39,UgxKN14EfdiTBAx7S9V4AaABAg,_-ttObArW5s,Навальный LIVE,0,0,Светлана Л. Ким,Только предатели могут радоваться со своими врагами против любого достижения своей страны.,2020-06-17T05:53:50Z,0
40,Ugywp7iw6cPIUc7f5S94AaABAg,_-ttObArW5s,Навальный LIVE,0,1,Natalya,"Алексею  Анатольевичу ,  уважение  и  поддержка  !!!",2020-06-17T02:48:49Z,0
41,UgxGEWtyds4hYRAhHGV4AaABAg,_-ttObArW5s,Навальный LIVE,0,1,Natalya,Галкин  молодчина  !  Повеселились  от  души  !,2020-06-17T01:45:23Z,0
