,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwNwGRp7SjodaBqNr94AaABAg,_IhOxg1B5GI,Максим Кац,278,654,Максим Кац,"Магазин футболок с которым дружественная реклама: https://urbangift.store. Твиттер Ройзмана, который он сам ведёт и где с ним можно пообщаться: http://twitter.com/roizmangbn/. Он там всё читает и сам отвечает. 
Ну, ютуб и твиитер Навального вы все знаете :). Чем больше распространим это видео, тем больше людей поймут, как всё работает и не будут вестись на всякую фигню с бойкотом! Говорят, что даже в чаты домов если кидать, очень эффективно работает",2020-06-07T13:54:47Z,0
1,UgzNotK9Er1VoRswenJ4AaABAg,_IhOxg1B5GI,Максим Кац,0,0,Tatyana Shand,"Что вы все такие наивные? Ходи -не ходи, они все равно все сфальсифицируют.... А вот явку не спрятать. Если бы из 100 пришли 5 человек и проголосовали ""за"", это показало бы больше , чем пришли бы 100 и никто не знает , как они проголосовали....",2020-07-02T08:37:21Z,0
2,UgxVU1zl7GVGqU47o8d4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Ruslan Ruslan,"Поверить еврею Кацу значит себя нае""ать",2020-07-01T16:25:57Z,0
3,Ugz5FoXXNFygXTzw1YJ4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Людмила Зыкина,"ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО БУДУЩЕЕ МОЕЙ СТРАНЫ!!!",2020-07-01T15:50:40Z,0
4,Ugyy3un29q3R9EwQK894AaABAg,_IhOxg1B5GI,Максим Кац,0,0,Сергей М,"И очень хочется знать про какую апозицию ты говоришь, каво ты перечислил это клоуны, апозиции как таковой нет, или ты просто предлогаеш голосовать Вовы. Тогда объясни почему любой только не Вова.",2020-07-01T07:06:42Z,0
5,UgzqMREup30py_OZdCF4AaABAg,_IhOxg1B5GI,Максим Кац,0,0,Сергей М,"Я не оппозиционер и был-бы за, да и голосовал за В. В если-бы не только В. В мог баллотироваться, но и следующие президенты и по жизненные синаторы перебор.",2020-07-01T06:43:14Z,0
6,UgzeM7fre7IulHpZqR14AaABAg,_IhOxg1B5GI,Максим Кац,0,0,Mass Effect,"Да как мы можем помочь, если галочки дают даже без паспорта ставить, логично что в нужный момент они и сами их ставят, так оно и есть, ходят видеозаписи в соц сетях что люди пришедшие на участок оказываются уже в списке проголосовавших. А что мешает им тупо выкидывать билютени с галочкой против?",2020-06-30T21:35:29Z,0
7,Ugz22fyi2LVAcRl3CDR4AaABAg,_IhOxg1B5GI,Максим Кац,0,0,Алёна Ширяева,"спасибо, топ видео",2020-06-30T20:19:35Z,0
8,UgwiD3YXIuJtxvD2Eo94AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Президент Грудинин,"Еще много дурачков, которых легко убедить идти голосовать, ну сходите, поучавствуйте в переписи дурачков, дизлайк, кац ты откуда взялся то, сколько мультов вложил в рекламу канала?",2020-06-30T19:04:19Z,0
9,Ugy7Z-qer39ALsHLvOd4AaABAg,_IhOxg1B5GI,Максим Кац,0,0,Intec Hesed,Ты специально сделал чтобы видео невозможно было смотреть? Нахуя этот постоянный зум с наложением кадра. Каждые блять три секунды гахуй,2020-06-30T16:45:33Z,0
10,UgzEKFLl_WfEfCXBOAd4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Rukia Kuchiki,"Очень качественное, а главное аргументированное видео!",2020-06-30T14:44:20Z,0
11,UgyjX7Hw9B03_nADFIN4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Just Spectator99,"Плохо что Вы про Камикадзе Ди не упомянули, он хоть и не политик, но вовсю вонял про то, что ВЫ и Варламов продались пyтинистaм",2020-06-30T10:16:30Z,0
12,UgzIAQZHjNWGtVCvflF4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Mrs Nobody,"Допустим ,что большинство  проголосует ""против"". А что дальше ?",2020-06-30T08:36:22Z,0
13,UgzLXq02nJs9YZEBV2B4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Anastasiia Havriushenko,"Честно говоря, все ещё удивляет позиция навального...эмоциональное решение. У него огромная аудитория, бойкот сейчас не решение",2020-06-29T16:20:32Z,0
14,UgyJxoRTBr0ytp7IQB54AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Anastasiia Havriushenko,"Очень хорошо разжевано, спасибо за старания! Надеюсь, это будет иметь действие",2020-06-29T16:07:21Z,0
15,Ugyx89WwCgSVZup9ezF4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Alex Shel,эту историю мы уже проходили с грудининым. никто не учел тот факт что большинство голосовало за грудинина.,2020-06-28T13:39:15Z,0
16,UgwCIyyLm7X9Qj5TBJp4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Евгения Кузнецова,Голосуем НЕТ! Мы победим!,2020-06-28T11:54:14Z,0
17,Ugyups9ecRRaFNdj1c54AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Евгения Кузнецова,Голосуем против!,2020-06-28T11:53:37Z,0
18,UgzQDy29mBAlFFghISB4AaABAg,_IhOxg1B5GI,Максим Кац,0,1,Kaeffun,Комментарий для повышение активности.,2020-06-28T11:14:53Z,0
