,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxUrygdVQ_2DxTkhfR4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,0,Телеканал Дождь,"2:55 - Масштабный домашний флешмоб в инстаграме 
7:19 - Что самое сложное на самоизоляции? 
11:12 - О планах после карантина 
12:02 - После пандемии мир уже не будет прежним? 
13:37 - Чем занять ребенка на карантине?
15:19 - Как рассказывать детям о войне?
19:18 - О съемках и критике фильма ""Зулейха открывает глаза""",2020-05-14T09:22:19Z,0
1,UgzjkRfsXgQhDHzj5fh4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,2,Maya Dittrich,"девочки, какие дедушки выходили на парад !?, мои дедушки никогда!! ударение на никогда!! не то что не выходили на парад, а даже в нашей семье, мои  родители дети 40 вых  никто не праздновал и не упоминал о таких событиях!! это горе и ужас оставшихся в живых .. все что угодно но только не праздник и не победы",2020-05-18T12:13:37Z,0
2,UgwO0jJD-lDln8Lp3pt4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,0,Dimitri Kouznetsov,Собакен классно спит 🐶,2020-05-15T23:57:14Z,0
3,UgzNSibnNQqfMx76_1Z4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,0,Виталик Антонов,"в моей жизни ещё не было ни одной тёлки которой я бы сказал - ты умнА, а лет мне много :) такие дуры",2020-05-15T20:31:24Z,0
4,Ugy03Yr5yS27vI0zmYd4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,1,Homer Simpson,"Юлечка Пересильд,гениальная актриса!Чистый талант!Люблю вас,обожаю,все фильмы и сериалы с вашим участием это бомба.Желаю вам новых интересных ролей!",2020-05-14T12:23:37Z,0
5,Ugwr6qtCMWqHQIHtGOB4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,0,Нойон Мэргэн,"Какой же вы скучный примитив😰. Не зря шуты-актеришки - низшая каста, с вами не о чем говорить🤮🤮🤮.",2020-05-14T03:36:54Z,0
6,Ugwieh9FgcA2Ll_4dON4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,3,Лиса Алиса,Как вообще можно было сняться в таком лживом сериале,2020-05-13T16:53:55Z,0
7,UgwUb7iX7AP7GkRfh_d4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,0,Александр Сарана,дальше ч.то? паршу программировать будете,2020-05-12T23:58:57Z,0
8,UgwcaDWH9F0KYLNtdXh4AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,3,Людмила ДемидоVа,"Юлия, вы отлично сыграли в ""Зулейхе"".  Первые серии фильма мне показались ""сильнее""... Трагичная история и столько там  разных ""подтем"" (если можно так выразиться...)...!! Удачи вам в творчестве!",2020-05-12T19:00:50Z,0
9,Ugxs1sgFuMHEI68Pmi54AaABAg,_MugGNG6Qkw,Телеканал Дождь,0,2,Марина Иванова,"Юля - боец, воин. Молодец, одним словом. Зачет, Юль!",2020-05-12T15:50:23Z,0
