,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx5ZHhAO1dqEMImB8d4AaABAg,aEBAYxE2h2w,Навальный LIVE,66,340,Навальный LIVE,"Подпись за то, чтобы людям оказали прямую денежную помощь прямо сейчас.
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 7 мая: https://youtu.be/RZMC63FPFeM",2020-05-10T19:57:49Z,0
1,Ugx4Lu5M4cCp-msx0YN4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Ginger Cat,хватит терпеть коррупцию и произвол,2020-06-13T14:29:50Z,0
2,UgyOxQ1Jx6mxJY_f7fR4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Люблю,"Дай Бог Путину здоровья еще лет на ...дцать, чтобы он так же грамотно управлял нашей страной!",2020-06-08T11:57:59Z,0
3,UgycjQxIK9bRhkHOLYB4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,1,Hardrock913,"Сами россияне у себя этот шанс украли, а не Путин - вторая чеченская, 2008 - Грузия, 2014 - Украина и Крым, 2015 - Сирия. Вопрос к Навальному: где 20 лет мира? Было 20 лет высоких цен на газ и нефть",2020-06-02T10:53:00Z,0
4,UgyvmSp9C3n122pKD894AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Юлиана Малышева,"О чём (о ком) бы ваши видеоролики не были - вывод вы всегда один и тот же делаете (или намекаете) - кааараааул (!) - Путин виноват... Уже смените пластинку, поддержите Президента хоть в чём-нибудь для разнообразия - удивите всех, чтоб свою  ангажированность западу закомуфлировать немного!😎 Все давно   поняли, что Путина вы не любите😆😆😆- ЧЁ всем это без конца повторять как мантру - вы уже на психического секстанта стали похожи, а не на оппа либерального??!",2020-06-01T20:29:22Z,0
5,UgzFqsmJO5IDNka65dN4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Даниил Волков,"Алёша, а почему ты не выкладываешь Лукашенко, он же дольше правит, чем Путин?! Алёша, а что ты сделал для моей страны? Алёша у меня много вопросов!",2020-05-23T19:58:18Z,0
6,UgxThINw_znwz0M1QAB4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Анд Рюха,"Я извиняюсь,но какое мирное время?А как же ВЧВ,грузия,украина.всегда любил,что вы говорите,но щас чет не оч(",2020-05-21T06:36:32Z,0
7,UgymQZM6XzYEK2lRRgZ4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Серго Комер,"Я голосовал, причём против Путина..за кого не помню, но ни разу не голосовал ни за Путина, ни за ЕР",2020-05-21T00:11:44Z,0
8,UgwBUCXOqBRhao-NZl94AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Демон Пустой,надо варягов звать на княжение . а то соловьёвы истинно русские люди так за любят свою родину что все прочие народы страны вымрут,2020-05-20T15:35:11Z,0
9,UgwBXXPQBWr18X2ZfMB4AaABAg,aEBAYxE2h2w,Навальный LIVE,0,0,Образцов Тимофей,СССР через 20 лет существования (1922+20=1942) по сути уже победил в Великой Отечественной,2020-05-20T00:26:38Z,0
