,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwBrUWapc3xW20iiPR4AaABAg,aP0UcsYDa1E,Навальный LIVE,100,572,Навальный LIVE,"Подпишите петицию на РОИ за то, чтобы людям оказали прямую денежную помощь прямо сейчас: https://roi.ru/66369
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 14 мая: https://youtu.be/wL5Exq2s8fM",2020-05-16T21:05:33Z,0
1,Ugz1Phy1yfNuWnfB4w54AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Momose Sonohara,Пробили дно..там и место..,2020-06-30T09:16:18Z,0
2,UgyDROt06JDtYlIUZrZ4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Arthur Slepsov,Скоро он станет добропорядочным гражданином и после лоботомии и будет поддерживать власть прекиньте),2020-06-17T13:59:12Z,0
3,Ugy-9Qml3Q1xAxtXgcR4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,план ББ,Казахские десантники едет спасать Шамана,2020-06-15T20:12:16Z,0
4,UgzbL04J82Np_Ba03nF4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Анс Анс,Акуеть,2020-06-14T15:42:24Z,0
5,UgzbiOPldxwPlivyhEl4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Виктория Попова,"То что бухает, это точно .",2020-06-13T22:08:03Z,0
6,Ugzzk0f022KDLqrWd3d4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Igor Balashov,Страной правит безумец.....,2020-06-09T15:52:19Z,0
7,Ugxl0dD35fiewTRMaDh4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Димушка Терентьев,"Об Амфилохии Почаевском (постриженном 8 июля 1932 года в монахи под именем Иосиф) ""В 50е годы начались Хрущёвские гонения на Церковь. Осенью 1962 года должны были закрыть Троицкий Собор лавры. Уже были милиции сданы ключи собора. И тут появляется батюшка Иосиф, выхватывает из рук миллиционера ключи и призывает народ не отдавать собор, а милицию прогнать. Крестьяне взялись за жерди и колы и напали на милицию. Собор отстояли, но батюшку Иосифа арестовали и поместили в псих.больницу для самых буйных. Там священник провёл три месяца. Когда там глав.врач узнал, что батюшка сам целитель, его вызвали в кабинет и предложили сотрудничать, помочь лечить душевно больных. Батюшка согласился, но при условии, что ему дадут возможность молиться в больнице, ведь он исцеляет крестом и евангелием.""",2020-06-08T15:19:32Z,0
8,UgwAxPohRkCIEEVN6NN4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,John Silver,Мдэээ,2020-06-04T12:47:04Z,0
9,UgzAx84S-0_kA_KA1GF4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Linux Ma4,"Народ,я не в курсе,за что не любите Путина? Ну конкретно?",2020-06-04T07:36:07Z,0
10,Ugz2gPEV8cgelp47gzR4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Альфа Самсунг,Сдайте демона народу,2020-06-03T01:34:01Z,0
11,Ugyw8Lqj58-U0g5_VWB4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,1,Николай Лебедев,"Шаману, не 40лет, 52 ему, он не пьёт и не курит, и от  окружение своё требует того же,  навальный не неси чушь, он в отличии от тебя, идёт от высшых, а ты   от хозяев  людей",2020-06-02T14:33:12Z,0
12,Ugx_9vOUUnGyKdmIeu94AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Светлана Успенская,между землёй и небом война-где бы ты не был!Цой..,2020-05-30T20:03:50Z,0
13,Ugz-GI4FT2bess2iV6R4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,1,Konstantin KosteLLo,"Господа, кто заметил КРАСНЫЙ Магический ТРЕУГОЛЬНИК на щите 1 го ""Бойца""?🤔 Что думаете о ......Спасибо💪",2020-05-30T08:10:02Z,0
14,UgxkwaXUUXXspPgw8kB4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Lyubov Chernysh,"Держись шаман, мы в тебя верим!",2020-05-29T14:45:11Z,0
15,UgzjNEQcs11nhfdRrMp4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,1,я предпологаю что,"Тёмные силы со своими''овчарками''уж совсем распоясались лет через 20-30 все эти тысячи безобразий закончатся,как написано у одного из пророков''конец бед России прийдет через Китай...,кстати если кто не смотрел''Пророки о завоевании России Китаем'',хотя сейчас уже и не надо быть пророком,чтобы понимать-насколько далеко заходит ситуация с желтыми''друзьями'' Настоящих экстрасенсов меньшинство,но что не говорите-они есть!,вот шаман,который возможно из таких и увидел что-то,что сподвигло его бороться с представителями тёмных сил...",2020-05-29T09:31:39Z,0
16,UgxMuDIHN99znJeDPLd4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,я предпологаю что,"Ты-решил,что можеш драться?если рыло не в пуху.      Там-найдут к чему придраться-если имя на слуху.    Выступая''не по делу''-ты рискуеш многим брат,не посадят как Манделу,так по штату сократят!",2020-05-29T09:17:46Z,0
17,UgxUJbm13eHoDtgkCbN4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Андрей Кучер,Страна мусоров,2020-05-29T05:46:40Z,0
18,Ugw3K5KQ0aPN4E8V9O14AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Сергей Хрен,Я скоро пойду собакмна изоонять и-ракову раком),2020-05-28T18:39:30Z,0
19,Ugx4pF4zjzH6wQqouB14AaABAg,aP0UcsYDa1E,Навальный LIVE,0,1,Aleksandra Шиес,"Омон не Якутский ,а Московский.и ЗНАК КРАСНЫЙ ТРЕУГОЛЬНИК НА ЩИТАХ НЕ ВИДИТЕ!?КОГДА ЖЕ НАРОД ПРОСНЕТСЯ ,ПОРА ЛЮДИ,ПОРА ПРОСЫПАТЬСЯ!",2020-05-28T15:55:17Z,0
20,Ugz8Jq3cCJMUKzd0iWF4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Гаджи Рабаданов,Навальный помоги ему,2020-05-27T20:44:53Z,0
21,UgycYB1BCYDhx2jO7Jd4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Гаджи Рабаданов,Освободите Шамана !!,2020-05-27T20:42:47Z,0
22,UgxnnGZ6e2HwrLnTEJZ4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Гаджи Рабаданов,Помогите Шаману !!!,2020-05-27T20:41:44Z,0
23,Ugxnv2QfNKV4xtB5NUB4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,СЕРГЕЙ РАДАЕВ,Лишний раз  убедились ..какие дешовки.. управляют страной.,2020-05-27T12:36:10Z,0
24,Ugy7RO5BFeg62HlLHih4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Людмила Сайгон,"Нами правит банда! И если бы была реальная оппозиция , то давно бы уже примкнули к Шаману и оказали бы помощь! Он ОДИН собрал вокруг себя людей. А что для нас, оставшихся без средств, работы, защиты сделал ТЫ? Помог выбить деньги из Путина? Или защитил наших детей? Ты упустил шанс привлечь народ на свою сторону!",2020-05-27T12:25:14Z,0
25,UgzSHqFwUBqxAFtuOTx4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,AL SMIRNOFF,Маразм,2020-05-27T10:39:08Z,0
26,Ugx-sSqIfRjP3okQxJZ4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Марина Земная,Собака лаем плакала . Мне было ее жаль.,2020-05-27T08:58:27Z,0
27,UgzHQTy72u5A5RdJ1Lx4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,haci novruzov,"Стыдоба блин.
деграданты полные.",2020-05-27T06:15:52Z,0
28,UgwkcH6XT03-DQG2Gq14AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Вера Иванова,"Тебя США хорошо спонсирует, а у нас для тебя денег НЕТ!",2020-05-27T06:07:38Z,0
29,Ugx_9vGADx9vTa-pJTB4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,alex r,PUTIN...PLEASE...DON'T MAKE THIS MISTAKE...CAUSE...WHOLE WORLD WILL BE AGAINST YOU...YOU ARE MUCH MORE SMARTER THAN THAT…***EXCEPT JESUS CHRIST IN YOUR HEART***...AND YOU WILL BE...FEARLESS...AND NO SHAMAN...WILL EVER TOUCH YOU...!!!888!!!,2020-05-26T21:54:45Z,0
30,UgxAYF_i3pL9zYBplZd4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Борис Иванович,Елки палки .. они бы еще свето-шумовыми гранатами закидали двор...,2020-05-26T21:12:37Z,0
31,UgyLm1OdO7WZPosE0yl4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Art Arm,мы последнее поколение кто помнит нашу историю !,2020-05-26T19:37:45Z,0
32,Ugz6CzGqRKzyz5eFBhN4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Николай Балан,Ещё не хватает танковой дивизии дом из клееного фонера окна полиэтилен очень прочьные,2020-05-26T19:33:36Z,0
33,Ugx-ILO2QfUHqnS2fBV4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Sanya Titov,Даже его они боятся Шамана? ахахах смешно,2020-05-26T19:16:50Z,0
34,UgxZ0uC2DLxj_cqAK414AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,алёша пупов,Алексей помоги этому мужику ! У кого схожие мысли ?,2020-05-26T18:28:34Z,0
35,Ugwod121Ds5HrhJxoRh4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,МУЗАХИР ХАДЖАМ,"Люди такие наивные. Если его боялись бы , то его давно не было бы в живых. Шаман это колдун.....!",2020-05-26T17:29:43Z,0
36,UgxlTT1gKx-BJyjj1uZ4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Sasha Gertz,шаман в феврале  сказал еще что я путина выгоню через 3 месяца.,2020-05-26T16:45:17Z,0
37,UgwiIhhCsCZSNC5fBv14AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Dmitry Laudin,Все заметили красный треугольник на черном щите? Сатанисты бздят.,2020-05-26T10:17:41Z,0
38,Ugyz4GdIaFeaXjUwDkN4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Вова Корниенко,Путин вобще опустился.шамана засал.ахаха.то хоть америку боялся.а щас шамана одного.такой гвардией захватывали.пазор,2020-05-26T09:11:44Z,0
39,UgxI_NvxXQq3y8J4ud54AaABAg,aP0UcsYDa1E,Навальный LIVE,0,0,Наталья Ш,Уруй Айхал!🙋‍♀️,2020-05-26T08:25:24Z,0
40,UgwG4CRdidApK2AI8yN4AaABAg,aP0UcsYDa1E,Навальный LIVE,0,1,Somele 001,На каком основании оцепление в нашей стране. Беспредельщина!!!,2020-05-26T06:27:35Z,0
