,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzAgf1sTY_P7_rO8od4AaABAg,ag9gBRvFJeA,Максим Кац,45,221,Максим Кац,"Реклама: канал GOOD WOOD тут: https://www.youtube.com/channel/UCrzR8YHjrVkPVdtGcE0Iz2g
Подписывайтесь на канал, и распространите видос. Многие не понимают что в госуправлении есть контринтуитивные темы",2020-06-17T12:21:28Z,0
1,UgzSGMRKwHD1tqcG0cV4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Åsa Sjögren,"Максим,  спасибо за Вашу работу! Смотрим каждое видео вместе с женой еще с марта и не разочаровываемся, радуемся, что количество адекватных людей растёт вместе с подписчиками.  А еще стараемся доносить полученную информацию до коллег и друзей, погразших в предрассудках и сплетнях.",2020-07-03T11:12:08Z,0
2,UgxpB7CG1LJVzQhPH_B4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Фарит Бикиев,"Мишустина можно понять
Меньшие деньги точно пойдут в казну (карман), а от большего штрафа нарушитель будет гаситься разными способами
Или тоже контринтуитивное мышление?😄",2020-07-02T17:18:49Z,0
3,Ugwj0NdjFNxoDgEaLQh4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Федор Череватенко,"Про ""можно снести заборы"" - как отличить ситуацию ""мало маньяков из-за заборов"" от ""просто мало маньяков""?",2020-07-02T14:15:08Z,0
4,UgxbNHHaJiD-YUoGPVd4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Азамат Турмагамбетов,Все супер... Только с каждым вашим роликом становится все больше вопросов...),2020-07-02T08:38:23Z,0
5,UgxugRZ2PdsgdvIhBFl4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Наталья,вас просто необходимо  срочно  принять в гос управление....,2020-07-01T10:44:19Z,0
6,UgzUAtNxvCcGpfOuhqx4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Алексей Кулаков,"смысл видео понятен однако я не согласен с вашим решением понижения смертности на дорогах. мои мысли таковы:
1) если нету неотвратимости наказания то какой бы то ни был штраф в голове все равно будет мысль ""а вдруг пронесет"".
соответственно нужна работа над гибдд именно в этом направлении, их нужно перестраивать с карательного инструмента в инструмент предупредительный (предупреждать аварии). О стационарных постах по сути становится известно практически сразу благодаря яндекс.картам и другим ресурсам состояния дорог. курсирующие экипажи  которые невозможно предугадать мне видятся более полезными при условии что они не выполняют план а именно пресекают правонарушения. во многих фильмах из того же США есть сцены где человек что-то нарушает и вдруг откуда ни возьмись появляется полицейская машина. это ведь не с проста, это в сознании людей значит и это как раз хорошо, раз не знаешь откуда прилетит то и стремишься максимально всегда делать правильно лп.
2) просвещение необходимо в обязательном порядке. не в плане принудиловки в школе а именно чтоб это окружало человека, ну вот как реклама от центров мнений. например, тот же Дронов с опухшим лицом и вся шайка лейка должны вещать не про конституцию для путина, а про то к чему может привести то или иное действие на дороге. А лучше приятные и презентабельные сотрудники гос авто инспекции, я на одного такого подписан, приятно видеть такого вот ""дядю Степу"" который разъясняет и показывает к чему привел тот или иной проступок на дороге.

однако это видимо отдельная тема, ваш подход в контексте не интуитивных решений вполне понятен.",2020-06-30T13:24:50Z,0
7,Ugw9ObzF31KvZiIDlu14AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Светлана Фоминых,"И ты тоже используешь тему детей, и надо иногда слушать новости, о дорогах говорят очень много. А вот о маньяках почти не говорят. В школе вообще каждый день говорят и напоминают. Так что ложь чистой воды. А про машины правильно. Но тогда давай поговорим о закрытии автозаводов, не надо покупать машины. Будем ездить на велосипедах. Беречь детей и природу. Это конструктивно, главное полезно и правильно.",2020-06-29T18:24:26Z,0
8,Ugw3mfl563udLHJUZBh4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Гаврилов Александр,"Как же это хорошо... Как же это гениально. Максим, лублу вас. Менять на контрастную одежду (черную на белую с красным галстуком) во время рекламы, чтобы нам было легче отследить ее конец и перемотать. Вот оно, внимание к аудитории в мелочах",2020-06-29T10:38:29Z,0
9,Ugz-ZhTZjy35YjDRCih4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Kira Bogomolova,Вот прям все в точку и по делу! Спасибо за видео 👍👍👍,2020-06-28T17:31:17Z,0
10,UgygrixODvZrKPY_IBZ4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,tplay,"Про утопление и родителей звучит логично, но очень страшно. Я не знаю, откуда это пошло, может быть из того же СССР. Я знаю многих людей, кто говорил: ""Меня мать\отец закинули в середину реки, так я и научился плавать"". Это же абсолютный бред! Если разобраться речка и купание равно природа, отдых, значит родители спокойно могут выпить. А в алкогольном опьянении, когда мозг соображает хуже и реакция замедляется, они еще и ребенка подвергают опасности. Если ребенок хочет научиться плавать, то почему бы не научить его по-человечески, а не подвергать опасности, с возможным летальным исходом или психологической травмой на всю дальнейшую жизнь
меня так бомбит с подобного поведения",2020-06-28T13:26:53Z,0
11,UgwzFw0S3uUSAQUxs4Z4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Николай Овчинников,"Подписался!) 
Спасибо!",2020-06-28T12:16:39Z,0
12,UgxmOQFQ8lezBotaSYp4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Сomrade V,"Максим,  считаю что такие ролики прямо необходимо на разные темы по решению проблем в государстве, ибо сейчас часто давят на то что никто ничего не предлагает из оппозиции. Спасибо вам, хотел бы еще узнать как начать заниматься политикой серьезно.",2020-06-28T11:41:18Z,0
13,Ugyf0fWm6KBWbKc0UTB4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,TheNikita55555,"Так может снижение убийств и есть следствие повышения мер контроля и охраны? Я не сторонник этих мер, но все таки…",2020-06-27T18:22:52Z,0
14,UgzCtp7037sz0vGm_Oh4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,escaped raccoon,материал огонь!! а вот новая превьюшка.. хмм немного колхозно выглядит,2020-06-27T16:54:02Z,0
15,UgyJC0EbbC5YjVMphgN4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Таня Шаманина,"Наш премьер министр пришёл на это место из ифнс, по этому логика у него другая. Как с людей эти штрафы собрать в бюджет. Про смертность от ДТП он врятли при этом думает.",2020-06-26T12:33:44Z,0
16,UgwXmSB_trGw3eOx0SR4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,AlexTheUnknown90,5 тысяч рублей это просто н е п о с и л ь н о.,2020-06-26T00:46:50Z,0
17,UgxBYtOoHqeNVpnYhYl4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,good game,"Меня как-то в школе, в которой я закончил образование, не пропустил охранник когда я нёс учителям конфеты",2020-06-25T18:49:48Z,0
18,Ugwo_RLlykXd1S_ZpLp4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Степан Можаев,У меня старший брат утонул,2020-06-25T16:39:08Z,0
19,Ugy6fJ13IXlsoDEwLF94AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Степан Можаев,Мне 16 меня сегодня чуть машина не сбила,2020-06-25T16:35:20Z,0
20,UgxAfMdJmr_ms_60FdR4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Artem G,"Детская смертность снижается, но власти контр-продуктивны.
Ценность ребенка растет, родители требуют защиты, но вместо этого мы сделаем открытые пространства.
Государство также никак не борется с ДТП.
Уровень преступности падает сам по себе.
Ясно...
Стесняюсь просить - на гос.управлении не учат, что иногда деньги идут на то, что требуют от государства граждане?)
Или тут либеральные демократические принципы должны уступить место диктатуре теории управления?
ЗЫ
-У вас в рекламе поправок сплошные дети. Почему?
-Ну, видите ли, коэффициент рождаемости, цена детской жизни...",2020-06-25T09:25:55Z,0
21,UgxVSdK7U_GH_INbjw94AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Fukuro25,"Очень интересная тема, кстати! Максим, большое вам спасибо, с удовольствием смотрю ваши видео и расширяю свои знания. Мне кажется в нынешнее время не понимать как устроена наша страна, что в ней происходит и что с этим делать практически преступление, но многие, к сожалению, осмысленно не хотят в этом разбираться, вот мы и получаем безучастных граждан.",2020-06-25T07:10:58Z,0
22,UgyvSpwUVie17xREi3l4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Дима Шевченко,Детей Больше не рожают по 8 ШТУК!?! 😂🤣,2020-06-24T15:26:37Z,0
23,UgyCHMDRsnZhyJh0FJx4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Rats and shushas,"Один из самых лучших роликов, которые я видела за последнее время! Спасибо, продолжайте в том же духе)",2020-06-24T08:15:05Z,0
24,UgzhF9YymY6fA3CNBqR4AaABAg,ag9gBRvFJeA,Максим Кац,0,0,Miclosh Balza,Человеческие личинки - самый удобный способ внести кучу идиотских законов всякими разными недо-властями.,2020-06-24T07:50:06Z,0
