,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwK-ZhE8sB-JswQqbp4AaABAg,axGnW21YAac,BARAKuda,0,0,Lz 12,"это не тот самый, который за сбор грибов штрафовал?",2020-07-03T08:19:21Z,0
1,UgyJ75r55PF0CziLgA54AaABAg,axGnW21YAac,BARAKuda,0,0,Расул Гамбарчаев,Входе допроса )),2020-07-03T05:55:21Z,0
2,Ugzx_aZupE_u2p7EhsF4AaABAg,axGnW21YAac,BARAKuda,0,0,Тим Тимыч,Наливкин-топ,2020-07-02T22:59:53Z,0
3,UgygiC5nK56yBXY95k94AaABAg,axGnW21YAac,BARAKuda,0,0,Виталий Мишаков,"Ну хоть так, как то",2020-07-01T22:15:10Z,0
4,UgyyZZRo6WlVP3BNVKp4AaABAg,axGnW21YAac,BARAKuda,0,0,все да все,Ценные породы деревьев))),2020-07-01T13:31:56Z,0
5,Ugza2FdH4tHdnfqgSsd4AaABAg,axGnW21YAac,BARAKuda,0,0,Миха Боярсков,"Хотите сказать,что эти двое тощих и голодных мужиков. Спилили и очистили тысячи стволов,сложили вдоль дороги!!!! А ветки в ванну и домой!!!???",2020-06-30T19:55:44Z,0
6,UgzqvkXeeB6lsYF50yl4AaABAg,axGnW21YAac,BARAKuda,0,0,Mr.Tiger am,"0:37 Они ,что, себе могилы роют?!",2020-06-30T19:26:28Z,0
7,Ugzdpkw_CBkiGsNSE7Z4AaABAg,axGnW21YAac,BARAKuda,0,0,ДНЕВНИК ПАЦАНКИ,Видео с женой Наливкина - https://youtu.be/eJqWOL2ytd4,2020-06-30T18:29:07Z,0
8,Ugxq9piYP38PP0mfKjF4AaABAg,axGnW21YAac,BARAKuda,0,0,Wolfgang Peterson,Наливкина в президенты,2020-06-30T15:50:34Z,0
9,UgznsVE3-nRgnOh2Mud4AaABAg,axGnW21YAac,BARAKuda,0,1,Аноним Аноним,Это шедеврально! Шикарно снято.,2020-06-30T12:58:40Z,0
10,UgwTWsOXeqPAzNdJP_F4AaABAg,axGnW21YAac,BARAKuda,0,0,Владимир Носачев,Показуха,2020-06-30T12:10:32Z,0
