,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwwv1JG35yFWzVZ8gt4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,Андрей Шабатура,"4750. Рублей,аххереть подспорье ! Вы уже как мендель издеваетесь над сакральными русичами! Ну почемубы на эти деньги не построить нефтеперегонный завод и продавать бенз в России по себестоимости?",2020-06-12T18:25:21Z,0
1,Ugzv2vIOUwYShtA7mkJ4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,big coin,дурак,2020-06-12T17:08:46Z,0
2,Ugzqgx__IBsQ2HhSd7d4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,Андрей Шабатура,Российский космос да и вообще все это-АмонРа Пелевина!,2020-06-12T16:37:07Z,0
3,Ugx18DtP3CUOG3DvKiN4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,NSRCOM,Может Милова в президенты? Достойный человек),2020-06-11T16:42:34Z,0
4,UgxlTuHh8KUoeK15ucR4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,yulia,"Доживу ли до того времени, когда президентами России будут становиться такие люди, как Милов, Навальный, Яшин.",2020-06-10T15:31:44Z,0
5,UgzmjJq2BLHfQIj-lJp4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,вася пупкин,"На счёт инфляции.  Я боюсь помимо монополии есть ещё один фактор , который толкает предпринимателей поднимать цены. Мы на столько обнищали и маржинальность бизнеса нулевая, что когда снижаются ""продажи "" у вас прибыли с этого оборота просто не хватает на операционные издержки (аренда , з.п. налоги на фот , коммуналка и т.п. ) и по этой причине, не добирая объемами продаж , вы вынуждены увеличивать наценку , тем самым вы видите инфляцию.",2020-06-10T14:34:24Z,0
6,UgzD-sR5iNM27CIYM-t4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,Miro Jka,"Не завидуйте Маску! Если сейчас что то у него не получается, то потом обязательно получиться! Батут работает! Не уподобляйтесь рогозину! Маск великий человек 👍",2020-06-10T14:31:38Z,0
7,UgxLWQXP9Iu3XwojJyt4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,Lev-Leon 27,"Не отнять и поделить,А денежки Счёт  любят, так,что нам народу надо больше и чаще  СЧИТАТЬ НАШИ (ИМИ ПРИСВОЕННЫЕ)ДЕНЬГИ",2020-06-10T12:08:40Z,0
8,Ugx-mhjzOcJLAUJag_p4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,Денис Радыш,обязательно нужно смотреть  такие выпуски!,2020-06-10T11:21:27Z,0
9,Ugw0K1oj3Ubg58fzpVx4AaABAg,c-WIt5Vh7JU,Навальный LIVE,0,0,May-G Stan,"Залейте к себе на канал видел по поводу экологической катастрофы в Воронеже! Катострофически мало просмотров! Тема Вам известная, штаб Навального в Воронеже сделал отличное документальное видео, которому необходима широкая оглазка! Люди об этом не знают! Угроза не только для Воронежа и Поволжья, а для всей средней полосы России!  Выводим в том коммент в топ!",2020-06-10T11:05:16Z,0
