,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzk5DMMUQbNf8xdcEt4AaABAg,csduhUPef3M,Максим Кац,170,1032,Максим Кац,"Исторические видосы сложные, но мне кажется важно понимать о разных событиях, повлиявших на нашу реальность. Поэтому буду иногда их делать!
-- Реклама: Профессия Project Manager в IT — https://clc.to/cvQjVQ. 55% скидки на обучение по промокоду Максим Кац до 05.07.2020 --",2020-06-18T13:34:11Z,0
1,UgzYccFM-JiFHB6D3p14AaABAg,csduhUPef3M,Максим Кац,0,0,Кирилл Мирченко,"Нынешняя антикомоммунистическая Россия должна потребовать свое: 1. Россия - это единственная страна, воевавшая против Германии и не получившая контребуции, 2. Незаконные большевики передали золото Германии, которое Россия имеет право вернуть, 3. В результате незаконного Бресткого мира, который тогда не признала ни одна страна, Россия потеряла свои земли, Россия должна быть в границах Российской империя",2020-07-03T09:37:45Z,0
2,UgxDRQS8K56CEnMMqMR4AaABAg,csduhUPef3M,Максим Кац,0,0,Андрей Самойлов,"Максим, спасибо за отличный рассказ! Но было бы ещё лучше, если бы звуковые дорожки Ваших роликов были опубликованы в подкасте, который удобнее слушать на кухне или в дороге",2020-07-03T07:43:07Z,0
3,Ugwy3EhHsFSM8Qwjy794AaABAg,csduhUPef3M,Максим Кац,0,0,Дарья Лукашина,"Макс, пожалуйста пожалуйста пожалуйста!! Сделайте про Троцкого подобное!",2020-07-03T07:04:19Z,0
4,UgxNeuYccoKFUtWfGuN4AaABAg,csduhUPef3M,Максим Кац,0,0,Troublеstаrtеr Pumрkininstigаtоr,Смешно наблюдать как покерная мурзилкa учит людей истории.)))),2020-07-02T22:57:23Z,0
5,UgyVUAtLriDV78NMK9Z4AaABAg,csduhUPef3M,Максим Кац,0,0,Дмитрий Г.,"Очень познавательно, спасибо !
Однозначно, больше подобных длинных выпусков",2020-07-02T21:14:00Z,0
6,UgzKsXsbKcj1LMOIZxh4AaABAg,csduhUPef3M,Максим Кац,0,0,HikiNeko,Максим спасибо!,2020-07-02T19:23:37Z,0
7,Ugx5VTj0qSJ6L72rsXZ4AaABAg,csduhUPef3M,Максим Кац,0,0,Metalcore89rus,Продолжай подобные видосы:) узнал больше чем на уроках истории!! Однозначно лайк,2020-07-02T18:32:00Z,0
8,UgwyhYh47uZ82gpJCG14AaABAg,csduhUPef3M,Максим Кац,0,0,Дмитрий Хрулев,Очень интересное видео получилось. Продолжайте в том же духе),2020-07-02T10:51:28Z,0
9,UgxAaNQvv7_bqPdS6q14AaABAg,csduhUPef3M,Максим Кац,0,0,Тимур Марокко,Очень интересно. Расскажи про продолжение гражданской войны в России.,2020-07-02T09:24:19Z,0
