,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxUEi3YmBe9H_6pFdB4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Санников Александр,"Владимир Влалимирович, здравствуйте! Пишет вам мелкий предприниматель Санников Александр Николаевич инн 182800317614 проживающий по адресу УР г. Воткинск, Белинского,12-55. Пишу вам о наболевшем сидел на самоизоляции с 28марта по 13 мая включительно. Торговую деятельность не вел так как мой товар не входит в группу товара первой необходимости я торгую на Воткинском рынке в тп ""Шатер""носками и мужским нижним бельем рынок с моей группой товара мне работать не разрешили, а на другой товар у меня нет денег так я и седел на самоизоляции. Вы обещали компенсацию в размере 12130 ру. , но я и ее не могу получить. Так как мой ОКВЭД 47.8 который не попадает на получение компенсации. Так что теперь мне и работать не дали и компенсация мне тоже не полагается. Я что рыжий или прокаженный или по другому сделан не так как все? Прошу разобраться и выплатить мне что полагается как всем. Мне не дали работать с моим товаром. Очень прошу разобраться с этим я тоже гражданин РФ и по закону должен получить компенсацию так как в самоизоляции моя группа товара не входила в первую необходимость носки и нижнее белье.",2020-06-25T17:48:46Z,0
1,UgwiDvuqvxYCIMQuDZt4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Андрей Андрей,Самая опасная пандемия это путиновирус,2020-06-23T14:51:17Z,0
2,UgxlnYytyyMV7cwcE-B4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Алексей Крутов,Фуфуфу,2020-06-23T14:22:20Z,0
3,UgyUGtZCMGdYkYA3feN4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Tatiana SPb,"Китайская мудрость: «Ты сказал — я поверил, ты повторил — я засомневался, ты стал настаивать, и я понял, что ты лжёшь». Надо лапшу с ушей стряхнуть",2020-06-23T14:19:38Z,0
4,UgxiM8vQ0id7qqafNGp4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,игорь челноков,"Как я тебя ненавижу ,презираю.Как же ты противен.",2020-06-23T14:16:00Z,0
5,UgxD8ApPy4jgwEJ-nYd4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Иван Петров,Наебатель всея руси,2020-06-21T12:16:23Z,0
6,Ugy3Qbpk_5kW8Hp9gTh4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Braun Braun,"- Очнись страна. Очнись Россия.
Ты вновь под властью УПЫРЯ.
И куча тварей, что во власти. 
Пьют кровь людскую не таясь. 
- Разбиты фабрики, заводы 
Разрушен весь уклад и быт. 
И только дрыщь, кремлёвский старый. 
Всё так же на РусИ смердит.
- Его опричники - ""гвардейцы"" 
В России видят лишь врага. 
И сколько сыновей Россииских
В застенках канули в Лета. 
 -   О Русь.
 За что же ты страдаешь.? 
За что наказан твой народ.? 
И за какие прогрешенья. 
Лютует упыринный сброд? 
-  Но нет ответа 
Нет России. 
Она в агонии, друзья. 
И видим мы, закат Державы. 
Под вопли нечисти кремля.",2020-06-15T21:38:28Z,0
7,Ugw-qSqhytmhfOfC0ft4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Igor Balashov,Путин подохни!!!!,2020-06-14T15:38:26Z,0
8,UgxY8CsE1w7SInD9X3d4AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,1,Nikolay Tregubov,"Зачем выходить в эфир и что то обещать?Ведь все равно ничего не будет для народа.А сейчас и Платошкина убрали...Что ж очень сильный оппонент Путина и поэтому по путинские все способы хороши.Хотя этот ролик вышел до беспрецендентного,беззаконного ареста Платошкина Н.Н-я призываю всех подписывать петицию за его немедленное освобождение на его канале Ютуб и в соцсетях.А тех,кто сфабриковал-нужно судить.",2020-06-07T23:10:21Z,0
9,UgzFdJkfQli0n8EfF954AaABAg,e7Ikv_U0Ft0,Телеканал Дождь,0,0,Андрей Баранов,Бейджик с хлором не помог????))))),2020-06-02T19:01:57Z,0
