,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwFKNqAeEWM5N72yYF4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Андрей Андреев,НОД ПОБЕДИТ!!!!!,2020-06-28T17:26:54Z,0
1,UgySz4L1K5TvHnS536N4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Ruben90296,"Я был на стороне Захаровой, я её всегда подеррживал. Но после этого позорного слива, для меня стрёмно стало за неё. Мария Захарова, Вас за язык никто не тянул, вы сами вызвали Навального, и потом сами же позорно слились. Лучше бы сказали бы что извините меня моё руководство запретило выступать в дебатах итд. Это по крайней мере было бы честно с вашей стороны. Но нет увы.... Позорный слив",2020-06-20T03:53:32Z,0
2,UgxVBA-MKPM_rxk0mFx4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Сергей Хабаров,Маруся Какая же ты СТРАШНАЯЯЯЯ!!!!,2020-06-18T17:58:07Z,0
3,UgygGpIKY_BiDxQkAkt4AaABAg,fbXz76IgJUE,Навальный LIVE,0,1,Олег Котик,лучше ничего не придумала,2020-06-02T15:03:12Z,0
4,Ugw1iNjwlicXldm_aU14AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Vladimir Skarupelov,НнЯ,2020-05-30T14:31:40Z,0
5,Ugw31I8IdQ2Dkc_umNt4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Irina Samuels,Appreciate you hard work,2020-05-27T17:40:25Z,0
6,UgyPrryblFufqUs63F94AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Alex Tesemnikov,бла бла бла,2020-05-26T07:37:31Z,0
7,Ugyd7RapSeEurA3B78x4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Alvulo Kora,"фига она страшненькая, как я прямо",2020-05-24T10:33:14Z,0
8,UgwGvrx1Us1sv-UE1jx4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Вадим Алехин,"Глава МИД пишет ""трус конченный"" на всю страну...нет слов!",2020-05-22T23:33:48Z,0
9,UgwxBVufVIw3or7Jje94AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Гаджимурад Гитиновасов,Мама Марии была наверное умнее!!!!,2020-05-22T20:42:07Z,0
10,Ugzugo10SCRFDjZRvR14AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Павел Филатов,"Блин, Серёга, убери ты эту алкашку из своего ведомства)",2020-05-22T09:17:39Z,0
11,Ugw1q8z5UBvOj6qWNol4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,MOROZ,Да уж Навальному то чего боятся???,2020-05-22T07:49:34Z,0
12,Ugw7dNlHg7kfi571vk54AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Михаил Шарков,какая внешняя политика такие и сотрудники МИД,2020-05-21T11:50:59Z,0
13,UgzwZyIvB2hJt5dAvT14AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Артур Неважно,"Капец эта Захарова. Сначала сама вызвала, а потом начала: ""это не то, это не так"". Человек, который хочет поговорить и доказать - поговорит в любом формате. А если отказался, значит, ему нечем свою позицию доказывать.",2020-05-21T07:32:00Z,0
14,UgxjiIAPav57IN91u894AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Denis Serov,"ахаха, гундосая такая. к ЛОРу, срочно к ЛОРу ((((((",2020-05-20T21:43:35Z,0
15,Ugwej-Gn2Fo4Kb1MB9F4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Валерий Саёров,"Такие ......????работают в МИД,??!!",2020-05-20T03:53:26Z,0
16,Ugzhm0TSyg8fWgHnqaB4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Russian lad,"Оооочень неубедительно. Я не перевариваю Захарову, но в данном вопросе ей верится значительно больше. Почему модератор не был согласован с Захаровой? Записи разговора нет, ну о чем вы вообще? Отговорки в стиле ""Вы только посмотрите на них, они же чиновники!"" не работают. К таким же аргументам прибегает та же власть.

Стоит по праву отметить, что Захарова учавствовала в самых разношерстных интервью, дебатах и т.д., сливаться ей конкретно смысла не было и причин не видно, но от затаскивания в какие то неадекватные рамки могла психануть. Намерено или нет, но вы очень тупо и крайне непрофессионально провалили, нет, провафлили эту встречу. А теперь Соболь с видом набирающейся опыта училки для дошколят вещает о том, какие же жуткие эти чиновники.

Я отказываюсь верить, что это было по инициативе самого Навального, я считаю, что Навальному было и есть что сказать, что спросить и на что ответить. Несомненно сиё деяние бросает тень на репутацию всей вашей команды. Я бы вам крайне не советовал терять мыслящих и влиятельных сторонников такими провалами. Ну ладно пока, посмотрим что будет дальше.",2020-05-19T21:23:16Z,0
17,Ugxig3ogWBndFzKbxkx4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Тайсон Тайсонович,100% там за щеку берёт,2020-05-19T19:34:30Z,0
18,UgyOV9z6bwTG0-KGHBB4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,diablo00784,Гайморит вылечи сначала.🤦🏻‍♂️,2020-05-19T13:09:57Z,0
19,UgyFe1S0vRQKMb5Lbyt4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Ivan Dement'ev,"Как из слов Захаровой, Алексей сделал вывод, что ""...не имеешь права, потому что ты недостаточно хороший человек...""? Где логическая цепочка рассуждений?",2020-05-19T12:12:07Z,0
20,Ugyfh9Q3JsqVlQB8ERl4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Kluger Gutneir,Уволить её уже давно есть за что,2020-05-16T10:55:48Z,0
21,Ugwf8Jt_OpRiguaupXR4AaABAg,fbXz76IgJUE,Навальный LIVE,0,1,My World,Почему Немцова убрали а Навала нет? Значить у Навала есть что то . Как Жирик😂😂😂😂,2020-05-15T16:12:28Z,0
22,Ugxgn12TuddwHBrYje94AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Yuri Stark,"Ни один единорос не пойдет на открытые дебаты с Алексеем Новальным, потому-что Алексей их размажет как клопов по стене, и они это знают.",2020-05-14T20:30:39Z,0
23,UgwNnmZP4LORrkm6RF54AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,проводник в херовое далёко,"Захарова проиграла или ""слилась"" даже не успев поучаствовать,лол, бьёт все рекорды👏 короткие и показательные дебаты вышли))",2020-05-14T02:44:54Z,0
24,UgyUXyHPldR6ZZzAXwt4AaABAg,fbXz76IgJUE,Навальный LIVE,0,1,A Aa,Пьянь,2020-05-13T09:31:42Z,0
25,UgyjtJ1r4EETgGLp3DN4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,RAMMY237,"Там просто если за подобное начать увольнять, через неделю-другую все администрации, министерства и прочие гос учреждения останутся пустыми...",2020-05-12T16:19:39Z,0
26,UgzZq8sQ4BFsV3yC6f94AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Геннадий Рома,Пускай теперь дебил навальный установленным порядком запишется на прием к Марие Захаровой. Раз в месяц начальник управления может принимать таких чудаков на букву М ))),2020-05-12T12:42:24Z,0
27,UgyJe9h-eJO1Hc3YCT14AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,андрей гатальский,"СОБОЛЬ: ""ЛЕТ МИ СПИК ФРОМ МАЙ ХАРТ"" ))))))))))))))))))))",2020-05-12T04:57:42Z,0
28,Ugy92n9rZ4k6S43yk1B4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Тимур Макаров,"Не удивляйтесь, что за Навального голосует 1% населения, какой начальник - такая и его  команда!)))",2020-05-11T19:53:53Z,0
29,UgwOS8_bFEqFdXMgR7t4AaABAg,fbXz76IgJUE,Навальный LIVE,0,1,Very Good,Так печально что люди подобия Захаровой у власти...,2020-05-11T14:56:58Z,0
30,Ugxjblssr3AU4VYUE2J4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Semenov Vladimir,"Огласили бы условия, может там такие условия.....",2020-05-11T11:42:48Z,0
31,UgyDGKdaZtLHfkDvkn14AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Sensei,В нормальном государстве зАХАРОВУ давно уже бы посадили или выгнали бы поганой метлой  за такие слова про народ.,2020-05-11T04:45:42Z,0
32,UgzjlEOQxC1IA2hqVa54AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Геннадий Коненкин,"А потом Ээээлеша поплыл и обделался, вроде как взрослый дядька уже, а такой инфантил...",2020-05-10T19:21:57Z,0
33,UgyHnaxvms085VBbWHF4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Александр Аникей,"Она не струсила.
1. Изначально на дебаты согласилась по тупости (не понимала с чем связывается), и вполне себе пошла бы, и Навальный её раскатал бы, но....
2. Предполагается, что не она передумала, а начальство запретило в дебаты вступать, и теперь ей приходится выкручиваться как может.

Если власти согласятся на дебаты - значит покажут людям, что считают Навального политическим оппонентом, и провалится их затея максимально маргинализировать Навального. Тем более, нельзя допускать такого же позорища, какое выдал в свое время Золотов.

Хотя Захарова, конечно, та еще ТП, и не заслуживает сочувствия/понимания.",2020-05-10T17:42:48Z,0
34,UgyEdoMnnv_-8D-KqHd4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Дмитрий Котов,Захарова - трансвестит!,2020-05-10T11:28:51Z,0
35,UgxElZVeEz5dLLT_alZ4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,РΰნchĬҟ Ру,"Не смотря на ,,юное Личко,, алкоголичка, алкоголичка",2020-05-09T22:43:03Z,0
36,Ugzq5o1OosHZ-0OgWL94AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Сигизмунд Воробьев-Сокольский,Как начинали не состоятся дебаты.как хотели не состоятся дебаты.и наконец как не состоялись дебаты.триллер.претендующий на четыреллер.или как ковыряясь в жопе доставать сенсации.,2020-05-09T19:44:19Z,0
37,UgzqGbTzRGEuAd1eQzp4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Михаил Соколов,"Напали на Захарову, это представитель МИДа, т.е. у нее есть руководство, напишите им жалобу и там примут меры по степени ее вины. А так Вы просто развели трёп.",2020-05-09T18:06:14Z,0
38,Ugy0xPM_WMjuPHw3xtF4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Alex Volk,Бомжиха Мария Захарова вконец ошалела от вседозволенности которую предоставили всем путинским ХОЛУЯМ.......,2020-05-09T15:02:26Z,0
39,UgzUJZd9JPMxNjiwIjR4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Михаил Жаров,"Ну собственно ничего удивительного! Госпожа Захарова очередной пустослов и человек не несущий ответственности за язык! А что он кривой и прямо сказать гнилой убедились все! Поэтому слив засчитан! Власть трусов и неадекватных людей с очередным представителем. Цирк уехал, а вот клоуны остались!",2020-05-09T10:37:31Z,0
40,UgyZdzz0OTFPglTuPS94AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Zema Mak,"Лицо,,,МИДа,,,!!",2020-05-09T10:16:38Z,0
41,UgzAtrTYJynW-5xUIbR4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Иван Манаев,"Ребята! Человеки! Вы сами, что делаете для борьбы? Вообще очень хочется услышать Вашу программу развития или реформ.",2020-05-09T09:30:13Z,0
42,UgyW5nsFbsMAqjP7RMl4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,ruslan vovcencorus,"Очень интересно, на Марию  очень жестоко наехало начальство, но гораздо интереснее, что вся присутствующая тут аудитория допускает мысль о том, что Захарова может проиграть дебаты Начальному. И как-то странно, никого тут не тревожит и не заботит, кто такой этот покровитель Алексея, который так жёстко приструнил Марию ..... ?",2020-05-09T06:34:25Z,0
43,Ugzj25KiDzLGV9t4zwd4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Parts Of Japan,Фигура потрясающая у ведущей Как её зовут Кто знает?,2020-05-09T04:32:35Z,0
44,UgyjdxDV9xTmLicwWPB4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Алексей Павлов,Наша Псаки эта баба,2020-05-09T02:00:55Z,0
45,Ugy9T597sYq0e7FVESF4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,TheName,Захарова наша Псаки ....,2020-05-08T22:56:34Z,0
46,UgxRHh74oRroYL-DOWZ4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Drakozyabula G,"Ну вот власть через Захарову и показывает своё истинное лицо, даже врать разучились.",2020-05-08T20:50:50Z,0
47,UgzHQMc1oGR_nToqtUR4AaABAg,fbXz76IgJUE,Навальный LIVE,1,0,Roman Yanochkin,Пиз.. Болы,2020-05-08T20:03:07Z,0
48,UgzHQMc1oGR_nToqtUR4AaABAg.98PdPR8ll-898Pdey6r1Sh,fbXz76IgJUE,Навальный LIVE,0,0,Roman Yanochkin,Наша власть - позорщира,2020-05-08T20:05:22Z,1
49,UgzNi_vJqgHzLlQXvA54AaABAg,fbXz76IgJUE,Навальный LIVE,0,2,Русский,"Валуев, Захарова, Глацких, Федоров, Соколова, Соловьёв типичные представители гнилой системы.....",2020-05-08T20:02:34Z,0
50,Ugww0VDT6GLu0nbLoMV4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Юрий Юрьевич,Очканула!!!,2020-05-08T17:42:57Z,0
51,UgzuIo6ZorQ5IBYi9dl4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,A Прощай,"Как АиФ сейчас пытается её обелить😂 какие тексты пишут, смех да и только",2020-05-08T16:15:57Z,0
52,UgwQ-iVk4zYeHLN-tMd4AaABAg,fbXz76IgJUE,Навальный LIVE,0,0,Владимир Григорьев,"Захарова точно не на своем месте, Сергей Викторович такой уважаемый человек: и вот на тебе....!!!!",2020-05-08T13:33:50Z,0
