,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwkxZa_HF1c_9nh7A14AaABAg,fuTxlutkovI,Телеканал Дождь,17,206,Телеканал Дождь,"0:00 - Сергей Гуриев - о том, как снимают карантин во Франции
1:58 - Перекладывание ответственности на глав регионов России по снятию карантинных мер - это рационально? 
8:45 - С чем связана боязнь власти запустить ""вертолетные"" деньги?
14:17 - Как выходить из ситуации с неравенством возможностей в дни карантина?
18:13 - Что вы думаете про ""шведскую"" модель?
25:08 - Произойдет ли транфсформация рынка?
27:28 - Будет ли еще выше доля государства в экономике России?
31:37 - Станут ли медики главными фигурантами нынешней и будущей истории?
40:23 - Сколько уйдет времени на восстановление экономики России?
42:53 - Есть ли в российской власти люди, которые вызывают у вас уважение?",2020-05-14T16:12:27Z,0
1,Ugxs80_9xCa-_ebL1_V4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Aлександр Трубанов,"Сергей Гуриев, станьте губернатором Красноярского края. Покажите всему миру, как нужно и можно. Долголетия Вам и разума",2020-07-02T12:58:52Z,0
2,UgwUncG-B4utvm6sFPR4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Я Права,"Путин только выдвигает предложения на те или иные меры, а специалисты разрабатывают и не Путин ограничил возраст до 16лет,смешно такое утверждать,если бы он хотел в лице народа быть шоколадной то, так и было бы, но скажите кто же стоит на его пути, может либеральное правительство, алегархи, которые тормозят принятию народных решений, чему свидетельство речи на форуме в СПБ Г. Грефа см. прогрмму Бессагон с Н. Михалков?",2020-07-01T12:32:45Z,0
3,UgwujBcFQfkYeMiE-g94AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Я Права,"Не грамотное рассуждение! Специально уводит в негатив! Правительство и Путин разные игроки, Гуреев не может этого не понимать или специально и намерено так манипулирует. Понятно, что ""дождь"" либеральное СМИ поэтому таких экспертов приглашает, чистая пропоганда.",2020-07-01T12:24:46Z,0
4,UgwQLIlSLVMWHx2LErx4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Михаил Сергей,Отвратительный ведущий,2020-06-24T22:46:54Z,0
5,UgzsnDs3_FgIU-ONrZh4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Александр Александр,2003 год юань стоил 75 копеек сейчас 11 рублей,2020-06-24T12:41:56Z,0
6,UgzahnwLaGNPR52g2np4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Lora Wasilisa,"вот мне не понятен этот формат, в теме написано одно, но в начале надо обязательно спросить про Францию и про Юлия Цезаря, пока до смысла доберешься, можно родить ежа...",2020-06-23T16:39:11Z,0
7,Ugyr4fgh_CPfxkqTcwF4AaABAg,fuTxlutkovI,Телеканал Дождь,0,1,Surik Sairadyn,"Я горд, что Сергей Гуриев родился там же где и я. В супер городе Владикавказе. И меня поражает тупость нашей власти, если вся Европа прислушиваться к нему как к очень эффективному экономисту, а нашим руководителям он чужд. И хочу обратится к тем кто говорит, а кто кроме ПУ??? Я вам отвечу полно людей кто будет работать на благо народа и его процветания. И Гуриев один из них.",2020-06-20T14:58:12Z,0
8,UgyJApHiktR8_R8TieZ4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Лесник,"Всего месяц прошёл и посмотрите что твориться на патриарших: Вавилонское столпотворение, бухают, ссут, орут, байкеры, машины днем и ночью. Всего месяц после того как приняли Иисуса с собачкой. В этой стране возможно любое безумие",2020-06-18T08:42:59Z,0
9,Ugxg_BcATkQnAZnwG254AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,Рожденные в СССР,"интересно, почему Гуриев не говорит о том, что все граждане ссср являются наследниками в равной доле всего, что было создано на наши налоги и продажи природных ресурсов?",2020-06-17T19:50:49Z,0
10,UgyNbWt6tFsOM6m9kkt4AaABAg,fuTxlutkovI,Телеканал Дождь,0,0,AC DC,До чего ж умный и интеллигентный Гуриев. Лучший экономист. Всегда интересно слушать его,2020-06-17T08:25:59Z,0
