,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwBk6Z8dZ8k2N3LXvh4AaABAg,iBWJfBRE_NA,Максим Кац,125,439,Максим Кац,"В прошлом году мы избрали в Мосгордуму оппозиционного депутата Дарью Беседину. Подпишитесь на её канал, там интересно! https://youtu.be/T1ivD8wmt0E
Ну и распространите мой ролик! Многие правда это всё не понимают",2020-05-25T13:45:22Z,0
1,UgzfsIUBSCQ1hPY56ap4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Андрей Соколов,Лжец и оппортунист,2020-07-02T23:29:56Z,0
2,UgzWXlC9bgZZdPvPXth4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Martial Arts Anatomy - Анатомия боевых искусств,"а в реале все они прогосударственные, Норильский Никель, Лукоил... внешне они частные, но в реале все принадлежит либо друзьям путина либ завязано на всяких фсбшников... Так что он загубил бизес еще в 2007-м, так как захватывая например  сети супермаркетов они изгоняли иностранные фимы турецкие. французские, с ними уходили те кто строил супермаркеты,  был подрядчик уже у российских компаний, мы производили центральнеы кондиционеры... Я закрыл завод.... Думаю реально в РФ 97-98% бизнеса под путиным и его друзьями, а че удобно, сидишь не хера не делаешь, а если все просрешь, то пойдешь возьмешь деньги в пенсионном фонде или ФНБ",2020-07-02T15:43:19Z,0
3,UgxBT5SvgpwC3fCbVPd4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Andrey495340,"2:55 - это про нынешний ""Зенит"" =)",2020-07-01T10:35:39Z,0
4,UgyqFjXuWZKpXlcuGgt4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Rfiath,👍,2020-06-29T09:28:27Z,0
5,Ugx-vRdnln7fPBNkLfx4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Ник Моша,"Поверхностное мнение, для любителей вешать лапшу на уши!",2020-06-28T19:34:25Z,0
6,UgzHXMSSr8BbHGZHye14AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Ник Моша,Почему то в Китае госкорпорации выгодны! Значит что ты неправильно рассуждаешь!,2020-06-28T19:30:26Z,0
7,Ugy-dkQyB1BX9lZ6_xF4AaABAg,iBWJfBRE_NA,Максим Кац,0,1,Евгений Доколен,"Ну если не шлепнут, быть тебе президентом.",2020-06-28T18:57:25Z,0
8,Ugzq8ICkRaywer1NHHh4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,PONOMAREV,Работаю в Росатоме. Странно говорить что Росатом не приносит прибыли,2020-06-28T14:00:50Z,0
9,UgzvYpTBKft73IhaG0Z4AaABAg,iBWJfBRE_NA,Максим Кац,0,0,Дмитрий Данильцев,А Тинькофф это госбанк чтоли?,2020-06-28T13:35:40Z,0
