,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwqYlkLdUUF3JPmUvl4AaABAg,iJDXfBdX-Ms,Навальный LIVE,50,124,Навальный LIVE,"Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 18 июня: https://youtu.be/02GZW6ppdT8",2020-06-20T04:49:09Z,0
1,UgztbRKUl3N1OaoH4fp4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,Алёна,"ГОСПОДИ… я такая злая уже! Но я понимаю что все ровно невозможно ничего с этим сделать,конституция все равно будет принята 100%. Даже если я не пойду все равно мой голос уйдет ЗА, а если пойду и проголосую против все равно голос пойдет ЗА.",2020-06-30T02:14:26Z,0
2,UgwQSfJhqqueN2ZoNNR4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,1,Елена Корнилова,"ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО НАШЕ БУДУЩЕЕ ❌❌❌",2020-06-29T19:04:59Z,0
3,UgzbKhB5Z1zPnm45kEt4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,Ирина Фадеева,Надо голосовать однозначно!!,2020-06-28T17:05:15Z,0
4,Ugzd-CaOCTmtNFoQ7Ah4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,Marina GRACILEVA,"Никогда не верила особо в историю про то, что Навальный - агент кремля. Но в этом году изменила свое мнение. Он явно не лидер оппозиции. Его не допустили до выборов в 2018 г - он призывал бойкотировать. Ничего путного из этого не вышло. Сейчас снова. Зачем? В дебатах с Кацем он говорит что нужно ходить на митинги, в здесь - что не нужно ходить на голосование? Бред.",2020-06-28T16:38:15Z,0
5,UgxeIzG-K0-PDofpHpJ4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,buravhik-games,"Не считаю это логичным, но если надо куда-то не ходить, то послушаю уважаемого человека.",2020-06-28T14:43:52Z,0
6,UgyXHh3rL1E7msEN1594AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,ВИТАЛИЙ ЛЕД,"Лайк и коммент для продвижения видео.
.👍👍👍👍👍👍Этот комментарий сделан для того что бы это видео попало в тренды если ты не кремлебот то лайкай и счастья вам.😊😊😊😊😊😊 !👏👏👏👏👏👏!комментарий в топ.2",2020-06-26T13:21:39Z,0
7,Ugy2HfDPRvOzlpPxfWl4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,ВИТАЛИЙ ЛЕД,"Лайк и коммент для продвижения видео.
.👍👍👍👍👍👍Этот комментарий сделан для того что бы это видео попало в тренды если ты не кремлебот то лайкай и счастья вам.😊😊😊😊😊😊 !👏👏👏👏👏👏!комментарий в топ.3",2020-06-26T13:21:36Z,0
8,Ugy1qyCe1DNQvP6H2jF4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,0,Risok,"❌ ❌ ❌  ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОСКОЛЬКУ МНЕ НЕ БЕЗРАЗЛИЧНО НАШЕ БУДУЩЕЕ! ❌ в",2020-06-26T10:33:06Z,0
9,UgzPjXcyEov0TL-w3XB4AaABAg,iJDXfBdX-Ms,Навальный LIVE,0,1,Евгений Давыдов,"Я не согласен. От бойкота нет никакого толку, надо идти голосовать против! Долой Путина!",2020-06-26T07:03:35Z,0
