,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzaTCU9pYmLRR4bJWB4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Миса Якубова,"Знаю одно точно, никто не любит того, кто лучше, кто любим, кто чист. А то,о чем все говорят, плевать на всех",2020-06-08T16:54:13Z,0
1,UgzSGeG-qmWo_zkQw0x4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Алексей Чилимский,Покажите суки как он проходит леЧение,2020-06-05T14:05:39Z,0
2,UgwU-xJ-Nfw4_sOF9O94AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Алексей Чилимский,"Путин приказал заболеть и так сказать кадыров сделал,бляяяяяя как там можно так делать",2020-06-05T13:58:05Z,0
3,Ugzn9W4jX8jwDAlIP754AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Алексей Чилимский,Вооооот правильно люди говорят,2020-06-05T13:57:11Z,0
4,UgxNz5Ks2O5QMaEUHIx4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Алексей Чилимский,Пусть в своем грозным лечится Москва для русских,2020-06-05T13:56:42Z,0
5,Ugw2hYMuyPgRr4Pecqh4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,alea alea,"КАДЫРОВ ИГРАЕТ ЗЛОГО ИЗ-ЗА ТОГО ЧТО ОН ЯКОБЫ ДОБРЫЙ,  НО ОН ЗЛОЙ И ХИТРЫЙ. ДВОЙНОЙ ОБМАН ПРОТИВ ДЯДИ ВОВЫ.",2020-06-05T09:46:42Z,0
6,UgzatchQ-XCWi_job4t4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,alea alea,"У МЕНЯ И ШАНСОВ НЕТ ЗА МОИ СЛОВА. ТО ЛИ КАДЫРОВ И ВСЯ ПИЗДОТА, ПРОВЕРЕННЫЕ И ""НАДЁЖНЫЕ"". КОМУ ЛЕГЧЕ ПОВЕРИТЬ ?",2020-06-05T08:38:41Z,0
7,Ugwurto3apwzW5kovtB4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,alea alea,ВОТ ПОЭТОМУ НАДО ВЕСЬ КАВКАЗ И ТАТАР КРЕСТИТЬ В ПРАВОСЛАВИЕ. ЧТОБЫ БОЛЬШЕ НЕ ВЫЁБЫВАЛИСЬ ЭТИ ОСЛЫ. ЕСЛИ БЫ ЗАХВАТИЛИ РОССИЮ ТО ЗАХВАТИЛИ БЫ И УКРАИНУ. И УСТРОИЛИ БЫ КРОВЬ ИХ  ИНОВЕРЦАМ.,2020-06-05T08:31:14Z,0
8,UgyjPWlTW9mafJN12Xx4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,alea alea,МОЛОДЕЦ ЧТО БЫСТРО ПЕРЕДАЛИ ТО ЧТО Я ПИСАЛ. Я ДАЖЕ ЗНАЮ КАКОЙ БЫЛ ОТВЕТ.,2020-06-04T20:19:31Z,0
9,UgzpY5zxkvu3h8NfPjN4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Кот Котович,Надеюсь он сдознет,2020-06-02T16:30:58Z,0
10,Ugwa2iQmm31rEZZrCBJ4AaABAg,iaqm8_Q7tn4,Телеканал Дождь,0,0,Курбонгул Шарипова,"Я Шарапова  к ш хочу
 Увидеть  Рамзан  Кадыров если можно  я пойду  к ней",2020-06-02T14:20:49Z,0
