,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxrfUvYDyVRtyXGwwV4AaABAg,itiXqswoXsQ,Максим Кац,198,812,Максим Кац,"Вообще имеет смысл записывать новости? Или лучше какой-нибудь обычный ролик по воскресеньям делать? Подписывайтесь, кстати, на канал и порекомендуйте знакомым :)",2020-05-31T13:51:48Z,0
1,Ugxfvw_vsW5SwLmSBlB4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Сергей Губачёв,"Максим как Вы относитесь к информации, почему заторопились с обнулением срока Путина у власти связанно с расследованием сбитого Боинга над Украиной.",2020-06-15T10:22:15Z,0
2,UgwQQrdPJReakebGSMN4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Денис Путченко,А график интересный.,2020-06-15T06:15:09Z,0
3,Ugy5bnUAScPFjfR8xfJ4AaABAg,itiXqswoXsQ,Максим Кац,0,0,ZTE,4:55 вооооооооообще НЕ ЖАЛКО,2020-06-09T12:55:33Z,0
4,UgxusCCadvWIVtQcFzZ4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Evgeny B,"Кац, ну не при Путине парады начались! В 1995м точно был такой парад и про Путина никто вообще не знал тогда.",2020-06-07T05:38:48Z,0
5,UgxqXx0WwfAJRjt3nAJ4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Dmitry Nikolaev,"Деления на главы не хватает. Ну или как оно там называется, когда Ютубчик отмечает где заканчивается одно повествование и начинается другое.",2020-06-06T15:43:58Z,0
6,UgwWsjcdZvegliq5yGx4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Галина Шаповалова,"""Прогулки по графику"" - мера необходимая, чтобы 15 миллионов застоявшихся граждан не вышли на улицы разом. Можно дискутировать о том, как это технически правильнее было бы осуществить - как в Испании, где граждан разделили по возрасту, или по номерам квартир (четные-нечетные), как предлагали некоторые  ресурсы, но критиковать сам принцип очередности прогулок в разгар эпидемии глупо. Мы живем в перенаселенном и переуплотненном городе. Если на улицу  разом выйдет хотя бы половина или треть его жителей - социальную дистанцию 1,5 метра соблюдать будет крайне сложно (в моем старом районе, например, где нет больших парков, где довольно узкие тротуары и дорожки в скверах, практически невозможно). А учитывая, что половина москвичей требование носить маски игнорирует, а носить их на улицах игнорирует 90% граждан, - тем более нельзя выпускать всех одновременно. 
Что касается спортсменов, то это чистая правда - человек, занимающийся спортом, бегун, выдыхает воздух в несколько раз интенсивнее и дальше, чем простой пешеход. Так что, вероятно, можно было бы и  без маски - но только с 4 до 7:30 утра, пока основная масса граждан, собачники, родители с детьми, не вышли на прогулки, по делам  и не поехали на работу. Любишь ЗОЖ? Отлично, не спи до 12, а вставай рано утром - и беги. Это очень полезно. И автомобильных выхлопов еще нет.
Кстати, китайцы носят маски до сих пор. С ноября. В том числе на улицах. Умерли два ребенка на уроках физкультуры - очень прискорбно, возможно, у них было слабое здоровье, проблемы с сердцем и они нуждались в освобождении, недосмотр врачей.  Но от ковид в Китае погибли 4,6 тыс человек. Сколько погибло бы без строгого масочного режима: десятки тысяч, как в Америке? Сотни? Миллионы?
Во Вьетнаме благодаря строгому масочному режиму до сих пор ни одной смерти - тоже носят с ноября (как и многие другие страны Юго-Восточной Азии).  И ничего - никакой массовой смертности от асфиксии, туберкулеза и других инфекций, якобы ""скапливающихся под маской"" и так пугающих наших ковид-диссидентов (ковид-то их, понятно, не пугает, пока они сами не заболели в тяжелой форме, а зря) не случилось.",2020-06-06T00:29:54Z,0
7,UgxxGkTB-n0Hh40eItR4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Галина Шаповалова,"""Переполнения медицинских организаций"" не случилось благодаря новому революционному методу ДЗМ под названием ""Болей дома"". Когда больных выписывали из больниц сразу же после наметившегося улучшения с 55% поражения легких. 
А  множество людей с высокой температурой и подтвержденной пневмонией (25-30% поражения) скорые отказывались забирать, оставляя болеть дома под наблюдением участкового терапевта.  Часть больных вообще не получала направлений на КТ и анализы - все соцсети и районные группы пестрят такими постами уже два месяца. 
Попова из Роспотребнадзора занимается откровенной дезинформацией, уверяя, что ни один коронавирусный больной  не умер дома. Еще как умирали (смерть Максима Моргунова, пост в ФБ от 1 июня Elena Gromovaya, обращение от 21.05.2020 через портал mos.ru сотрудников отдела по транспортировке тел умерших и погибших Бюро судмедэкспертизы ДЗМ -  ""Мы транспортируем тела умерших граждан, с подтвержденным диагнозом COVID-19, как из стационаров, так и из квартир для последующего патологоанатомического вскрытия. Кроме этого, множество случаев, когда диагноз COVID-19 устанавливается после транспортировки тела умершего в морг"".
Часть больных, оставленных ""болеть дома"", скорые забирали в больницы уже в критическом состоянии, когда невозможно было ничего сделать, некоторые умирали через несколько часов после поступения в больницу, как тетя моего друга из Алексина, Тульской области, которой анализ взяли только в больнице перед смертью, а до этого ее с высокой температурой и сильной одышкой две недели ""лечили дома"" без анализов и КТ.",2020-06-05T23:35:33Z,0
8,UgzsNiE_484ZVEY_OLN4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Дарья,"обзор новостей может перетечь в передёргивание, когда каждое негативное событие будет восприниматься как проявление путинского режима 
это касается и новости с закрашенным бродским",2020-06-05T09:34:51Z,0
9,UgykxOeQylQEe6zUTaZ4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Дарья,хотелось бы видео с оценкой действий собянина и показателями поддержки (не только в период пандемии),2020-06-05T09:32:16Z,0
10,UgySCMkD-FA5cewdVnN4AaABAg,itiXqswoXsQ,Максим Кац,0,1,Иван Назаров,В тренды!,2020-06-04T23:42:00Z,0
11,UgzfKhRWfjREpeYxlu94AaABAg,itiXqswoXsQ,Максим Кац,0,0,Igor Nesterenko,"Стопэ, стопэ. Это ж вроде было не графити, а обычный постер. Т.е. поклееный на стену.
Али нет?...",2020-06-04T14:34:09Z,0
12,Ugx0Wfe_L5U3_UEB8FF4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Anna Mourlaw,лайк коммент но вообще про историю оч интересно особенно про 90ые вообще кайф разборы хочу еще,2020-06-04T12:20:11Z,0
13,Ugz4yMMJZKO_wgCv9JB4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Вадим Денисов,"Максим, на мой взгляд, в текущей ситуации любые попытки освещения новостей ведут с скатыванию в жёсткую оппозиционную пропаганду. Призываю продолжать популяризаторскую работу. Как человек, посмотревший пару дюжин ваших популяризаторских роликов, могу сказать, что дополнительные комментарии и пояснения по актуальной повестке от Вас не требуется. Пожалуйста, не распыляйтесь и сосредоточьтесь на фундаментальной работе, а обзоров текущих событий у нас хватает.",2020-06-04T08:34:50Z,0
14,UgyvBoujuMH-J6VJlXJ4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Bantia Urus,Надеюсь люди проголосуют против Путина вместо поддержки его обнуления. Главное выйти и проголосовать против. Либо сейчас либо ждать пока он кони двинет.,2020-06-03T20:23:23Z,0
15,UgyYtaJNgpDxfZmMsUt4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Владислав Кондратенко,"Максим, прошу отозватся и ответить на мой комментарий. Вы правда внушаете доверие, но я немного недопонял почему график подушевого ВВП и график доверия к ВВ абсолютно идентичны...?",2020-06-03T20:20:24Z,0
16,Ugy81Co6cFc8cIzaUzZ4AaABAg,itiXqswoXsQ,Максим Кац,0,0,черное это белое,"Максим, в одном из недавних видео Вы сказали, что Вы - либерал. Объясните что это такое, чем либералы отличаются от демократов, и почему путин не такой. Или такой? Сейчас эти понятия очень размыты и искажены, ничего не понятно.",2020-06-03T18:31:36Z,0
17,Ugx77zbpP9RSDWBp8YB4AaABAg,itiXqswoXsQ,Максим Кац,0,0,tourer V,"перчатки носят месяц, а маску неделю....",2020-06-03T16:52:44Z,0
18,Ugwp1bLWfn7ydvQgxW54AaABAg,itiXqswoXsQ,Максим Кац,0,0,Gera Vasilevsky,Лукашенко уже провел парад. Теперь страдаем.,2020-06-03T16:44:25Z,0
19,UgzsKMwV5bNjUn-sy4V4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Дарина Петровская,"Сказали, что это не граффити, а наклейка",2020-06-03T16:23:09Z,0
20,Ugx37yav__6eH1OVWy94AaABAg,itiXqswoXsQ,Максим Кац,0,0,Валентин Коцюр,Комент,2020-06-03T15:36:15Z,0
21,UgwMAwEX9SofyYk17r94AaABAg,itiXqswoXsQ,Максим Кац,0,0,Cattie Serio,Все по делу. Лайк!,2020-06-03T13:08:15Z,0
22,UgxKAf_UTY_M2io81-d4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Kloun Dead,"Очень интересно, спасибо)",2020-06-03T10:45:42Z,0
23,UgwdtNpIXe97VA9fTEh4AaABAg,itiXqswoXsQ,Максим Кац,0,1,Антон Илючик,Портрет Бродского - это не графити. Это распечатанное фото. Внимательней будь.,2020-06-03T10:38:10Z,0
24,Ugz0fi-gwh-s8-M7v8h4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Andrey Goblin,"Максим! Ну ведь все знают, что это не граффити, а обыкновенная переводнушка! Даже Варламов об этом в ролике рассказывал.",2020-06-03T09:12:55Z,0
25,Ugzr61Z90LY-sLCAJ_R4AaABAg,itiXqswoXsQ,Максим Кац,0,0,hardcoreeptu,"ветераны не прийдут на парады, потому как города в России не приспособлены для передвижения общественным транспортом.",2020-06-03T08:48:34Z,0
26,UgzOw18rLDXdPC6cigl4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Denisss Novikov,"16:04 По возможности, не трогайте руками глаза, рот и нос (ВОЗ)",2020-06-03T07:53:02Z,0
27,UgzGDRe84d2AhYrwJ_54AaABAg,itiXqswoXsQ,Максим Кац,0,0,Andrew I.,👍🏻👍🏻👍🏻,2020-06-03T07:28:34Z,0
28,Ugy9A3LwfV-EYJ8Wadx4AaABAg,itiXqswoXsQ,Максим Кац,0,0,Jayn,"Сижу, думаю, как уберечь родителей, которые учителя, от появления в этом потенциальном рассаднике заразы, если их руководство заставит...",2020-06-03T06:00:57Z,0
29,Ugx3KMxYBUrWKAsgoHx4AaABAg,itiXqswoXsQ,Максим Кац,0,0,sobolevsam,"Говорят что с Бродским это не граффити, а распечатка фотографии. Тем не менее.",2020-06-03T02:32:21Z,0
