,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgwpoQ8yPSAUFNF-n8B4AaABAg,jtPCie9NdMU,Телеканал Дождь,3,31,Телеканал Дождь,"0:00 - О том, что согревает в холодную погоду
1:31 - Куда переместилась программа Синдеева?
3:56 - О рождении третьего ребенка
6:19 - О воспитании троих детей в одиночку
9:38 - О жизни на карантине
11:51 - О новой книге
16:30 - О травле 
24:00 - О чтении сообщений и постов про себя
28:25 - О карантине как замечательном, бескомпромиссном зеркале
34:57 - О письме девятилетней Веры Полозковой самой себе",2020-05-25T07:35:06Z,0
1,UgwpoQ8yPSAUFNF-n8B4AaABAg.9944JhvB_-J99xmrboSn3p,jtPCie9NdMU,Телеканал Дождь,0,0,Sergey Dreamer,"@Беверли Марш Да, смотрится нелепо и неуважительно.",2020-06-16T08:10:33Z,1
2,UgwpoQ8yPSAUFNF-n8B4AaABAg.9944JhvB_-J99I8Jg8eInt,jtPCie9NdMU,Телеканал Дождь,0,6,Беверли Марш,"Телеканал Дождь Пожалуйста, уточните, как следует понимать ситуацию, когда поэт читает стихотворение, а интервьюер его перебивает? Я без сарказма задаю этот вопрос, просто увидела такое впервые.",2020-05-30T18:39:25Z,1
3,UgwpoQ8yPSAUFNF-n8B4AaABAg.9944JhvB_-J994MLspnyVs,jtPCie9NdMU,Телеканал Дождь,0,1,Razdolbaj Repkin,я бы вас пиздюлями проспонсировал,2020-05-25T10:12:41Z,1
4,Ugzq8D_2o3BcGCt57Mx4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Ольга Юрик,Всегда наслаждаюсь Верой. Просто смотреть и слушать ее- большая радость!!!,2020-07-01T07:34:08Z,0
5,Ugzth0XbhVfFnil_ItB4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Taisia Z.,"Вера - Рыбы - бездна, глубина, суть.
Синди - Близнецы - поверхностность и бесконечные разговоры ради разговоров без всякого смысла. У меня всё)",2020-06-29T13:33:49Z,0
6,Ugx6BW-m7F90xzC6O614AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Evgenia Usova,Обалденная Вера!,2020-06-25T11:06:00Z,0
7,UgwOwFjcpn3g-v5QpqF4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Павел Пав,Какая же Синдеева противная.... на её фоне Полозкова ангел небесный,2020-06-24T15:50:54Z,0
8,UgwFxg6fB3x5ykhC12F4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Анна Гарусова,"Вера, Вы невероятная, родная, талантливая, красивая, сильная, слабая, настоящая. Талант Ваш вообще трудно переоценить. Спасибо за каждую книгу, за каждое слово! Злопыхателей/завистников единицы, Ваших почитателей - миллионы!!!",2020-06-21T13:40:41Z,0
9,UgwFxvu3cWYlyizR6G94AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Anna Guytina,1:44 - река Жабня!,2020-06-21T12:41:10Z,0
10,UgxkE50Z35pIEIz40GV4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Александра Цветкова,"Досмотрела только из-за безграничного уважения и трепетного отношения к Вере Полозковой. Если бы не она, выключила бы на первой минуте. Полное отсутствие такта, неуместные вопросы, светская болтовня ни о чем. Тьфу ты!",2020-06-19T12:29:38Z,0
11,UgwnIR9WO9u1zxFLHVV4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,serliss88,"Прекрасный разговор получился! Люблю Веру за искренность, открытость, добродушие и конечно же талант! Всегда интересно её послушать!",2020-06-17T19:00:50Z,0
12,UgxowvNudCIwGJUyg3p4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Viktoriya Karmanova,"Совершенно удивительная Вера , спасибо!!! Однако , интервьюер все испортила . С таким человеком стоило больше молчать, гостя хочется слушать . Даже не слушать , впитывать , уважаемые .",2020-06-17T18:44:08Z,0
13,Ugy3gmuB0zNxirCqQSV4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Schmunk Natalja,"Вера..
Как вы одеваете мысли в одежку слов.спасибо.спасибо.",2020-06-14T20:37:06Z,0
14,UgwqZlcfdFJra18pY_J4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Tanya Belousova,"Вера, вы гений! Забудьте завистников. Будьте безразличны к врагам. победить зло можно только забыв о нем. Мы вас обожаем!",2020-06-13T20:28:42Z,0
15,Ugx4SsYfIqWBxH1wNnp4AaABAg,jtPCie9NdMU,Телеканал Дождь,0,0,Evgeny S,Спасибо вам за интервью с Верой! Ждём любого её слова!,2020-06-12T09:23:13Z,0
