,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugwzy42KKv7R_mOCh114AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,татьяна каменкова,"михалков не лауреат премии Оскар,  михалков был номинирован  на премию  Оскар. Зачем тешить его больное самолюбие..",2020-07-02T15:30:33Z,0
1,Ugy_KW3MuhPFCx3gtDN4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Сергей Попов,"Навальный, радуйся. Тебя скоро на 1-й канал пригласят. Такое впечатление, что у тебя сговор с Биллом Гейтсом. И с Путиным.",2020-06-16T06:55:29Z,0
2,UgwSypNG7XMHdRFUYlR4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Владислав Гужвин,"о чем это видео? чуть -чуть о том, чуть-чуть об этом и неочем в целом! решил посмотреть, ради интереса, думал может что-то интересное расскажут, альтернативу Михалкову Н.С. или хотя бы рядом, но оказалось, что даже близко ничего нет, видео, рассчитанное на идиотов!",2020-06-15T16:13:47Z,0
3,UgzFv7l9Eme2vZVwIv14AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Daroslav Skiba,"Это очень важно! Мне мать с детства этим всем голову забивает, а в психологии ребёнка очень сложно отрицать, что тебе сказал главный авторитет-родитель",2020-06-09T22:02:15Z,0
4,UgzJqYje-MSC5ZA86fB4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Svetlana in Hamburg,"Я именно тот человек, кого парализовало после Индийской вакцины от полимейлита в. 3 года. Сейчас в норме, но мышцы чуть слабее.. Крутяк, заговор👍🏻",2020-06-09T06:45:12Z,0
5,Ugwf7uvzvK_nc5oEJMN4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Робин Гуд,"Теперь ясно, чьи интересы обслуживает навальный. Ролик дешевый.",2020-06-07T17:14:55Z,0
6,UgxAAc9EV-WEbrJevp94AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Андрей Скрипниченко,"Думаю, Навальный лезет в ту область, в которой ничего не понимает. А если понимает, то выполняет заказ чужого дяди.",2020-06-03T14:04:55Z,0
7,UgxPCZnm-pi74XITBS14AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,No Name,"Так, где моя шапочка из фольги?",2020-05-29T09:03:28Z,0
8,UgwoRunNLlT3aeyteHt4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Оксана Губанова,"Лёш., вам всех благ!!!!",2020-05-27T20:30:10Z,0
9,UgwMlRUodkgRTmHCwh14AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Amin Ullu,Киберпанк который мы не заслужили,2020-05-25T10:52:12Z,0
10,UgxRTeWyt_1BYI0R06p4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,инна ларионова,"а как умный город, не слежка за народом. я верю Михалкову",2020-05-24T18:38:29Z,0
11,UgwNfxNs6I86nT0ySix4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,2,Саша Карпенко,"Михалков привёл свои доводы. А Вы, я извеняюсь, из фактов использовали только слово ""фейк"" Из опозиции превращаетесь в заполнение эфирного времени и нашего внимания.",2020-05-24T15:41:37Z,0
12,UgwbVH0GPdw5ujrNKTh4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,il prescelto alieno,"Мадам силикон  боится , что за ней начнут подсматривать!?",2020-05-24T13:29:37Z,0
13,Ugw-O2JLPMNnsne9YhJ4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,il prescelto alieno,Нас не напугать чипированием : мы УЖЕ даааавно и  реально отключены от всяких средств  существования. Гейц ОПОЗДАЛ!!!!,2020-05-24T13:25:13Z,0
14,UgypjU7aHHWFSOsNgHF4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,2,сергей с,Михайлов молодец. Поддерживаю его.,2020-05-23T19:52:20Z,0
15,UgwXK31Aec40z2P5Qmx4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,2,Аз Ор,не трогайте Цоя,2020-05-23T14:48:10Z,0
16,Ugy6AvBTNA8QvFCIMYp4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Mr. Cold,Билл Гейтс -- Танос,2020-05-23T07:43:00Z,0
17,UgwIiv0mM8cTJRmqXrF4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,3,SiriusM63,"Да Никита, лихо показал...
На кого работает Лёха, и его, бригада.",2020-05-22T21:24:29Z,0
18,UgxvPg_0Fvz7n_5BTKF4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,3,Nexus G,"Люди просят от Вас ответ! А почему не прокомментировали систему образования о которой Михалков говорил в бесогоне? А только конспирологию. Что ? Не в тему? Вроде в тему!!! Обосрать можно, похвалить нельзя?",2020-05-22T19:03:29Z,0
19,Ugx3OLomhg_jbkyMlfl4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Rmm,Тупое отрицание ни чем не лучше бреда.. Рейтинговая система в Китае тоже бред?!!!,2020-05-21T16:47:39Z,0
20,UgzxBN7EJAV_XocPinB4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Rmm,Неубедительно,2020-05-21T16:45:23Z,0
21,Ugxb_wpJJQ6N33yYkB54AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Данаб Осман,Это шайтаны,2020-05-21T08:01:57Z,0
22,UgzHiqc0HqRhCjFD7YF4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Данаб Осман,РЕВОЛЮЦИЯ только в этом выход для нас,2020-05-21T08:00:40Z,0
23,UgxgEl_fYV3Edo2Sa1V4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,2,Crystal G55AMG,"Вакцины тестируют годами. А они хотят колоть людям непонятно что. И кто мне даст гарантию того, что от этой вакцины ничего со мной не произойдет? Навальный лично гарантирует это людям? Навальный готов ответить головой, своей семьей, своими родными за эту вакцину? Нет? Тогда этот ролик полное дерьмо.",2020-05-21T01:08:01Z,0
24,UgyvmVAIxoSmCtWNf-94AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Павел Гребнев,"Тут наплыв ботов, или идиотов?)",2020-05-20T21:35:33Z,0
25,Ugzd7xrNdt220LJFK954AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,2,He C,Михалков всё правильно говорит. А Навальный - подсадная утка!,2020-05-20T20:56:42Z,0
26,UgxuQVW6ybk9r69eW8J4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Константин Алаухов,"Дааааа, на Руси-матушке дураков во все времена хватало. Россия, вперед!!!!!",2020-05-20T19:08:44Z,0
27,Ugy-7EfbITYuqYS0Dtt4AaABAg,kZd3Rc4FYY8,Навальный LIVE,1,1,Константин Марущенко,"Наконец то я все  понял, никто никого не отслеживает, камеры в Москве до лампочки. Мои личные данные никому не доступны. Бил Гейц ничего не говорил о сокращении населения (хорошо бы начать с него) и матери безбожно мне врали, что после прививок их дети превращались в овощи.",2020-05-20T18:07:51Z,0
28,Ugy-7EfbITYuqYS0Dtt4AaABAg.98tKkjCIPsi999NfBX0Sy8,kZd3Rc4FYY8,Навальный LIVE,0,0,Я - это Я,"Разве Вам это сейчас не объяснили?!😹 Резюмируем увиденное и услышанное: идите, граждане бараны, и вколите в себя вакцину, сляпанную по ускоренной технологии, и не слушайте фейки🤦🏼‍♀️",2020-05-27T09:00:24Z,1
29,UgzWxmhGtgVHEXK3W3R4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Алексей Алексей,"Есть только одна теория заговора. Короновирус создан мировыми элитами, совместно, как предлог для искусственного кризиса экономики, чтобы ... а черт его знает.) Денежек срубить, переформировать бюджеты, и тд.",2020-05-20T16:53:32Z,0
30,UgwbOE-cjIsjKcbeB854AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Волкова Тамара,"Да он давно выжил из ума, слушать противно .",2020-05-20T14:30:17Z,0
31,UgxgY4X32S8gWUmE3xF4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Евгений М,"Смотрю сколько специалистов....и все эхспэрты...бил гейтс винду от взломов защитить не может,а вы про чипы??? Вот взломают прочипированых навальнят и заставят гимн по стенами кремля петь(а для сих персон это сродни за Путина проголосовать) вот хохма то будет,ненавидящие Россию павальнята гимн поют)))",2020-05-20T13:07:55Z,0
32,UgwBIXSMdQ56gexrKeB4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Dmitry Aksyonov,"Я не смотрю Первый канал и потому не знал, что там такой конспирологический кошмар...😱😱😱",2020-05-20T12:18:39Z,0
33,UgyYeN9xzo-6PtPE-dl4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Дмитрий Ляляля,16:9 - такое соотношение мониторов в последнее время у многих.   примерно такое же соотношение зрачков у - козлов  ;),2020-05-20T11:35:58Z,0
34,Ugy_nyA8ndUAFx6Myad4AaABAg,kZd3Rc4FYY8,Навальный LIVE,1,0,PeaceDuke,"Вот нам всё говорят, что это фейк и конспирология, но объясните кто-нибудь - почему?",2020-05-20T09:12:44Z,0
35,Ugy_nyA8ndUAFx6Myad4AaABAg.98sNWMh_Zzq98satNXRJQ5,kZd3Rc4FYY8,Навальный LIVE,0,0,Серж Грин,Объясняю! Дураком растешь!,2020-05-20T11:18:20Z,1
36,UgxfTRopym-lurgTTBN4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,ONE PUNCH MAN,То что сейчас происходит и то он чем они говорят не вольно поверишь во всё это,2020-05-20T08:21:49Z,0
37,Ugy3Jr5KOeK5rqblDxp4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Ivan Wezdehodov,Для чего неуважаемому режиссеришке 4 стационарных телефонных аппарата? Для понта или прямая линия в Кремль? 🤣,2020-05-20T07:30:31Z,0
38,UgyFjJrpM9giXj21et54AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Б. Л.А.,"Не так давно сам Навальный говорил о тотальном контроле, когда штрафами с камер пугали. Сейчас видимомо... попросили его успокоить свою паству ...",2020-05-20T05:25:16Z,0
39,UgzdchnY95x3yEwBz054AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,TREVOGA,"Людей, которые верят в чипирование, нужно принудительно сажать в дурдом.",2020-05-20T03:54:38Z,0
40,Ugz0MKrHXWruFr8Rw5p4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Leo Gung,"Ваххвхахв готов поспорить, что скоро эти бабки из команды Путина будут сжигать чучело Билла Гейца и закапывать его фото",2020-05-19T20:20:56Z,0
41,Ugy6i3f8DnCOhoUiHmZ4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Leo Gung,"Итог: Если в вашей жизни происходит что-то плохое, то во всем виновата США, Цой и Навальный",2020-05-19T20:16:37Z,0
42,UgxvkhZDoklbiT9NkpZ4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,И. Белых,А что это Навальный за Грефа вписался? Ну и как тебе верить после этого?? Такой же мудозвон ...,2020-05-19T19:33:56Z,0
43,UgxuKArg524WqXn6pOB4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,0,Dmitry Aksyonov,Главный экзорцист у нас!,2020-05-19T19:21:55Z,0
44,Ugz2kS5zRclu_3jOrAd4AaABAg,kZd3Rc4FYY8,Навальный LIVE,2,1,Михаил,"Два вопроса, как и почему люди верят в такой бред, в теории заговора, это в принципе не возможно. Хотя меня больше пугает то что очень много народу подвержены этому и склонны верить в такой маразм.",2020-05-19T16:25:35Z,0
45,Ugz2kS5zRclu_3jOrAd4AaABAg.98q_Fq3QQOc98zrL2sCM6w,kZd3Rc4FYY8,Навальный LIVE,0,0,Михаил,"@Макс Лион европейцы не вымирают, нас не лишили свободы передвижения, не несите бред.",2020-05-23T06:56:45Z,1
46,Ugz2kS5zRclu_3jOrAd4AaABAg.98q_Fq3QQOc98yicXnhl7A,kZd3Rc4FYY8,Навальный LIVE,0,0,Макс Лион,какая теория ? все европейцы вымирают а вас лишили свободы передвижения и надели намордник,2020-05-22T20:21:23Z,1
47,UgwYCkuqscYt2eAyC694AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Superbird 6.9,"Вот вам и ""лучшее в мире советское образование"". Мне 29 лет, так я ни одного сверстника не видел, который бы верил в эту дичь - сплошь люди кому за 50...",2020-05-19T12:30:13Z,0
48,UgzfKPUmHvixjWVMZtB4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Юрий Смазнов,"Не объективно. Всё в кучу. Авторы ролика по определению то что называют ""конспирология"" относят к чему-то маргинальному, почему?! Разве сложно себе представить что люди в жизни на различных уровнях заключают заговоры, сговоры, договоренности. Разве чиновники которые крадут деньги из бюджета не сговариваются тайно? Нельзя всё что называется ""конспирология"" мазать одной краской – неправдоподобия, а разбираться в каждом отдельном случае!",2020-05-19T11:25:34Z,0
49,UgwPicFNiOLRV8huaKJ4AaABAg,kZd3Rc4FYY8,Навальный LIVE,0,1,Айка А.,"Пиццагейт это тоже неправда, масштабная торговля детьми, жертвоприношение их. Если в чём-то не разбираетесь то не судите.",2020-05-19T11:18:31Z,0
