,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugz9QXIoT_k0MnURBfh4AaABAg,kqMVC4lD1go,Навальный LIVE,73,350,Навальный LIVE,"Подпишите петицию на РОИ за то, чтобы людям оказали прямую денежную помощь прямо сейчас: https://roi.ru/66369
Просим подписаться.
Петиция во «ВКонтакте»: https://vk.com/app6890792#p=49738
Петиция на Сhange.org: https://change.org/5stepsvote

Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join

Смотрите полный выпуск программы Алексея Навального #РоссияБудущего от 21 мая: https://youtu.be/VQl2KVISh1w",2020-05-23T00:16:17Z,0
1,UgxcrAaVvWzYvd5-q5N4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Александр Сущенко,"Сейчас на Авито есть 2 объявления о продаже этой яты.  Одна в Питере, другая в Сочи. Цена у обоих яхт 134миллиона. Фото одинаковые, описание тоже",2020-05-30T18:02:23Z,0
2,Ugwoj3u8wFL8YAOp4Sh4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Фейси Фейс,"Ой,Навальный как всегда в своём репертуаре:завидует богатству других,если своё мошенничество в Кировлесе не удалось!!Застукала проклятая  Путинская Власть  ,не дала будущему борцу за правду,свободу и ""чистые руки"" провернуть аферу типа:Сам купил за копейку-народу фтюхни за РУПЬ! Теперь он вечно обиженный на власть,а воюет за вражеские зелёные подачки со своей Страной и Народом!Подло и гадко!Путин тебе не нравится!?Путин-то в это проклятое богом время борется против многомиллионного англосаксонского сборища и их вонючих холуев.А наш Навальный -сам их холуй!А  когда-то я ему верила,да за""Яблоко""голосовала!Прозрела только после нацистского переворота на некогда любимой Украине!Путин-это державность, государственность,стабильность и   социальность.!",2020-05-30T11:20:29Z,0
3,UgxYBqx8zel3j6cAAxV4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,В движении,"Деньги были, но он не продержался)))",2020-05-29T21:18:59Z,0
4,UgwVVcdgreJb91Qtyz94AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Бушкрафт 40rus,Аналыч,2020-05-29T16:08:02Z,0
5,Ugw2p2wAk2g50wnGYG54AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Лев Дубиковский,"О, клоун в эфире.., давай, валяй, поржем..",2020-05-29T15:03:59Z,0
6,UgxYb7qFozDqRIb8efh4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,YakovlevTV,Не ездил а ходил,2020-05-29T13:19:52Z,0
7,UgwVrAEvcsHK3qfAvUp4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,67ALECS,"Цена падает уже подешевела на 3,5 ляма. И есть один негативный отзыв о продавце. Леша Навальный не поленись слетай в Сочи в качестве покупателя.",2020-05-29T07:07:27Z,0
8,Ugziy7jTkE-tR81ThOd4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Joker,"Пойду посмотрю ""Он вам не Димон"", поставлю лайк и напишу коммент",2020-05-28T20:41:34Z,0
9,UgxOrhOZgidVye-Lvsh4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Александра Страхх,Она уже 130.000.000,2020-05-28T18:39:20Z,0
10,UgxM7vJuV_Un5jP0Z_t4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Mikki Rurk,Не доказано. Все надо отдать народу. Шаману свободу.,2020-05-28T17:56:48Z,0
11,UgzZF2c6qM3QU0R2KyF4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Alex Rad,"То есть я серьезно должен поверить, что яхту будут продавать через Авито ? Ну, то есть потенциальный покупатель яхт такого класса пойдет сразу на Авито, если присматривает себе яхту ? Или, например, личный Боинг, кто захочет прикупить. Тоже начнет с Авито ?? Гораздо легче предположить, что ""продавец"" на самом деле фейковый.",2020-05-28T12:51:07Z,0
12,UgxCXC8Hu3qnrN7Fdgx4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Николай Фёдоров,Про себя расскажи лучше,2020-05-28T12:40:02Z,0
13,Ugwwfy4MpRgCur3wqeV4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Tim Has,Мне хотя бы один.,2020-05-28T05:50:52Z,0
14,Ugw7OLPGzcHkVASor7t4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,DJ-S. K. Y Sergey,да нет- просто у этих нищебродов нет бабок на платное объявления!,2020-05-28T03:31:34Z,0
15,UgxLUkck55aPWw8fRM54AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Максим Марченко,"СПЕРВА НАДО ПРОДАТЬ РОДИНУ НУ А ПОТОМ МЕЛОЧИ ЯХТА, САМОЛЁТ !",2020-05-28T02:15:03Z,0
16,UgyrrH5dMbRKO3CswRV4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Потянуло в деревню. Все с нуля.,"Капец, кто то тапочки продает,чтоб хоть как то. А кто то яхты)) И все на Авито))",2020-05-28T00:10:15Z,0
17,UgxfZfjh3N-9kQ6Imc94AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,ЛАКИ LAKI,НА АВИТО ПРЯМ УЛЕТИТ ЭТА ЯХТА😀😀😀😀😀,2020-05-27T23:45:48Z,0
18,UgzloMhiObU8iy2w8_t4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Olga Tschechow,"Ужас сколько жулья!!!!, и все на плаву.",2020-05-27T15:08:28Z,0
19,UgxonIEFvrs788VCWiZ4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Nosova Irina,"Вам не стыдно, вы надоели всем, только болтать горазд,а дел конкретных не каких,вас уже ненавидеть начинают",2020-05-27T14:51:06Z,0
20,Ugy2_rd6Q9AhQx022_h4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Артур Шекультиров,"Болтовня и выборы не помогут,  Россию могут спасти только патриотично настроенные порячные военные РУССКИЕ люди",2020-05-27T10:07:31Z,0
21,UgyV_pRtZz9lmmiImmV4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,rimlynin112,Уже за 130 500 000в продаже.,2020-05-27T07:18:17Z,0
22,UgxWn2vkCFunhTiBB_94AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Андрей Шмидт,"РЕАЛЬНОМУ ПОКУПАТЕЛЮ торг у @капота@ :D.
СРОЧНО! СРОЧНО! СРОЧНО! в связи с переездом в безводную страну :D...
Есть коцки и царапки по ""кузову"", ну это же смешно? )",2020-05-27T04:54:54Z,0
23,Ugywj6rwgPmId9lcUmZ4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Тата Тата,Не завидуйте? Мне интересно у без работного Навального дочь за границей учиться за какие бабки? И вообще на сколько же вы омерзительны.,2020-05-27T03:57:47Z,0
24,UgyJPk00QQg6jeU5Yt94AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Evgeny Vinnichenko,Алексей ТОП 🔥,2020-05-27T01:21:27Z,0
25,UgwKLuSKQQqOytE6RQd4AaABAg,kqMVC4lD1go,Навальный LIVE,0,0,Пётр Вашланов,Надо брать...,2020-05-26T23:26:07Z,0
