,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgzbEZ6kNuvYLvaGB_t4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Александр Фокин,Бензин не подорожал?,2020-06-17T16:30:15Z,0
1,UgxgYTPFGp_k-swX-oR4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Min Energo,"Ездил бесплатно (ветеран), теперь езжу на авто. 15% ЗП уходит на ДТ. Владение авто 10% от ЗП !!!",2020-06-10T16:53:40Z,0
2,UgwjS084rWB_WZjdIq54AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Михаил Кожанов,"Конечно брать ипотеку не выгодно, но снимать квартиру и копить на неё я думаю так же не выгодно. Поэтому из двух зол ты выбираешь то, при котором в конце у тебя (возможно?!?!) будет квартира!!!!!!!!!!!!!!!!!!!!!!!!!!!!",2020-06-10T08:21:47Z,0
3,Ugy2etWdJZiFlN6VbqB4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Dmitry Edelkin,"Поззор власти, сплошные лицемеры, народ превратили в овец для стрижки.",2020-06-09T02:59:59Z,0
4,UgxPvmvWycpdt_ud7qh4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Alex Diving,"Поддержка!!!  Лайки, репосты, комменты, подписка!!!",2020-06-08T14:09:02Z,0
5,UgxUTW9tn2n4K21nlSF4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Илья Орехов,"Простите, но как тогда считать адекватно потребительскую корзину? ещё менее адекватно сравнивать цену товара длительного пользования, что покупаешь раз в несколько лет (автомобиль) и одного продукта, который покупаешь 300 раз в год?
Условно взяв авто за каких-нибудь 500к и аккуратно равномерно размазав их на 15 лет получается, что на авто у меня будет уходить чуть менее 100р в день, по иронии я обычно беру молоко где-то за 50р
Тут конечно можно приплести процент автомобилизации населения, цены на расходники, соотнести растущую инфляцию с прогрессивной амортизацией автомобиля и т.д., но и молоко я как бы не каждый день по литру выпиваю, да и тут тоже можно числами вертеть - вычесть % людей с непереносимостью лактозы, например.
Даже допустив полную открытость информации и высчитаем % личной инфляции для каждого гражданина РФ и возмём среднее значение, не будет ли это излишне усложненным расчётом с примерно такой же точностью, что и сейчас считается?
Пока, я более чем верю в подобное соотношение молока 3,1% и автомобиля 6,7%, авто - дорогое удовольствие, я бы даже назвал личное авто - предметом роскоши, т.к. ездить на такси многим людям было бы дешевле.",2020-06-08T10:00:30Z,0
6,Ugy3tHVZ57rjvjKOFdh4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Михаил Баклыков,"В смысле откуда оптимизм? Виллы на рублевке и курортах подешевели, шлюхи, кокс и яхты подешевели. Денег на ""помощь населению"" дали, резервы расчехлили. Рабочая сила подешевела. Красота! Чем хуже - тем лучше.",2020-06-07T16:43:31Z,0
7,Ugy89dnCeUhzm0i7vv14AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Наталья Алексеева,"Розница резко сократилась. А у Магнита, говорят, супервыручка. Владимир, может коснетесь этого.?
При этом Магнит, насколько знаю, добивался снижения объема акций для населения.(((",2020-06-06T08:32:52Z,0
8,UgyScGEiufoIVFHHjbN4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Одиссей Свиридов,Просьба. Прокомментируйте ситуацию в РБ хотя бы 2-3 минуты. Ваш постоянный  слушатель. Александр. Минск,2020-06-05T11:01:15Z,0
9,Ugyq3PlxXj5g0AlxfGV4AaABAg,lcrUONXzzJ0,Навальный LIVE,0,0,Gigok Lee,"Честные люди, Плвтошкина арестовали😡👹Бондаренко и иже с ними смердящие, ау, где ты, наш громкий депутат, как сказал Навальный, из Саратова? Лично я считаю, Бондаренко от КПРФ  - Жирик из Госдуры~~ Говорит много, страстно и даже порой правильные слова, но своей позиции нет:. как партия скажет, так и сделает😡👹Не нравятся мне такие~~ Если такому дать власть, наломает дров, мама не горюй~~😡Посмотрю, как он поведет себя... Осмелится ли критиковать путина и выступить против него...  Платошкин- редкий в наше время ЧЕЛОВЕК, каких даже с огнем трудно, если не невозможно, отыскать 👌✌✌Он создал движение ЗНС за короткое время, куда вступают все честные и чистые сердцем люди, а КПРФ теряет людей. По численности сторонников уже почти сравнялись👏👏👏Свободу Платошкину! Долой власть Воров и Жуликов!!!😡👹
Гражданин СССР и России 👌✌Враг не пройдет👍 Мы победим!!!!👏👌✌👍🙏🙏🙏",2020-06-05T00:36:14Z,0
