,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyKdqWmF7-GMkS1L_h4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,александр миненко,вы глупы и наивны!  Все на строительство  БЕЛОМОР-КАНАЛА!!!,2020-07-03T10:56:47Z,0
1,Ugw3Wr1Asdy3fSob69F4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Антон,дождик пойдет. все будет,2020-07-03T09:31:58Z,0
2,Ugwrn25rSOpplcyVRO14AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Maksim Torres,"Дед влез куда не надо было ему вылазить, и потом чтоб спасти лицо, как и в е пенсионеры, тут же вызывать скорую... Старая песня. Конечно этот ветеран снялся за бабки и все норм, и внучку перебадет большая часть, все красиво))) падла этот ветеран я думаю",2020-07-03T09:23:31Z,0
3,Ugx8iIoZ8wEgkOMmh3V4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Nikolay Paseydon,"А то, что власть использует любой информационный повод, для своего возвышения , или очернения аппонентов, не новость",2020-06-30T07:19:43Z,0
4,UgxLVnp535hoeKzHFDh4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Nikolay Paseydon,"Помню что то такое про Ленинград, и, что  вы сами виноваты, что допустили нелепые и оскорбительные предположения.",2020-06-30T07:17:52Z,0
5,UgwdA2Qfn9UbAaav2aB4AaABAg,lndjonr8qJw,Телеканал Дождь,0,1,captain nemo,"*А ветеран войны Артеменко в состоянии понять самостоятельно что происходит со всеми людьми и страной, которую он защищал кровью? Осколок не шевелится (?) от того что собственный внук (пользуясь дедушкиной недееспособностью) защищает интересы тех, от каких он эту страну защищал?.. (Но безсовестное скотство в том, что такими дедушками защищается не только великовозрастный внучек, но и весь путинский режим.)* Никто не умаляет заслуг ветеранов. (Внучек! Дедушку в покое оставьте!.. Люди и помладше его не понимают уже что происходит. Пусть они спокойно доживут свой век, веря в то, во что они верят.) *Если бы все эти ветераны войны были бы сейчас живы и молоды как в те годы войны - они (да, да, именно они!) посадили бы эту банду олигархов на штыки, ещё раз отстояв честь страны и народа.* Потому что нынешние оставшиеся ветераны и есть тот народ, который отстоял свою страну. Тоже самое хочет сделать и нынешнее поколение, вернув себе всё то, что было отобрано врагами в 90-е. Но это почему-то оскорбляет чувства ветеранов. Не дедушке, а *внуку недалекому просто объяснить нужно то, что та война тоже наверняка оскорбляла чувства грабителей-капиталистов, которые посягнули на землю нашего народа со всеми её природными богатствами и достоянием нашего народа. А затем внучек пусть ответит: чем нынешнее поколение отличается от того поколения войны? И почему то поколение защитников страны - героическое, а это (делающее тоже самое в своё время) - предатели?!!.. Далеко не всегда тождественны понятия Правительство и его преданность своему народу.*
P.S. Следственный Комитет на удивление быстро отреагировал. Их вообще нельзя заставить или обязать что-либо делать, если это только им самим и этому Режиму не нужно. Месяцы могут проходить, если не годы.. Внучек бы ответил гражданам честно: кто ему позвонил и с каким предложением. Почему нет возмущения самого ветерана? Я сомневаюсь что он вообще в курсе происходящего. Скорее всего его используют в ""темную"".",2020-06-28T13:09:35Z,0
6,UgxF07W0fPy5hTCcsL14AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Ольга Больших,"Если бы следственный комитет так боролсяс ворами, которых разоблачает Навальный, мы бы жили в прекрасной стране.",2020-06-27T09:07:58Z,0
7,UgxouANkS3onjmDP9hx4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Торн Усубян,"Пусть ветераны сначало посмотрят на  свою пенсию и на то, в каких условиях они живут, а потом топят за власть и осуждают оппозицию.",2020-06-26T18:46:11Z,0
8,UgwNL5Ke6kC_2PSgbRt4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Elena Silver,"Прежде, чем принять решение идти на голосование или НЕТ, смотрите ролик'' Полное разоблачение поправок в Конституцию. Голосование незаконно""/Pravda Glaza Rezhet, 6 дней назад",2020-06-26T17:16:19Z,0
9,UgyE1kTyNVCHkHKCnwB4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Олег П,Внучка нужно судить!!!,2020-06-26T16:42:07Z,0
10,UgwtDPPDycyoFuehm9p4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,нужны перемены,о какой оппозиции идет речь? Подвальный? Да он кремлевский правокатор. Нет у нас толковой оппозиции . Ни кто его не посадит он же памятник.,2020-06-26T15:38:07Z,0
11,UgzPdhN95NBJEqtvVpZ4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Сергей Леонтьев,"ЛОЗУНГ:,, ЛУЧШАЯ ПОПРАВКА, ЭТО путина ОТСТАВКА,,",2020-06-26T15:08:32Z,0
12,UgwVc5TSHMlyrD41YRt4AaABAg,lndjonr8qJw,Телеканал Дождь,0,1,Миля Гайфуллина,"Кто,пришел свойны тех уже давно ,старшее поколение это помнит,какие они были,кто на костылях,какого рук не было укого носа,слепые,мы их боялись это было страшно,и остальным недолго пришлось жить, и дети ихние бегали сиротами.",2020-06-26T13:54:51Z,0
13,Ugx70h4HNpLKbNmd0_F4AaABAg,lndjonr8qJw,Телеканал Дождь,0,1,Миля Гайфуллина,"Иванов,что тебе сделал Навальный? Таких как он надо в правительво!",2020-06-26T13:43:57Z,0
14,UgzyaECQmkxlMMY71xR4AaABAg,lndjonr8qJw,Телеканал Дождь,0,1,Айше Айше,"Я, конечно, не поклонница Навального, но он прав",2020-06-26T11:58:41Z,0
15,Ugzw-8_a6C8_J3D7zbB4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Ушачий ушалище,Неизвестный внук пиарится за счёт деда.  Лицемерный у него внучок.,2020-06-26T10:36:21Z,0
16,UgyzRyrbFW-SLo59L894AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Ушачий ушалище,"Молодец, Таратута. Счастья тебе и здоровья!",2020-06-26T10:35:32Z,0
17,UgxABaOqb0NDE9VBpiJ4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Нил Короленко,"Начальный умен, потому опг кремля его пресует....",2020-06-26T10:13:39Z,0
18,Ugz52NvoZiS_mWmd_3V4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Evelina Panfilova,"Господи, победобесцы просто с ума все посходили!",2020-06-26T10:04:14Z,0
19,UgysspDlnMSpQwseHAt4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Sergei Golovkov,"Ой, какие все обидчивые стали! Обидку поймали прям. Лучше бы обиделись за то что у них под носом весь бюджет украли и оставили гнить в нищите!!!",2020-06-25T17:13:26Z,0
20,UgzyFqesSAvr0HzdVTN4AaABAg,lndjonr8qJw,Телеканал Дождь,6,0,Алёна Попова,"Дедушке в начале войны было 14 лет. Он мог успеть призваться в последние месяцы и уж точно не воевал, сначала обучали. И не мог быть ранен, фуфло внук втирает.
Мой дед давно умер. Был конным радиосвязистом. Всю войну прошёл на фронтах. Но ге в атаках как пехота и ранен не был. Потому дожил до 75. 
А с ранениями вообще долго не жили, если серьёзные. А сейчас бряцают интенданты, кладовщики, охранники пленных, писари и тп и тд. Все медали юбилейные, не боевые. Хотя власть это могла бы доработать, легенду получше сляпать. Внук - подонок, кадр для ЕДРО. Много ли в стране мужчин старше 95? Вот и смекайте!",2020-06-25T15:19:54Z,0
21,UgwmNQKOxcOyONSztrR4AaABAg,lndjonr8qJw,Телеканал Дождь,0,0,Сергей ZMM,"Бля раньше над брежневым смеялись,что медали вешал,книги писал,история повторяется,главное чтоб великий кормчий  себя александром македонским не возомнил,ущел бы потихому и писал бы книгу наеби соседа,или пособие как втерется в доверие к людям!",2020-06-25T03:30:58Z,0
