,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx1vUAUG4yrpioHQRZ4AaABAg,mCwceRA3X5U,Навальный LIVE,65,317,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1PGn-tVb8ekgwnyvOF1Y20Hlu706IIMuw6-p0UcR2G0A/edit,2020-05-19T22:07:07Z,0
1,Ugzh1XEDyNFKb5IqpnZ4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Аз Ор,фантастические твари,2020-05-27T09:47:13Z,0
2,Ugxr3aRPdsMgvMHtjrF4AaABAg,mCwceRA3X5U,Навальный LIVE,1,0,Против Ник,госдеповская подстилка,2020-05-26T23:47:24Z,0
3,Ugxr3aRPdsMgvMHtjrF4AaABAg.998ONrQrWEj99HBYtSMB9R,mCwceRA3X5U,Навальный LIVE,0,0,Timon Скеч,Кремлебот?,2020-05-30T09:48:28Z,1
4,UgyRT8sAjZAVIRCFxIx4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Алексей натуралов,падумать только из за каких то 50ти человек во власьти страдает вся страна,2020-05-25T10:59:49Z,0
5,UgxHf95EhBkGw0EbNU14AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Иван Иванов,👍🏻👍🏻👍🏻👍🏻💯,2020-05-25T10:57:29Z,0
6,UgyoMpHSASOD3A6HLDN4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Тарас Павловский,"Ребята,  я не понимаю почему Алексей и его команда не обсуждают вопрос, который я сейчас подниму
Рейтинг Путина и что на самом деле он таким и является 60+%, по крайней мере на выборах

У нас в стране: 44 миллиона пенсионера (это люди, которые в большой части поддерживают Путина, из-за порции пропаганды, которые получают с телевизора)
Военные: 2,5 миллиона - этот контингент, автоматически, большинством за Володю голосует
Чиновники, милиция и прочие бюджетники это ещё не один миллион
Большая часть Крыма , а это тоже 1,5 миллиона избирателей, в основном поддерживают Путина, в знак благодарности и прочее
И на материковой части страны, найдется немало людей, которые выберут его , кто-то реально доволен всей обстановкой в стране, кто-то зазомбирован, а кто-то дзюдо борьбой занимается))

Так вот, если у вышеперечисленных людей сознания не поменяется, то до одного места ваши ролики и эта якобы борьба с властью

А людям, которые не ходили на выборы, в связи с отсутствием альтернативы советую проголосовать на поправках Конституции и доказать, не словом а делом,что против нынешней власти выступает много людей

Нужно принимать эту реальность, и если штаб Навального действительно  хочет каких-то изменений, то надо действовать вам по другому немного. Видео про разоблачения: олигархов, чиновников это конечно хорошо, но вас смотрят люди, которые и так не поддерживают  Едро и по сути вы топчетесь на месте
А вот, если пенсионеры поймут правду и ещё какие-то люди, которых вы не охватываете с вашими нынешним информационным ресурсам, тогда изменения в стране произойдут

Не мне 20тилетниму пацану учить вас , как работать, но вы Алексей, со своей командой явно не дорабатываете",2020-05-25T03:33:05Z,0
7,Ugx6pU4CB2TvVeyH7sF4AaABAg,mCwceRA3X5U,Навальный LIVE,0,1,Мой Господин,только народные суды воспитают этих паразитов,2020-05-24T14:37:26Z,0
8,Ugwc-cdErg9no9T15Rh4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Марина Кравцова,"Конечно, ведь он на 10000 рублей только виски покупает, для него это копейки",2020-05-24T13:12:44Z,0
9,UgzEmcSFOTvFsCYSWgR4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,idushiyPOgrablym,медведь уже стух здох и черви  съели с его партией,2020-05-24T13:05:37Z,0
10,Ugw7Nk91CJPG0kj7Fu14AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Константин Смирнов,"Им оттуда смотреть вниз и не хочется, вроде люди есть, вроде трупы на улице не валяются, значит, как-то живут.",2020-05-24T08:45:56Z,0
11,UgzhsQ0SyGnIO0qVNmh4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Демид Тюменев,Пора валить мишку,2020-05-24T06:32:26Z,0
12,Ugx8SUTz0kgqb2l4kw54AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Al C,"Люба, глупо призывать собак к честности. Они же животные.",2020-05-23T22:39:38Z,0
13,Ugz6Q1l62_Iq7JqewnR4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Al C,Катяк это же вроде ГОВНО ?!!!!,2020-05-23T22:33:22Z,0
14,UgwRuc9N0-bc5aXKCN54AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Евгений Коваленко,Соболь няшка и молодец .,2020-05-23T19:52:58Z,0
15,UgwdY-jTTyO5JybEU_t4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Polly Artist,"Я не поняла, а зачем Шувалову такая огромная хата? Что там делать можно? Кобыл гонять из угла в угол? Бред! Мне и 80-100 кв. метров хватит вместе с мастерской!",2020-05-23T19:52:51Z,0
16,UgzzfET1QEBK9M4c5Vt4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Александр Фадеев,Едрисня политический труп поэтому какин и выборы отменил.,2020-05-23T17:40:13Z,0
17,UgwgCoiqQxhS5tKQnRp4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Александр Фадеев,У котяха рожа в экран не влезает голодает наверно бедняга.,2020-05-23T17:35:28Z,0
18,UgwDEEvH9Qi5_oTFh6l4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Петр Столяров,"Отъелись на семге с красной икрой и стейках. 10000 рублей на завтрак тратят. Вот и удивляются. Сразу приходит на память «Ешь ананасы, рябчиков жуй».",2020-05-23T12:50:41Z,0
19,UgzyEnC32fJ19JwSqT94AaABAg,mCwceRA3X5U,Навальный LIVE,0,1,Артур Сергеевич,"Умница, очень все правильно рассказала!",2020-05-23T12:27:38Z,0
20,UgyFSVMxTxCUugEpQvp4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Artem Bennet,Пенционый возраст надо ещё повысить на лет 10!,2020-05-23T07:02:19Z,0
21,Ugx1vWXdXmzwDoSk1Hl4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Поручик Порочник,"Пздц, конечно популярны 10-20 кв., довели страну до беспредела....",2020-05-22T22:03:42Z,0
22,Ugx55EFrGzlVF0TnqnV4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Артем Абрамов,"Ходит такая новость,что людям в деревнях предлагают по 50к,чтобы они подписали бумаги,что они якобы болеют короной",2020-05-22T21:27:46Z,0
23,Ugwoc_miez92CWk6_ih4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Дарья Королева,"На другой планете живут,глазёнки замылились уже или из- за щёк не видят ничего😂",2020-05-22T20:42:53Z,0
24,UgwwdHWNnKx7D749qi94AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Серега Шкуркин,Вы ненавидите Путина? Да - лайк. Нет - дизлайк.,2020-05-22T20:25:13Z,0
25,UgwF6itG48MfmDYzKVR4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Виктор Нижегородский,"Стабильность - это хорошо, но когда стабильно плохо - это совсем НЕ хорошо!",2020-05-22T18:24:01Z,0
26,Ugz0Qsra_jeve6Ho8od4AaABAg,mCwceRA3X5U,Навальный LIVE,0,1,Кирилл Андреев,"Молодцы , всё правильно рассказываете ! Рад что такие люди как Вы боретесь правдой с нашей воровской властью !!!",2020-05-22T18:23:02Z,0
27,UgysdSjr-Wt7pLn6C1d4AaABAg,mCwceRA3X5U,Навальный LIVE,0,1,Костик Ко,"на эмблеме ед рос Козел, знак сатанистов!))",2020-05-22T17:53:14Z,0
28,UgwJszeClkGU6N810CJ4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Andrey Prudnikov,"Да работать вы не умеете. Пыжитесь, пыжитесь всю жизнь, а за душой лишь 20 кв. м. Бездари! То-дело эффективные манагеры! И нечего сопли распускать! А то... на завод их... . Где эти заводы?",2020-05-22T17:18:09Z,0
29,Ugwx_Gj_meHkLXahBjd4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Мишка Фридом,"А почему никто, подчёркиваю, никто из типаоппозиционных партий не инициировал расследование по вашим материалам? Не потому ли, что рука руку моет и в Думе нет оппозиции?",2020-05-22T17:10:30Z,0
30,UgwRbYKSjN-M_oiiH794AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Zac Zacowich,"Любочка в юбочке, и это правильно. Надоели бабы в штанах",2020-05-22T15:34:50Z,0
31,UgyH4AGYSEbBQCPKJZh4AaABAg,mCwceRA3X5U,Навальный LIVE,0,0,Sergey Cherdak,"38,8 и 33,8 ?",2020-05-22T13:32:51Z,0
