,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxCxMo0E2RGYZcNoEp4AaABAg,mXcFVlxe-jg,Телеканал Дождь,15,25,Телеканал Дождь,"00:00 Поправки в Конституцию - государственный переворот? 
02:46 Новая Конституция 2020: конец эпохи 90-х? 
17:22 Что думают о Конституции РФ в Украине? 
23:20 ""Не Украина начала войну с Россией""
26:42 Путинизм: рычаги давления на Украину 
29:18 ""План Б"" для Украины 
33:40 Преимущества YouTube над традиционным телевидением
40:20 Новый проект в YouTube 
41:37 Возвращение в эфир ""Эхо Москвы""
44:46 О политике Михаила Саакашвили и его должности
48:45 (Не)возвращение в Россию",2020-06-23T18:24:12Z,0
1,UgwbSRSGV1jWpy_6Ph94AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,Николай Пискажев,"Очень страшно, что обезьяна с гранатой /Путин/, отменил приоритет международного права!!!--Как это воспринимают лидеры всех стран и ООН, Совет безопасности ООН ?",2020-07-03T07:11:23Z,0
2,Ugx1-7q6q0e2bGezwF14AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,Зелиха Кубеева,"Как и Гитлера его может остановить только какая нибудь несуразная амбициозная  война.
Есть хорошая русская пословица: 
""Сколько бы верёвочке не виться  - конец будет один..""",2020-07-02T23:23:43Z,0
3,UgwcfDW6ETVjRrdRILh4AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,Эдуард Багиров,"Путин не хулиган, Путин - шпана",2020-07-02T10:18:40Z,0
4,Ugyz_TcZ1o4GfySljeZ4AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,1,Евгений Щемель,"Лучше всего, если Поклонская станет президентом!",2020-07-02T01:27:59Z,0
5,UgyLWl-MR1ofVROICmJ4AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,Руслан Махтиевщ,"Рад видит Кисилев он ушёл с Российской телевидении он первый понял что конец демократии , наступает фашизм он покинул и остался до последнего порядочным , чесным, проводимых журналистом. Дай бог ему здоровья , счастья, удачи,",2020-07-01T20:07:07Z,0
6,UgxNu67vHbykaIHWXm14AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,1,Nina Rasmussen,Раз за кордоном не нравятся поправки - значит надо голосовать «ЗА»,2020-07-01T19:43:38Z,0
7,UgwtrX2A9p5uBGdWGpp4AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,Nina Rasmussen,"цінити життя украінців ,так як цінить Третьякова",2020-07-01T19:35:25Z,0
8,UgzuKr4W4FQoTHkRF4J4AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,Светлана Костинюк,"Стоило ли ради строительства нефтепровода на территории России для продажи нефти за  рубеж уничтожить СССР и поработить народы его,
преступно,  обманным путём через предательство и лже - приватизацию лишив их гражданства и Родины?!?
Это преступление ВЕКА, не знающее границ и предела...",2020-07-01T17:32:07Z,0
9,UgxtLUA9Z7t8PSRjjEt4AaABAg,mXcFVlxe-jg,Телеканал Дождь,0,0,BENZOL,Тяжелое интервью.. Для обоих. Тяжелое чувство от состояния Евгения. Тихон тоже исхудал от нервов. Спасибо за профессионализм.,2020-07-01T17:09:34Z,0
