,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxmZNSQTUoZyKY9EH54AaABAg,nhXVbZue9_A,Максим Кац,179,322,Максим Кац,"Подписывайтесь на мой твиитер: https://twitter.com/max_katz. И распространите обязательно это видео! О том времени ходит очень много мифов и небылиц, как о самих событиях, так и о Горбачёве. Важно чтобы люди знали правду",2020-05-28T14:13:00Z,0
1,Ugwubn2NpUFOiiivw0x4AaABAg,nhXVbZue9_A,Максим Кац,0,0,Anna Anna,Очень познавательно,2020-07-03T07:19:19Z,0
2,UgyLlf68FJDNbJ_NJON4AaABAg,nhXVbZue9_A,Максим Кац,0,0,Andrej Bogdanov,"Ой я не могу 😂, как буд-то  сводку этого десятилетия показали и рассказали. ""Ускорение экономики"" тогда, а теперь :""времени на раскачку нет"" 😂 но на самом деле Горбачев и в правду перестроил СССР, сделал более свободным, нынешний Генсеку далеко до него.",2020-07-02T17:13:25Z,0
3,UgxpNu6OA2V3gEF-oRR4AaABAg,nhXVbZue9_A,Максим Кац,0,1,Лікар у Німеччині,Грбачёв был рептилоидом,2020-07-02T10:20:10Z,0
4,UgzIhdQWIir5SAucDI54AaABAg,nhXVbZue9_A,Максим Кац,0,0,Владиимр Киселев,"Вот это промыв мозгов. При Брежневе значит застой, а кулаки - самые эффективные из крестьян. тадапарапам, фью!",2020-07-02T08:05:01Z,0
5,Ugz1OwH71WeKIB3f3H54AaABAg,nhXVbZue9_A,Максим Кац,0,0,Sergej Brdrdr,кто смотрит видео после голосования по поправкам?,2020-07-01T20:14:57Z,0
6,Ugw4FB6fe77ZlOiLrTJ4AaABAg,nhXVbZue9_A,Максим Кац,0,0,Антон Ларин,"Пиздешь, посмотрите ролик про ниву. Что нива, что уаз, легендарные авто, которых было продано за границу очень много. Предпочитали ниву а не гелентваген. Оборонка сильнейшая в мире. Совковые поезда самые поездатые поезда в мире! Сельское хозяйство датировалось государством, что правильно, сельское хозяйство не может быть прибыльным, потому что, придётся цены взвинтить.",2020-07-01T16:36:48Z,0
7,UgzFeTZVpthd2yaCAZR4AaABAg,nhXVbZue9_A,Максим Кац,0,0,Rfiath,Люди-это нефть. И Горбачёв туда же...),2020-07-01T12:15:55Z,0
8,Ugy5DmJgVztYh8Tqg5l4AaABAg,nhXVbZue9_A,Максим Кац,0,0,Олег Кутузов,Вы реальный ангажированный  адвокат предателя и изменника Родины! К тому же коррупционера и агента Госдепа...,2020-06-30T19:58:24Z,0
9,UgzEP0oqYBs2pOKdYWt4AaABAg,nhXVbZue9_A,Максим Кац,0,0,"Ах, Лили","Вы такой крутой, Максим! столько полезного и по делу!",2020-06-29T02:14:27Z,0
