,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyWTkDHUPOGAQKRf314AaABAg,oYuEULpL5XA,Максим Кац,204,1410,Максим Кац,"Очень важно чтобы в дискуссиях была адекватная и дружественная атмосфера! Расшарьте видос и расскажите напрыгивающим оппозиционерам об этом :). 
Ещё можно подписаться на поддержку канала. Деньги идут на развитие канала и некоммерческие проекты https://www.youtube.com/channel/UCUGfDbfRIx51kJGGHIFo8Rw/join",2020-06-19T12:37:05Z,0
1,UgzgYOM8ov2baM1KHUF4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Badd Karma,"Очень дельный ролик от очень толкового политолога. Так держать, Макс! Удачи в твоих делах.",2020-07-03T09:44:20Z,0
2,UgxuBx9TmI9_n-Jahq14AaABAg,oYuEULpL5XA,Максим Кац,0,0,Великий Енот,"Борьба с неблагонадежными в либеральной оппозиции, все больше напоминают партийные чистки конца 30-х. Для тех, кто воспринимает навальных, как новых Мессий. Гитлера и Сталина тоже считали чуть ли не спасителями наций.",2020-07-03T08:45:07Z,0
3,Ugzt09rKNCX-B9FslZZ4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Konstantin,"да уж - натальнята они такие
закидают уточками до смерти
представьте себе какая демократия будет когда такие люди придут к власти",2020-07-03T08:30:56Z,0
4,Ugy7Y5MmgBxSji7D-dV4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Metalcore89rus,"Если вдруг, когда нибудь ты вдруг решишь баллотироваться, я несомненно проголосую в твою пользу. Давненько я не встречал настолько рассудительного и грамотного политика. Вперёд Макс! Ты делаешь правильные вещи",2020-07-03T07:10:38Z,0
5,Ugw8d4rdgZj357H8jM14AaABAg,oYuEULpL5XA,Максим Кац,0,0,Игорь Чичкин,Гиперадекватность,2020-07-03T06:56:10Z,0
6,UgxTD9tHa4PKvVx8ct54AaABAg,oYuEULpL5XA,Максим Кац,0,1,Артём Скрябин,Кто поставил дизлайк? Вопрос за что?,2020-07-03T01:52:40Z,0
7,UgxQfTmfE7HFnwBY_RR4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Алена С,"Максим молодец!! Вы, Жуков, Варламов, Шульман, смотрю на вас и думаю: "" может не так и далеко прекрасная Россия будущего?"")))",2020-07-02T15:24:55Z,0
8,UgyvMW2l-gOtLrXb_s54AaABAg,oYuEULpL5XA,Максим Кац,0,0,Vegan Magic,"Навальный слишком тупой, нужно больше адекватных оппозиционных политиков.",2020-07-02T07:58:58Z,0
9,UgwC8gtXaoAaGVrNwVR4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Vitaly Sarychev,"Доверять!! Кац очень умный человек, хоть и не всегда я с ним согласен. Однозначно доверять!!!
По поводу конкуренции: любо! Любо!
Это же основа существования демократии и рынка.",2020-07-01T08:54:20Z,0
10,UgwdgkCoT8qK_2E0UU54AaABAg,oYuEULpL5XA,Максим Кац,0,0,Владимир Гасанов,"Те, кто поддерживает Навального бесконечно унижены, так как он сам ссыт в уши, при этом не имея нормальной позиции, которую может обосновать и не предлагает изменения, лишь очень поверхностно.",2020-07-01T07:26:05Z,0
11,UgyiW5Ea9ojl4xvLXZV4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Mikhail Loginov,Вот бы посмотреть на дебаты Максим Кац - Клим Жуков! Например о событиях 1917-ого.,2020-06-30T14:29:56Z,0
12,UgyJgLtOK2MKXdFB8bN4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Алексей Кулаков,"Пренебрежительное отношение Навального к критике является для меня лично отвратительным качеством, у нас уже есть такой сейчас, зачем нужен еще один такой же ""по моему или никак"", то есть тот же царь который не будет прислушиваться к советам даже своего окружения. Такой ой как много дел может натворить, а окружение будет ему вторить и все. А уж если научиться на него воздействовать мягонько так и незаметно то ух как может аукнуться. А в купе с периодичной ложью и манипуляциями он для меня сам себя дискредитировал, а ошибки он не признает, будет как баран переть опять таки потому что критику он не слушает.",2020-06-30T13:58:08Z,0
13,UgyMcn5oq4D_KbLbz7h4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Алиса Пугачева,gamechanger 🔥🤭 Может теперь-то уж Россия воспрянет от сна?!,2020-06-30T13:32:01Z,0
14,Ugw9r4ujYml7hg7n5Pp4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Аня Липвиг,Очень приятная музыка на фоне!,2020-06-30T11:55:02Z,0
15,UgwerFYOy_BnFfgjog14AaABAg,oYuEULpL5XA,Максим Кац,0,0,Alexey Emelyanov,"Вот бы Дима Иванов, КамикадзеД, посмотрел... А то всю мельницу путинского режима слюнями залил, как важно бойкотировать.",2020-06-30T10:35:33Z,0
16,UgwS_VrCRgtiXGO08d14AaABAg,oYuEULpL5XA,Максим Кац,0,0,Игорь Кармазин,Отличное видео,2020-06-30T03:48:33Z,0
17,UgwInet-28zIjyekiDR4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Александр Шведов,"Я раньше даже не знал о разногласиях в оппозиции, но вижу, что это очень важная тема. Хорошо хоть, что у нас в Беларуси такого нет, надеюсь, что сообща мы победим!",2020-06-29T19:45:38Z,0
18,UgwKBUMogc1qZeqekUx4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Заметки горного туриста,"Вот есть какие-то неудачники, про которых никто не знает, но которые не сдаются и всеми силами пытаются привлечь к себе внимание, играя на аудитории людей которых слушают (а-ля ""вызываю вас на дебаты""). До ""дебатов"" я мало слышал про этого гражданина. Но внимание привлечь к себе получилось. Варламовы, Кацы и прочие сомнительные элементы, позиционирующие себя либералами, а на деле скользкими людьми, опасны для общества и и прежде всего либерального. Выступают в роли ""стрелочников"", которые действуют против интересов либеральной оппозиции. Очередная выскочка как только решит хайпанут. Играйте в покер, а не специалиста по урбанистике.",2020-06-29T09:55:00Z,0
19,UgxPihHDm94lOqTxT1t4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Mario zas,"Хотя я и не люблю большинство либералов, на место дупутата вам можно выделить - ибо здравых мыслей у вас в достатке",2020-06-28T13:33:47Z,0
20,UgxNoJUx7SWP1t4OLEB4AaABAg,oYuEULpL5XA,Максим Кац,0,1,inst: _.luminescence_,"Возможно, если бы оппозиция держалась вместе, что-то бы и вышло.
Я с вами не согласна, конкретно, ""предатели оппозиции"". Вы же и сами прекрасно понимаете, что вклад Алексея в оппозиционное движение, в несение его в массы, а также в ""открывании глаз"" людям просто огромен. Все митинги, все хоть какие-то действия, все идет от ФБК. Безусловно, прекрасно, что есть не только ФБК, а еще и вы, но попытка поливать грязью тех, с кем вы, вроде как, на одной стороне воюете, плохая идея. От второй стороны такого не идет",2020-06-28T12:22:58Z,0
21,UgzBWaLd0YWsvDU7Mzp4AaABAg,oYuEULpL5XA,Максим Кац,0,0,Vbo Checkja,"Умничка,достойно",2020-06-28T11:05:49Z,0
22,UgzO07ZFUM7XhclzMlt4AaABAg,oYuEULpL5XA,Максим Кац,0,0,mcmixael,"Нахуй навального, правильно максончик, деньжата Кремля отрабатываешь на сто процентов. Твоя паства уже ненавидит навального, чего и добивается нынешняя власть, красавчик",2020-06-28T06:03:27Z,0
