,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgybXmhdKt4__RtKzrN4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Всеволод Шило,"Поздравляю с трёхлетием! Очень интересная, познавательная и самая лучшая передача в России об экономике. Продолжайте в том же духе. Вы делаете полезное дело. Успехов Вам, команде да и всей стране в конце концов",2020-06-08T07:06:48Z,0
1,Ugw8wwoLIpRDdd2C3_l4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Слава Фокин,"СПАСИБО ВАМ!  ВЛАДИМИР, ВЫ  ОЧЕНЬ КРУТОЙ!",2020-05-27T20:14:57Z,0
2,Ugw-ycHngT0fhwArtaV4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Наталья Яшичева,"Поздравляю с юбилеем вашу программу! Всегда ценная, правдивая информация, очень простая подача! Я в восторге от вашей передачи! Дай бог вам всем здоровья! Удачи!",2020-05-22T19:18:47Z,0
3,UgwNePs0pG7T7tRPCT54AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Jurgen Flop,С юбилеем! Я тоже прибухнул за долголетие передачи!,2020-05-22T16:29:28Z,0
4,UgxddEUGMym6fMVr4IN4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Василий Куликов,С юбилеем! Лучший научпок по экономике на российском Ютубе).,2020-05-21T07:40:18Z,0
5,UgzNCE_LMsiOClhikIl4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Оксана Щеврюкова,"Путин разрушил здравоохранение, образование, искусство. Он разрушил экономику!так что путинисты, радуйтесь у вас получилось унизить народ .",2020-05-20T06:16:33Z,0
6,UgwpStrEHvMR-haDLDJ4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Валентина Маслова,Как Мишустин на больничном? Каждый день показывали по ТВ с Путиным по видио решал вопросы или это больничную  палату оборудовали для связи с Кремлем?,2020-05-20T04:43:15Z,0
7,UgwOfMG4KIQBAi4kyNt4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Tatyana Shatunova,"Зачем нам такая власть, которой наплевать на народ? Они слишком далеки от народа - между нами и ними бездонная пропасть!",2020-05-20T04:19:19Z,0
8,UgyM2h7ZiV2Ym6cEpXt4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Виктор Дорошенко,"Да дннги , внегонадный скорей с биржи или С Ценробанка?",2020-05-19T02:04:19Z,0
9,UgxkQFQAWjKK2-fUDf14AaABAg,pbBBdfkaaqA,Навальный LIVE,0,1,Светлана Уварова,Гнать надо ворюгу путина с его шайкой  голосовать за платошкина н н  за  новый социализм,2020-05-19T01:13:04Z,0
10,UgwOSDEk1LGCYEcuWst4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Александр Карнаков,"Силуанов лжет... вы написали... а встречный вопрос, когда он правду говорил то?...",2020-05-19T00:21:06Z,0
11,UgxbxO28qvul53WjslB4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Алла Деньгина,"Как пенсионеру жить на 11800 рублей? Спасибо Силуанов. Новый пенсионер. У вас классная  формула получилась. Фокусник. 20 лет стажа просто не учитывают. Желаю вам счастья, здоровья и долгих лет жизни, чтобы ещё здесь вас настигло возмездие.",2020-05-18T16:09:48Z,0
12,UgyFNrXkyRjJX8Ow__J4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Евгений Кудряшов,"Добрый день! Работаю в Центре занятости, не могу говорить за другие центры, но там, где работаю я, такой огромный нагруз на всех сотрудников. Подчеркиваю, на всех сотрудников, на тех ,которые не коем образом не связаны, с регистрацией граждан, с начислением пособия. Все сотрудники, как зомби работают иногда даже до часу ночи, настолько большой нагруз и начальству плевать. Он никак не расширяет штат, не устанавливает доп. выплаты. Поэтому я не думаю, что Центры занятости специально так по долгу не отвечают гражданам, а просто потому что не выдерживают поток людей.",2020-05-18T16:04:39Z,0
13,UgwgtlC8USQN8ac4nMR4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,виталий яворский,"Раздать бабло это легко,заработать сложно.Налоги малый бизнес, средний, кто больше всех сейчас страдает платит на 50 процентов в местные бюджеты,как обнулить надо на время,только они лягут,а там и школы и сады и больницы",2020-05-18T15:00:36Z,0
14,UgxLHFymf1VT7FvgIYN4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,виталий яворский,Много херни несет.Например как могут депозиты процентные ставки быть на больше чем 1 процент выше ставки ЦБ? Банк может у ЦБ занять.,2020-05-18T14:52:22Z,0
15,UgyIejEyBO7-DWEz7GN4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Miro Jka,Спасибо команде Навального ✊глоток разумного ✊,2020-05-18T14:04:28Z,0
16,Ugy1GrpQwA11bSIxC1V4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Serega Aleksandrov,"силуано, очень скользкий тип...а ещё и тупой по ходу",2020-05-18T10:44:05Z,0
17,UgwTp9ZiEDc_OuqAbCB4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Чупа Сабвей,хз ну мне прям совсем ненравится этот чел... Ждешь леху а тут опять не то пальто,2020-05-18T10:30:24Z,0
18,UgwHHe-aXrmuRvbgpf54AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Любовь Алексеева,Поделитесь опытом кто что-то предпринял чтобы сохранить свои деньги,2020-05-18T08:43:08Z,0
19,UgxGRtcDBcqU0vTvzwd4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,vasi noev,ТРИБУНАЛ власти воров,2020-05-18T04:01:09Z,0
20,UgwfMzTQb8TMnhYIbgJ4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,NadChel1,"Это плохая идея с этим ""налогом на вклады"", но неправильно говорить, что это двойное налогообложение, т.к. налогооблагается не сам вклад (с которого, как вы верно заметили, НДФЛ уже уплачен), а проценты по нему",2020-05-18T02:42:09Z,0
21,Ugy_Y7SvRcy_XjW4ucl4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Виталий Орлов,Да наше гоcударство готава задницу подставить любому лишь народу было плохо.,2020-05-17T19:37:06Z,0
22,Ugyxebu6DN_EDJTeUzJ4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,City Time,"Всех их гнать поганой метлой, пусть уходят нахрен действительно.",2020-05-17T19:32:04Z,0
23,UgyDr6jk8ig3X9VifYJ4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Vlad Miroshkin,"Поздравляю с 3 плодотворными годами в прямом эфире на Навальный лайв!!! Милов лучший ведущий передачки о 
экономике, так держать и не снижать планку.",2020-05-17T16:40:59Z,0
24,Ugzi0anv5XLYnOLx6vZ4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Fillon Smith,"Смотрю передачу с первых выпусков, может быть с первого выпуска. Действительно, крах доллара от Леонтьева люди перестали ждать в году 2013м. Потом нерушимые цены на нефть пошли вниз против прогноза Путина. Основные российские экономические новости были как будто взяты американские и переведены гуглтранслейтом, т.е. вроде про РФ, а вроде и не имеет отношения к нашей реальности (впрочем, это и сейчас). Были три основных фрика- Глазьев, Делягин и Касатонов. Все где-то между марксизмом и разоблачением заговоров мирового правительства. Достаточно денег потратил на их книжки, но такое ощущение, что они писали не чтобы объяснить читателю, а чтобы наоборот его запутать. Плюс были/есть различные биржевые аналитики, но у них не было цели общей картины, только по отдельным акциям. Поэтому сразу подсел на Вашу передачу. Спасибо за идею и труд!",2020-05-17T16:14:23Z,0
25,UgzLLfM2ewuioZFCJ1N4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Второйпозвоночник.рф Олег Челмакин,"Отписываюсь от вас  ""программы для спонсоров "" Вы тоже сума сошли.",2020-05-17T13:18:15Z,0
26,UgzG6wHhVVZAPquODX94AaABAg,pbBBdfkaaqA,Навальный LIVE,0,1,Сергей М,48:01 экономический мудак года - это шедеврально!,2020-05-17T11:13:42Z,0
27,UgwNReirz1x5N3zxwPF4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Айгуль Хакимуллина,"Поздравляю с юбилеем! Вы крутые, спасибо за программу.",2020-05-17T08:19:14Z,0
28,Ugx8dMM3zTS8fLXVHTp4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,1,Александр Богачёв,"Спасибо,Вы честный и порядочный Человек.Будите люмпенов и слепых, спасибо.",2020-05-17T07:30:18Z,0
29,Ugzyv-YbuABX_fZ7R-F4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,сайпудин насродинов,"После каждого гнилого ответа Силуанова били бы ногами по наглой роже, а перед тем как закончить допрос конфисковать все до последних трусов и на рудники до конца дней его паршивых..Вот тогда по другому отвечал..",2020-05-17T06:58:51Z,0
30,Ugwt534ER9O0t_iENDh4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Танзиля Гайфутдинова,Разве Россия не развитая страна? Хотели же 2020 году оказатся в списке 5 высокоразвитых стран.,2020-05-17T06:33:13Z,0
31,UgwrXJzQKOlFsmJIAIN4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Оксана Врублевская,"Просто отпустить их было бы неправильно. Они должны понести ответственность за свои деяния. Угробили жизни миллионов россиян, ублюдки должны поехать валить лес, и это самая гуманная мера для них",2020-05-17T05:57:11Z,0
32,UgylI2bwYWrDBx9bHlx4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Kroker L,Надоест ждать начнут догонять.,2020-05-17T05:18:49Z,0
33,UgzoTLDaWU5LYivignh4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Оксана Врублевская,👍,2020-05-17T04:59:03Z,0
34,UgwTnbXkH3KZA-VtI_94AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Стас Егоров,"Команда канала, сделайте возможность спонсировать разово за отдельный выпуск. Вы даете хороший альтернативный взгляд на действия наших политиков, но не у всех ваших зрителей есть возможность спонсировать регулярно каждый месяц.",2020-05-17T04:14:00Z,0
35,Ugy429HN_Qr1IwTbqAh4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Feodor Makarov,"Силуанов лжёт! Да ну нах?! А что, это возможно? Ангелы пушистые лгать не могут! Ложь - государственная политика нашей страны!",2020-05-17T01:21:19Z,0
36,Ugxam01nyUXitJMQt6V4AaABAg,pbBBdfkaaqA,Навальный LIVE,0,0,Таня Карчевская,Весь выпуск - переливание из пустого в порожнее,2020-05-16T22:42:11Z,0
