,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx7VWcBFMGc9mzeOeJ4AaABAg,qUC46uz-cU8,Телеканал Дождь,0,1,Ла Лев,"Да, эта страна мордор, столько ненужных детей, брошенных на выживание",2020-06-03T02:01:41Z,0
1,UgyJoDstFHKTwn8CKr54AaABAg,qUC46uz-cU8,Телеканал Дождь,0,1,Ла Лев,"Девчонки вы молодцы!!! Примеряю на себя, я бы не смогла",2020-06-03T01:58:10Z,0
2,UgzNEGD9nhGwLdzhcK94AaABAg,qUC46uz-cU8,Телеканал Дождь,2,2,Елена Березовская,"Кровный ребенок инвалид - 19 500.
Девочки конечно герои, но немного обидно.",2020-06-03T01:02:19Z,0
3,UgzNEGD9nhGwLdzhcK94AaABAg.99QYWmblNax99h9AxECidq,qUC46uz-cU8,Телеканал Дождь,0,0,Елена Березовская,"Ольга это пенсия ребёнка, с московской доплатой. По уходу я не получаю, ни копейки, работаю, потому что на пособие лечить невозможно.",2020-06-09T21:07:13Z,1
4,UgzNEGD9nhGwLdzhcK94AaABAg.99QYWmblNax99h7SsgAjyT,qUC46uz-cU8,Телеканал Дождь,0,0,Ольга,"Это, наверное в Москве такая сумма? Я по уходу за своим ребёнком - инвалидом, получала 1200 в месяц, без права работать! А тут не мамы, а женщины-воспитательницы, получающие и на ребёнка и по уходу. Просто работа такая.",2020-06-09T20:52:11Z,1
5,UgyK9WF_yuDHToiMcQN4AaABAg,qUC46uz-cU8,Телеканал Дождь,0,2,Nespaty,"Здравствуйте в нашей республике (КЧР) сейчас происходит трагедия огромное количество заболевших COVID-19, власти умалчивают, всем безразлично происходящее пожалуйста, обратите внимание",2020-06-02T20:42:47Z,0
6,Ugw9WL_cs0CuB6XWVhd4AaABAg,qUC46uz-cU8,Телеканал Дождь,0,2,Ева Гаврилова,"Только маргиналы считают копейки, которые платит гос-во, деньгами.",2020-06-02T17:47:50Z,0
7,UgzEcf28OXVVFOi5vkl4AaABAg,qUC46uz-cU8,Телеканал Дождь,0,0,smokovnitsa777,"Про депутатов, которые получают 80 тыс. - смешно. 
""Зарплаты депутатов Мосгордумы в 2020 году превысят 700 тыс. руб. 
Они уже получают больше федеральных министров""    
https://openmedia.io/infometer/zarplaty-deputatov-mosgordumy-v-2020-godu-prevysyat-700-tys-rub-oni-uzhe-poluchayut-bolshe-federalnyx-ministrov/",2020-06-02T17:23:45Z,0
8,Ugxtmn2q_D3zEK67O3t4AaABAg,qUC46uz-cU8,Телеканал Дождь,0,11,Галина Куликова,"Женщины замечательные и очень симпатичные, со светлыми, одухотворёнными лицами. Низкий поклон им!",2020-06-02T17:06:28Z,0
9,UgzcAOhhWHAJB3jjvWV4AaABAg,qUC46uz-cU8,Телеканал Дождь,0,8,Irina Zurabova,Колоссальное  уважение и восторг! Пусть Господь даст вам сил и здоровья на благое дело.,2020-06-02T13:47:32Z,0
