,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugzk1wDgkPmHF8FpHNZ4AaABAg,rhVBhgXfeFo,Телеканал Дождь,6,30,Телеканал Дождь,"0:00 – О том, что хорошо пить на даче
1:44 – О жизни в самоизоляции
5:55 – Об особом пути мягкого тоталитаризма
12:58 - Об экономических мерах поддержки
15:50 - О желании оказаться в Правительстве 
17:41 - Путин объективно оценивает ситуацию в стране?
19:24 - Чем занимается дочь Ирины?
25:48 - О новой книге
31:23 - Почему для власти опасно продлевать режим самоизоляции?
32:17 - О татуировках по всему телу",2020-05-16T09:47:08Z,0
1,Ugw-Fxcj6t6HrEylxu14AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,Joe George,"Офигенные тетки! Без макияжа, на даче, а все-равно невозможные красотки. Энергия и внутренняя сила, которую не спрятать.",2020-06-27T18:25:55Z,0
2,UgyN-oJT_ifAa8TkH2Z4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,Татьяна Агарышева,Получила огромное удовольствие от общения замечательных женщин!  Побольше!,2020-06-22T13:42:12Z,0
3,UgwFBGA_jJvDLYp7bOl4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,verasvechina,"Япония Император Акихито выдал мне лично право на мою собственность острова КХИХ весной 1994 вместе с национальным флагом КХИЩ для меня и моей Императорской династии (ДНК), с Домом 33;  1995 Борис Николаевич Ельцин выдал мне через маму документы о собственности на землю моих КХИЩ, 1997, США (William Clinton = Большая Императорская корона Свечиной) выдало мне право получить мою зарплату в Аpple и других корпорациях, которые с моим (ДНК) частным домом 33 в честь которого открыт в 1967 в Диснейланде ресторан 33. И моё право на рождение моих III детей и Венчальные короны и другие украшения созданные до 1917 года, к моей свадьбе и свадьба моих (ДНК) потомков. Все самые значительные Императорские и Королевские короны, созданы в мою (ДНК) честь. В разных странах. Можно посмотреть на Youtube. Top 10!",2020-06-22T05:32:28Z,0
4,UgyWRqWGZ-6XJWfugRV4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,Иванов Иван,"Бахвалистая разрушительница СССР .Ломали вы его жадной сворой по западным указкам с учёным видом знатоков . Шеварнадзе тоже очень много читал , по его словам , самообразовывался . Но , Лениными вы не стали , а народа угробили миллионы .  Закабалив его и лишив всей удачи.",2020-06-17T12:53:22Z,0
5,Ugz2ne_nl0u7bwkTwM14AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,Ритта Менжулова,"Смотрю второй раз! Ирина Хакамада - огромная умница. Согласна с каждым её словом. К сожалению, власть России не любит профессионалов, да и вообще, людей, составляющих Россию. Они так далеки от них, от реальной жизни, что любые указы, постановления и т.д. являются абсурдными, безграмотными, нелогичными!!! Как это всё надоело! Чтобы жить в России, нужно обладать большим мужеством, оставаясь порядочным человеком, не прогибаясь и не изменяя себе.",2020-06-12T21:03:46Z,0
6,Ugypw_Pn_MDD6tGHPLZ4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,Элеонора Буйная,"Хакамада и Синдеева ,молодцы девочки!",2020-06-08T10:29:22Z,0
7,UgwweaMt6g9a7aIkN8R4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,1,Мария Макарова,"Боже, Хакамаду могу слушать вечно...❤️",2020-06-07T18:26:19Z,0
8,UgySsimFqWiwvnTNKnR4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,Элеонора Буйная,"Благодаря изоляции , пересмотрела всю Хакамаду и стала ооочень опасна!👍💪😁",2020-06-07T17:39:20Z,0
9,Ugy5hktF5L3hiKAkpYp4AaABAg,rhVBhgXfeFo,Телеканал Дождь,0,0,love live,Раб! Россия это рабство изнутри и снаружи!,2020-06-06T08:17:36Z,0
