,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,Ugx9AeWrBrzdSLvtxMd4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,zr,"То есть Путин для этих чиновников - не указ? Он вообще что-нибудь решает в стране, кроме демагогии по телевизору?",2020-06-27T19:43:47Z,0
1,UgxOGkhbd3y7NQw6OxB4AaABAg,rroUrlGfY40,Телеканал Дождь,0,1,Оксана Горностаева,"Друзья, поделитесь этим видео со всеми знакомыми ❤️",2020-06-16T21:24:09Z,0
2,UgzcOXQyAP4Qy-p68IB4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,Борис Дончак,Норм. Всё под дачу Елены Бузовой. :-)))))),2020-06-08T20:47:56Z,0
3,Ugy_EqRkG2Bp5IPmLRF4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,валерий валерьевич,Иетересно почему все удивляются застройки красивых и памятных мест.Это же советская власть старалась для народа.Почему все удивляются застройки -при капитализме главное денег больше заработать. Иинтересно за кого голосуют местгые жители на выборах.,2020-06-06T10:57:53Z,0
4,UgzUOcWJf9hnegLV9994AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,Путин Фашист,"Путинский режим смерть Народа России. 
Смерть истории смерть всего .",2020-06-04T17:25:45Z,0
5,UgzeVtYmwYVbAZIJoeJ4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,Ирина Елизаренко,Подобное в каждом городе происходит.,2020-06-04T16:54:37Z,0
6,Ugw0On5JrepDDEtR7HR4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,An Kl,когда уже вас за ложь штрафовать будут,2020-06-04T05:39:38Z,0
7,UgwYnU8X0rx2gIhuLLt4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,Max Ba,"Уже одну красную зону вырубили в раздорах... теперь и за архангельское взялись... скоро задохнёмся без леса. Ужас какой то...мы тоже боролись за нашу зеленую зону, увы не получилось...( хуже животных стали... так же нельзя, это же не они создавали а природа....",2020-06-03T21:17:23Z,0
8,UgzrRfnYw8xWl2npk4p4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,Закон,Как же зае.ли эти воры у власти,2020-06-03T08:15:43Z,0
9,UgwO0s75JseHjmYEXAV4AaABAg,rroUrlGfY40,Телеканал Дождь,0,3,Maks Al,"Слушайте, они такие идиоты, которых клиника ещё не видела. Вырубают лес вокруг своих же дач!!! Это ж каким дегом надо стать под конец жизни.",2020-06-03T02:29:52Z,0
10,Ugyt83Cbi7fFrPnFevZ4AaABAg,rroUrlGfY40,Телеканал Дождь,0,2,Alex Boy,Какой министр такая и культура. Михалков прювет!,2020-06-03T02:08:31Z,0
11,UgxEC8exd6brMXtZmKt4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,A711OM,"А в чем вопрос, просто ясно и понятно почему это произойдет-  понастроят домов как элитка и сплавят по космическим ценам, далее все обесценится, а именно накрутка цены, профит))",2020-06-02T19:12:45Z,0
12,UgwQ7Ore9fXyGaCc85F4AaABAg,rroUrlGfY40,Телеканал Дождь,0,0,Светлана lana,"Грудинин еще держится. Это , чистой воды бандитизм, что творится под Москвой",2020-06-02T17:40:28Z,0
