,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyUFAEh3zm1LGs_MAJ4AaABAg,rvHVTADtcP4,Телеканал Дождь,25,63,Телеканал Дождь,"0:00 — Дмитрий Гордон - гость программы «Еще не вечер»
0:57 — Чем интересны Гордону Гиркин и Поклонская?
5:55 — Кто придумал историю с флешками?
10:24 — Почему не уточнил у Гиркина, кто сбил Боинг?
17:50 — О сравнении этих интервью с историей Аркадия Бабченко
20:45 — О несбывшемся и самом желаемом интервью
23:12 — О первом годе Зеленского на посту президента
28:05 — О главном вопросе Зеленскому 
35:51 — О возможности пойти на выборы президента
40:45 — О «нацисткой мрази» и Соловьеве
43:10 — О песне про журналиста
46:30 — «Я убежден, что учебники истории будут писать на основе моих интервью»
50:34 — О «пирамидках», Кашпировском и Чумаке",2020-05-25T17:34:12Z,0
1,UgxWgb9XGYXGig8Fe0l4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,станислав мезенцев,"ЧЕЛОВЕК ОДИН РАЗ ЗАСВЕТИВШИСЬ ПО 159 С ПИРАМИДКАМИ НЕ ЗАСЛУЖИВАЕТ ДОВЕРИЯ. ПОТОЛОК СЕЙЧАС ЭТО ПАНИН, И ОБСУЖДЕНИЕ ЕГО ПОСЛЕ ИНТЕРВЬЮ В НЕ ЛУЧШЕМ СВЕТЕ. ЭТО НЕ ЖУРНАЛИСТИКА   А САМОВЛЮБЛЕННОСТЬ.... Я, ДА Я. ГОЛОВКА ОТ ХУЯ. НИОЧЕМ БАРАБАН.",2020-06-24T20:27:34Z,0
2,UgzXEFjGimmnUTih7nN4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,MrAmadey,"Гордон, ну бляяя... и куда ни плюнь, ну все у тебя в друзьях ходят) ;-/  --> 36:15
Так не бывает, Дима, хорош пургу гнать!",2020-06-22T22:17:34Z,0
3,UgwGrj9ZJJYfRYIKQO14AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Mike K,"Гордон классный журналист, но пирамидки это реально зашквар. 21 век, ну имей ты уже смелость признать что наебывал людей в 90.",2020-06-20T22:04:05Z,0
4,UgxIj5cAtDqdW20srMV4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Mike K,Пирамидки? Реально?))),2020-06-20T22:01:20Z,0
5,Ugwn9fk-EXq2TMhvK9F4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Elmin Ferrage,Не слышал про него до скандала конечно. Как то он уходит от ответов...,2020-06-20T14:16:40Z,0
6,UgxwEXw0YozbUc_z7lJ4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Aleks Best,Гордон красава!!!👏👏👏👍,2020-06-20T08:57:14Z,0
7,Ugx4HWdu3VyQPYZW2xx4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Сергей Сергеев,"Знающий меру доволен своим положением. Знающий много — молчалив, а говорящий много не знает ничего. Лао Цзы",2020-06-20T02:08:57Z,0
8,UgxVO9v6hgJOtZSycxZ4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Василий Иванов,"Я не понял,  а зачем в Гаагу флешки нести??)))) У них Ютуб вырубили?:)))))))))) Это же открытые источники? Он нас за лохов примает? Гиркин, что под протокол что то говорил? Ну если вы его в туалет когда водили, он что то не сказал случайно и не подписался под этим:))))))",2020-06-19T00:43:17Z,0
9,UgxW5q8_jT6JwmZFchZ4AaABAg,rvHVTADtcP4,Телеканал Дождь,0,0,Василий Иванов,"Гордон конечно молодец, но когда шарлатанов гениями назвал, это никуда не годится. Да, мошенники всегда имеют лохов, но это не значит, что их надо гениями называть. А на счёт пирамидок всяких, вообще смех. Если он рекламировал, заработал огромные деньги, наверняка договор подписал, и если щас он скажет, что не верит, то ему прямая дорога в тюрьму.",2020-06-19T00:28:20Z,0
