,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgxRqVTjLuIvBxMPlGR4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,Ailsa Ni,Кто клюёт на Путинские подачки тот либо дурак либо такой же жмот.,2020-07-03T07:56:14Z,0
1,Ugw8EHQS8cPWvaOeUDF4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,Ninel Иллаева,Нельзя использовать психиатрию в политике.Диссидентов уже проходили.Все по сперали. Снова выпустили психиатров.А главное- лекарства- то все те же.,2020-07-03T00:32:28Z,0
2,UgyLUnQDTwHQCvfY0yl4AaABAg,s98aOaOVwgs,Навальный LIVE,1,0,Ninel Иллаева,"Неисчерпаемый кредит доверия!! Откуда же ОН его выкапывает?? Пучхе был всегда одинаковый,просто в обнуленном виде он стал более  монументальным!!!",2020-07-03T00:25:08Z,0
3,UgyLUnQDTwHQCvfY0yl4AaABAg.9Acj6cAIm_A9AdXnfL5Q6u,s98aOaOVwgs,Навальный LIVE,0,0,Ailsa Ni,"плохо что депутат якутии ушел от власти, о ней известны только хорошие новости на благо народа. Как они теперь без него",2020-07-03T07:56:47Z,1
4,UgxlVubo0wdhOJEMtep4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,sehhi vooty,Giggles adorably,2020-07-02T11:38:03Z,0
5,UgwZB3vIJHnpLptbS6B4AaABAg,s98aOaOVwgs,Навальный LIVE,0,1,NUSER54,❌❌❌Пишу этoт комментарий потому что мне не безразлично наше будущее ❌❌❌,2020-07-01T19:58:10Z,0
6,Ugy-ZNdoFuVp_n6-GUB4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,RaZIeL,❌❌❌Пишу этот комментарuй потому что мне не безразлuчно нашe будущее ❌❌❌,2020-07-01T19:43:54Z,0
7,Ugz--H20I-Es-oNKhpx4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,Записи стримов ShadowBMX,❌❌❌Пишу этот коммeнтарuй потому что мне не безразлично наше будущее ❌❌❌,2020-07-01T19:36:56Z,0
8,UgwR5ce4JxeFt_jshFF4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,M0SES,❌❌❌Пuшу этот комментарий потому что мне не безразлично наше будущее ❌❌❌,2020-07-01T19:32:20Z,0
9,UgxZz53p9nxxF50W9sp4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,bcvbb hyui,"ПИШУ ЭТОТ КОММЕНТАРИЙ, ПОТОМУ ЧТО МНЕ НЕ БЕЗРАЗЛИЧНО МОЕ БУДУЩЕЕ.",2020-07-01T12:03:57Z,0
10,Ugzo-tjGtoYbXIqgcYx4AaABAg,s98aOaOVwgs,Навальный LIVE,0,0,Алексей Новиков,Кто ты Навальный?!?! +++---,2020-07-01T11:29:03Z,0
11,UgwhF3dCcxElDdziqcF4AaABAg,s98aOaOVwgs,Навальный LIVE,1,0,Кирилл Одинец,Про робота,2020-07-01T10:27:20Z,0
12,UgwhF3dCcxElDdziqcF4AaABAg.9AZeRWhdwVP9AZpZO2bUuq,s98aOaOVwgs,Навальный LIVE,0,0,bcvbb hyui,Мамия бобена,2020-07-01T12:04:31Z,1
