,id,videoId,authorVideoName,totalReplyCount,likeCount,authorDisplayName,textDisplay,publishedAt,isReply
0,UgyJiEN9D_ARZOm6k2R4AaABAg,sJ8esSC2hBw,Навальный LIVE,82,579,Навальный LIVE,Полный текст выпуска читайте здесь: https://docs.google.com/document/d/1JXLweQiOEO0AIzMP4kukh-fvgNevVizvrl8iNw4-Bfs/edit,2020-05-06T21:41:42Z,0
1,UgwtsiSz7N_sn-7jRRR4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Гаджимурад Гитиновасов,Шмаров🤣как можно доверять человеку с такой фамилией,2020-05-17T21:36:42Z,0
2,UgyEVjy29f9IxJ36I114AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,КРАСИВАЯ ЖИЗНЬ,"передачка на идиотов расчитана, которые западают не дешевые популярные словечки. Правило редактора: критикуешь - предлагай ... А то попиZ@или, прослезились..Смешно",2020-05-17T09:02:27Z,0
3,Ugwh-7zshNWUqINDj_h4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Роман Лайм,"Желаю, чтобы они на такие деньги жили!!!",2020-05-15T11:10:21Z,0
4,UgwJcUFDV0J5qNHYmiN4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Роман Лайм,"Желаю, чтобы они на такие деньги жили!!!",2020-05-15T11:09:20Z,0
5,UgwsGGIfhwmZDNowxxV4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Денис Смирнов,Как достала эта жадная власть,2020-05-14T21:12:13Z,0
6,UgznGHiUt8QSuvp25cd4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Nick Nick,О боже убей идиотов.,2020-05-14T18:54:21Z,0
7,UgzvWKvQw5XqC9xA9yp4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Наталья Привалова,"Министр объясняет невозможность оказания помощи населению тем  ,что рубль неустойчивая валюта,но как он может объясниться такую высокую зарплату ,  которую он получает?",2020-05-14T14:07:57Z,0
8,Ugx4oPDIFcIzp0JxeRl4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Наталья Наталья,"Давайте, ребята, процесс пошёл) мб самоизоляция это даже хорошо, столько народа много чего для себя узнало",2020-05-14T13:17:35Z,0
9,UgxqZ9b-hZ97sKPdhXZ4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,1,Larisa Tenni,"Отлично  ,снимают карантин для предприятий, чтобы зарабатывали для власти, а потом опять карантин.",2020-05-14T12:44:01Z,0
10,Ugw2pYy7sYIDc-f_zTl4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,2,low start,ПОЧЕМУ КАЖДЫЙ РАЗ СЛЕТАЮТ ПОДПИСКА И ЛАЙКИ?!,2020-05-13T20:03:22Z,0
11,Ugw2BldpL6qG-ldK5-x4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Danila Kulikov,"Стандартный приём Любы - министр сказал, что нужно точно рассчитать, чтобы денег было не мало и не много, раздать их реально нуждающимся. Что сказала Люба - у Мишустина где-то там большая дача, у Роснефти большая прибыль, а у канцлера Германии есть идея выплатить деньги. Тупо схема по уровню ""мне нужно вас разозлить, покажу, как живут богатые"". Чисто пропаганда словно новые совки не иначе",2020-05-13T17:31:29Z,0
12,Ugzn9O0pdRBeRpsoC_h4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,0,Денис Бикметов,Отписка ! Одна болтовня,2020-05-13T09:37:13Z,0
13,Ugw6oF9hjowt4fJpGuV4AaABAg,sJ8esSC2hBw,Навальный LIVE,0,1,В Пим,"Как же это все достало! Интересно, как себя чувствуют голосовавшие за обнуленного? Врачи, учителя, полицаи? Как вам выбранная вами власть?",2020-05-13T05:43:36Z,0
